comparison,left_rule_id,right_rule_id,left_final_equity_adr,right_final_equity_adr,left_minus_right_equity_adr,left_max_drawdown_adr,right_max_drawdown_adr,left_minus_right_drawdown_adr,left_flip_loss_adr,right_flip_loss_adr,read,content_hash
candidate_b_directional_t100_l3_vs_fully_hedged_t100_l3,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,13772.999764,53646.297719,-39873.297955,-1989.442654,-705.647194,-1283.79546,-6297.282489,0,left_does_not_add_enough_edge,A06EEA88D19B9403E04CA9098549366B40BB44E85989D9A729AB39467895BF75
candidate_b_directional_t100_l3_vs_long_only_all_pairs,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,13772.999764,27114.519974,-13341.52021,-1989.442654,-563.927568,-1425.515086,-6297.282489,0,left_does_not_add_enough_edge,A24FDB4C59B91BB686C3CF6F3FCD524E8D5467AC630FE7F37104E5BCF86744B6
candidate_b_directional_t100_l3_vs_short_only_all_pairs,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,SHORT_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,13772.999764,26531.777745,-12758.777981,-1989.442654,-694.023413,-1295.419241,-6297.282489,0,left_does_not_add_enough_edge,9379EA19FF26D33F10DF0C41B93F17B1760EF744F21FAA85D944F30DA7CAEF85
candidate_b_directional_t100_l3_vs_deterministic_random_side,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,DETERMINISTIC_RANDOM_SIDE_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,13772.999764,26726.881812,-12953.882048,-1989.442654,-375.382096,-1614.060558,-6297.282489,0,left_does_not_add_enough_edge,A7A9E7F89C8A1F0AAE768D9421B13ADD91891F25AEB1D45CF8D433E98A8257B6
candidate_b_current_flip_vs_no_flip_force_diagnostic,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,13772.999764,14820.927278,-1047.927514,-1989.442654,-2895.729322,906.286668,-6297.282489,0,left_does_not_add_enough_edge,25E1D2F25D69EF67BA96F3934E7E3088A9FC0C3139FCB9B40DE46F2C12F2152E
candidate_b_current_flip_vs_warehouse_losing_flip_diagnostic,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,13772.999764,13842.569182,-69.569418,-1989.442654,-1992.408147,2.965493,-6297.282489,0,left_does_not_add_enough_edge,EA571674D168D5F3A4E35C0846B0EC7B0F2122C09BAE71080CA247FAB09533EA
