rule_id,fill_count,raw_final_equity_adr,break_even_cost_adr_per_fill,cost_adr_per_fill_to_reduce_return_25pct,cost_adr_per_fill_to_reduce_return_50pct,cost_adr_per_fill_to_make_flat,final_equity_after_0_01_adr_per_fill_cost,final_equity_after_0_05_adr_per_fill_cost,equal_0_01_cost_still_beats_directional_t100,hedged_vs_directional_equal_cost_crossover_adr_per_fill,cost_read,content_hash
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,124689,9901.156008,0.079407,0.019852,0.039703,0.079407,8654.266008,3666.706008,false,0.404099,preliminary_cost_proxy_only,AD7833DDB69C0387A2AA5CD3791AE4055DDE6FD1EEAC53808828BB69E299DFAA
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,107731,11713.727501,0.108731,0.027183,0.054366,0.108731,10636.417501,6327.177501,false,0.404099,preliminary_cost_proxy_only,863655B830E26C6702112915A9753358255F8507318D5CAA4E06718AFCABBF62
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,106080,13772.999764,0.129836,0.032459,0.064918,0.129836,12712.199764,8468.999764,false,0.404099,preliminary_cost_proxy_only,47F9B72A24A48F6D8B0AEB530FD8BD195216749BD2A5EDF7DF1D5FDD40F85555
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,110454,13018.163434,0.11786,0.029465,0.05893,0.11786,11913.623434,7495.463434,false,0.404099,preliminary_cost_proxy_only,18BD233B929427F8E3DCF3D499A9F509C4919712BA2C9B690CC5439FA03D6E0C
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,106080,13842.569182,0.130492,0.032623,0.065246,0.130492,12781.769182,8538.569182,true,0.404099,preliminary_cost_proxy_only,D2F06D662862B78B91A291BB2A3E025868F6A2F2FA76C1C2676FB67447DEFC62
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,105766,14820.927278,0.140129,0.035032,0.070065,0.140129,13763.267278,9532.627278,true,0.404099,preliminary_cost_proxy_only,9A5E1B71AE7E5480FE0543B88592E64C7D08A005A8B2AEDD22AE7F320D1602FD
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,204752,53646.297719,0.262006,0.065502,0.131003,0.262006,51598.777719,43408.697719,true,0.404099,large_gross_edge_buffer_but_full_broker_cost_model_required,79FE6523BDE3E544ACB571D71DF500627B4BDAF5BB32DBCB6B9D8F1C2EC4FF86
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,305641,82549.112283,0.270085,0.067521,0.135043,0.270085,79492.702283,67267.062283,true,0.404099,preliminary_cost_proxy_only,4556EE1B26A07E746F659777C1E8899299AF97CCB981FC2BA14DFEBC4B9D92FF
LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,102551,27114.519974,0.2644,0.0661,0.1322,0.2644,26089.009974,21986.969974,true,0.404099,preliminary_cost_proxy_only,B904177FD3A76F7283E5A2EEDA7E86E4BC0CD504217697DA57FE0C4F45B84078
SHORT_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,102201,26531.777745,0.259604,0.064901,0.129802,0.259604,25509.767745,21421.727745,true,0.404099,preliminary_cost_proxy_only,8D87A13518CF0827AAD629616DD2B55DD59A492C2D2D9711A8723D28E14023E2
DETERMINISTIC_RANDOM_SIDE_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,102253,26726.881812,0.26138,0.065345,0.13069,0.26138,25704.351812,21614.231812,true,0.404099,preliminary_cost_proxy_only,B1906497D8021868DD1464191C46252A70F3EBF47B8D7038E3CE9CBA51FB4C4C
