rule_id,rule_family,base_rule_id,flip_policy,currency,closed_adr,final_open_unrealized_adr,flip_loss_adr,pair_count,mtm_adr,content_hash
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,fully_hedged_reference,,current_forced_flip_close,CAD,20309.381606,-46.217705,0,7,20263.163901,566407FA94B3B1283106D4DE694951469D4FD2ABB86B200CF763C32534D94F3A
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,fully_hedged_reference,,current_forced_flip_close,NZD,20655.170348,-107.525805,0,7,20547.644543,63D2B5200CF04E32ADD9F3E46EB4B58B9DAE370111CCA6033439D872F3BB8BA7
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,fully_hedged_reference,,current_forced_flip_close,EUR,20613.65082,-59.021895,0,7,20554.628925,80B8AA23C628F9D74672D0377DFBDC8436CD7EFC609C9E7AF91A17EC1E42F01E
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,fully_hedged_reference,,current_forced_flip_close,GBP,20651.173844,-62.569468,0,7,20588.604376,6D630FEB83963A92BF05FC5583F217C61F756BB1DCBF44C98B2CC35E6DA6918D
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,fully_hedged_reference,,current_forced_flip_close,AUD,20660.22507,-46.379236,0,7,20613.845834,C2C80627DD8FB741B1AF05820B4EE7CA3B62486AD15C62EE2C1D8BEF15AD1704
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,fully_hedged_reference,,current_forced_flip_close,USD,20828.307258,-77.235308,0,7,20751.07195,3ED41D9E2A6D7072B96F526380A0EC711ED7819F36E03CC1BCD61AD6EE317142
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,fully_hedged_reference,,current_forced_flip_close,CHF,20832.040026,-64.140371,0,7,20767.899655,41E63C5BA84291A9330C5A0195C0393519EC9C57CC2CB6848E89A910D374969C
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,fully_hedged_reference,,current_forced_flip_close,JPY,21060.921392,-49.55601,0,7,21011.365382,07877366D5EC49E97A064BE4F1693D7530559996A248F01F23A8EE7ADF84C221
LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,,current_forced_flip_close,EUR,6618.69497,-1.40602,0,7,6617.28895,012B1563ACA56868A1CBEA68085CBF52537BB13E8B030B570E17744E106E91E3
LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,,current_forced_flip_close,CHF,6708.833971,-11.053266,0,7,6697.780705,C16A159869A6394BA40ECF6B94BA8BA8A96E1AE5143864A37F1F0A3E24A965C5
LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,,current_forced_flip_close,GBP,6772.87709,-6.911085,0,7,6765.966005,44AFB23158AA89F7E7200CE5587F1516BC0EC1345EDB0C70C861632094AF1C1F
LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,,current_forced_flip_close,CAD,6806.54635,-17.403897,0,7,6789.142453,AE9C9D1D0FF9D51C88FF60EB6BBF8C1F2FB06F6E6C58E3596E98B789BCB14A3C
