rule_id,rule_family,base_rule_id,flip_policy,close_reason_bucket,event_count,adr,loss_adr,win_count,loss_count,median_event_adr,worst_event_adr,average_age_hours,content_hash
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,data_end_open_inventory,19,-2351.084511,-2351.309915,1,18,-12.004464,-2073.0693,698.388596,05F8C74A53393F199EE893F2DFE229F6EF7643BB5AEDA1FECD9C138AE777B7FA
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,target_reset_close,13141,18963.880557,0,13141,0,1.310424,0,85.527734,21DE249E2F9C688554F7CA3E83C2366BA0E43A1C9F25FFF83B4E4E6A80A32782
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,terminal_reset_limit_close,4077,5679.357619,0,4077,0,1.30544,0,20.591411,A4322EC5688952760FCE915A00E00AF3DE98B18F41DE60D011C898AC85C7BF96
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,candidate_b_flip_close,495,-7157.774507,-7245.973831,82,413,-3.835462,-628.671368,240.270539,DEEEFF1D9570DA161B0108D590F6849734F72E9C7F412BF097BE9FDE2F2BE0B9
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,data_end_open_inventory,23,-4467.300235,-4469.172912,4,19,-12.004464,-3119.377621,843.47971,914706E81B7F8940D7B2C3C5DAE45951923E76CCF24F6B131EC56B153217BFE5
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,target_reset_close,14297,16658.181016,0,14297,0,1.047997,0,71.353223,E46E20EE5C155558815E6D66947880B59A601340C0C2F52592081833734C2EF9
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,terminal_reset_limit_close,5070,5698.938595,0,5070,0,1.044309,0,19.447045,96E0357367C8444A361851BD8E8DA9CD3B5694D2962246D97F829C33513C5AA1
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,warehouse_recovery,177,20.177728,0,177,0,0.061591,0,200.504237,F9A923D520206856AE1513AB3D5115CD4629322BDF964203F53CADA59569B7C5
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,warehouse_hard_loss,166,-6241.369363,-6241.369363,0,166,-18.247304,-631.409219,396.116466,CDB6A615D3E78C06E9CB045FB26B2FC83BB0789EF42D02B065C2F9558A124ABA
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,candidate_b_flip_close,58,64.247153,0,58,0,0.583468,0,92.758046,E55742C3CB885A308C835A34B5A15728AA70F74341A49C334CF41F657F50F30D
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,data_end_open_inventory,19,-2351.084511,-2351.309915,1,18,-12.004464,-2073.0693,698.388596,94DD206A8E958A7DDEA95966482D4945DEA778C7CB255A0E94BC6EBEA8D0F742
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,warehouse_expiry,1,-6.521436,-6.521436,0,1,-6.521436,-6.521436,2241.833333,7F84DD7CD6863B8F2BE70FB60DC546264E7419BA06B5CCE9E6369F7015F7067C
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_GRACE_1W,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,target_reset_close,14297,16658.181016,0,14297,0,1.047997,0,71.353223,9AE70105A16DB02828F200C2C15C6AA392375927AF31D3F3416051A8C3E3BAF5
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_GRACE_1W,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,terminal_reset_limit_close,5070,5698.938595,0,5070,0,1.044309,0,19.447045,2ECD77B7C6B74501E65DA110FE8105B09E514A6082EB048663D5D626ADD2F39E
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_GRACE_1W,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,warehouse_recovery,196,39.316818,0,196,0,0.073667,0,206.835034,46E552DB11BBC92CEF33DBF8E4E0CAD78538F6BF86B9DDB4AF3196D8EA855C03
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_GRACE_1W,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,grace_expiry,148,-5949.075721,-5949.075721,0,148,-23.289902,-411.29657,522.65,AE859535CD0E91EDCB194B8EEF41E01D46A6E6C548083972EBC12910CB032720
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_GRACE_1W,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,candidate_b_flip_close,58,64.247153,0,58,0,0.583468,0,92.758046,2C21BABA73F1727C3AE3B122716429C0E68BBA81C62C79443B1670F1FB26CE97
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_GRACE_1W,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,data_end_open_inventory,19,-2351.084511,-2351.309915,1,18,-12.004464,-2073.0693,698.388596,E27D32B63F7B2FDC71AC493612A135BC530F79DA209208E982F98786787DEEEB
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,target_reset_close,14297,16658.181016,0,14297,0,1.047997,0,71.353223,0DA55C3D1CACE8E30F4F77252B09BE56C9189DE20F2ED0B2B9D35F52CFA35F4B
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,terminal_reset_limit_close,5070,5698.938595,0,5070,0,1.044309,0,19.447045,5AB2FB10A1939D1CBF390B64887C9EA7ADBD312BA1B1A11AD8BC1E613260B6DD
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,warehouse_recovery,62,11.827193,0,62,0,0.09598,0,241.511021,055182694A103559F5BD6FA9C341D695CE89F241FD0E73EADFFCF9DC019AF116
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,candidate_b_flip_close,179,-73.983004,-138.230157,58,121,-0.47532,-2.94759,111.658287,A204DCA1991C15A56AA4F78741C1119DEFC4CFB8FD07AAFAD13AF7EBF2D53492
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,warehouse_hard_loss,161,-6166.006072,-6166.006072,0,161,-18.754119,-631.409219,398.582402,2D66F860A3133E1B37E3C7DD6ABA882EDC663A7E158F44BA592F8641383D7710
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,data_end_open_inventory,19,-2351.084511,-2351.309915,1,18,-12.004464,-2073.0693,698.388596,A66F105A00A2A79E9D5263C319F3D7544CE7DEE3472577DDB30FCAF1394AE13E
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,no_flip_force_no_new_fills,target_reset_close,14297,16658.181016,0,14297,0,1.047997,0,71.353223,40D487A278939E4A9136677F2DF742DA0F08537CE16A2689B52CE0B7428E90AD
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,no_flip_force_no_new_fills,terminal_reset_limit_close,5070,5698.938595,0,5070,0,1.044309,0,19.447045,CCFE0E250E27A3C856946DCD64E2CE6823EC6F7AD4A2C4FCB4BD6E81B76999EA
