rule_id,rule_family,reference_only,closed_total_adr,final_equity_adr,max_drawdown_adr,return_drawdown,weekly_mtm_profit_factor,adr_calmar,adr_sharpe_weekly,adr_sortino_weekly,weekly_mtm_win_rate,monthly_mtm_win_rate,worst_1_week_mtm_loss_adr,worst_5_week_mtm_loss_adr,worst_13_week_mtm_loss_adr,final_open_unrealized_adr,worst_open_unrealized_adr,flip_loss_adr,total_fills,resets,average_active_pair_side_slots_proxy,max_active_pair_side_slots_proxy,average_open_inventory_abs_adr,max_open_inventory_abs_adr,worst_pair_by_mtm,worst_pair_mtm_adr,worst_currency_by_mtm,worst_currency_mtm_adr,content_hash
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,false,14381.312614,9901.156008,-5462.545131,1.812554,1.254319,1.812554,0.070691,0.098123,0.533512,0.662791,-1582.117861,-2392.383436,-3908.06394,-4480.156606,-5730.416295,-10815.950986,124689,28300,28,28,1095.021689,5730.416295,AUDNZD,-2853.66825,AUD,-1266.567932,44230E90102775EECDCD061EC45B14DE3E472B2867B18BC336D246B2E77A7073
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,false,14021.947533,11713.727501,-1811.737115,6.465468,1.51746,6.465468,0.13524,0.176564,0.613941,0.709302,-1139.447341,-1634.856483,-1801.272614,-2308.220032,-2627.126459,-5132.272395,107731,21658,28,28,498.892713,2627.126459,AUDNZD,-1928.811113,AUD,809.632631,21282192D64E0AB1FCA43D6000FEB1F6787FC1AD879224D824225F40ADBE130E
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,false,16124.084275,13772.999764,-1989.442654,6.923044,1.561828,6.923044,0.138719,0.188989,0.595174,0.755814,-1151.146735,-1623.435434,-1989.442654,-2351.084511,-3001.945057,-6297.282489,106080,19367,28,28,595.047388,3001.945057,AUDNZD,-1872.787925,AUD,1160.414376,A908C0815C67CA593D49212B57EC3FA6B20C40CB0B9B368D068ED9116577C88D
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,false,17485.463669,13018.163434,-4074.085132,3.195359,1.440649,3.195359,0.113014,0.152676,0.592493,0.72093,-1333.160859,-2305.981966,-3299.95095,-4467.300235,-5032.162889,-7245.973831,110454,17218,28,28,804.10926,5032.162889,AUDNZD,-2834.287678,AUD,-579.948429,39D3CAFC13A9C961241BFD6E065B47524260AD52FEBA10A8BF6952E4726F88D2
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,true,16193.653693,13842.569182,-1992.408147,6.947657,1.563144,6.947657,0.139197,0.189578,0.600536,0.744186,-1151.146735,-1634.5264,-1992.408147,-2351.084511,-3001.945057,0,106080,19367,28,28,595.974081,3001.945057,AUDNZD,-1877.541393,AUD,1104.28056,7C17B786C336DDBBF61B24C9F4AB4DED2AD94D4C75B987388AAD39EA58EE6B6D
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,true,22529.655745,14820.927278,-2895.729322,5.118202,1.438622,5.118202,0.120571,0.169177,0.576408,0.686047,-1227.028629,-2240.958708,-2559.995671,-7708.728467,-8067.331207,0,105766,19367,28,28,2238.865171,8067.331207,AUDNZD,-2766.60052,AUD,546.173603,392CF62708E32B40E3971487A8F4E75FDD2A0E3920F286FD2E692F9776C17631
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,true,53870.954145,53646.297719,-705.647194,76.024249,10.308136,76.024249,0.856116,1.103443,0.857909,0.965116,-705.647194,-232.636634,915.954548,-224.656426,-966.732115,0,204752,48500,56,56,142.941837,966.732115,EURCHF,1860.589237,JPY,13218.135585,4CA8E0A7CBA5CA2E59AE9D90ED791325C5E23CC4E0D10F3A166C82632359C44A
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,fully_hedged_reference,true,82805.435182,82549.112283,-1167.092908,70.730541,22.70833,70.730541,1.007575,0.902634,0.932976,0.988372,-1167.092908,-9.886152,1520.691714,-256.322899,-1927.15691,0,305641,74186,56,56,226.678314,1927.15691,AUDNZD,2802.589069,CAD,20263.163901,CE728036547577AAA563C1DC4BC1A49F1EECC75FFFF6045B9D746A673CD0C0E0
LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,true,27202.723157,27114.519974,-563.927568,48.081565,6.273392,48.081565,0.619147,0.712334,0.839142,0.953488,-563.927568,-398.697289,201.456977,-88.203183,-752.678688,0,102551,24544,28,28,71.384067,752.678688,EURCHF,899.902806,EUR,6617.28895,7365BC1E9FC11BE67BD80661B8298F91D9FABCF38C139F25EBE790A110F56AEB
SHORT_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,true,26668.230988,26531.777745,-694.023413,38.228938,6.188664,38.228938,0.644807,0.704105,0.817694,0.988372,-694.023413,-492.885428,91.528115,-136.453243,-829.213048,0,102201,23956,28,28,71.561777,829.213048,GBPJPY,883.123472,JPY,6354.204499,36FB92168E2EA51D355F91E5A9194DC3E0025B0B650A751E4C5756EE624981D5
DETERMINISTIC_RANDOM_SIDE_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,true,26859.003852,26726.881812,-375.382096,71.199138,7.910906,71.199138,0.775429,0.881178,0.863271,0.965116,-375.382096,-130.265732,418.956166,-132.12204,-493.661799,0,102253,24220,28,28,70.838909,493.661799,EURCHF,911.45346,JPY,6611.655909,B449318B0C0573531C01C08203D645130969C18394C92BDA8E43DE9DEF58AD9D
