rule_id,rule_family,base_rule_id,flip_policy,harvest_engine_promising,flip_logic_is_main_defect,open_tail_defect_unresolved,audnzd_currency_tail_unacceptable,closed_pnl_illusion,return_too_weak,candidate_worth_further_research,reject,content_hash
WEEKLY_FORCED_CLOSE,control,,current_forced_flip_close,false,false,false,false,false,true,false,false,0D1F68139A5245EFCFFF84DB29B53C235FCD67022D854B23A810E58F0E141057
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,false,false,false,false,false,true,false,false,6A46C6253B0233FE946223D1AC7ABD18FD364183678F9E342A8AFB61D9E301AE
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,true,true,true,false,true,true,false,true,ACD98BB943858DC3134B60DE7D0B0557209C65D84AF96E3B3651342D2C413716
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,true,true,true,false,true,true,false,true,F94F3475B7EFE6E12C00780183663666067C404B63371790B3952FF10BECDD33
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,false,false,false,false,false,true,false,false,A08A30DDD8C5C13715885D5A4E109514B5920A8811A577D629D69D9C75A07798
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,true,true,true,false,true,true,false,true,500AB2DDC02B4DF16E1DC308FE6AD085D230140CC75D594344497F1DDC33FBBA
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,true,true,true,false,true,true,true,false,B9873C2D97B5FAFCC0437005FFB732F953A8CCBBB605916C02583BB810C42CFB
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,true,true,true,false,true,true,false,true,B28BC3D27896653FA840B884D163AACEF8324530FC5BBD120C3D97598EADA4F4
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,true,false,true,false,true,true,true,false,4244B903B08803D1AD9853AE9D1EC57A8E09D4A9B9EE474391AA7189A5F34440
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_GRACE_1W,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,true,false,true,false,true,true,true,false,64316DB8AEFCE9542EC0702F5EF6CEF5051752801E3FE06621BE2041597AD165
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,true,false,true,false,true,true,true,false,8C4B58AF7BD378FD895146865800038A1A562D1D9035FE66546B3AF0BE231F2C
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,no_flip_force_no_new_fills,true,false,true,false,true,true,true,false,F1715643345BE02E9D8E40A1950012AA8C51AD611D48F86257D73D38D07B741D
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,true,false,false,false,false,true,false,false,EA41C092A32F3BD44AE59077D36686A42D8D36D2F97CB23E56970FC214679328
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,fully_hedged_reference,,current_forced_flip_close,true,false,false,false,false,false,false,false,23512FA2EED40604C0DD761BEC4D25C2A2B80964AA7DBDBDF934D64F39B3C134
LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,,current_forced_flip_close,true,false,false,false,false,true,false,false,B980E4B11993666486111F8B0DAE63CE4FF2A41AA4A366909F606502C2477A2B
SHORT_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,,current_forced_flip_close,true,false,false,false,false,true,false,false,E23710773B2E701ADB200E12201C8BA8A699096799E438A2ABE3218F2ED2B64D
DETERMINISTIC_RANDOM_SIDE_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,,current_forced_flip_close,true,false,false,false,false,true,false,false,D3062CD5118B5A60E0223DB9B3EF7D0DB11F0421DE2E79CC3551F67E69F1CBE1
