cell_id,activation_rule_id,signal_adr_brick,david_ma_period,spacing_adr,weeks_replayed,net_profit_usd,close_event_profit_factor,close_event_win_pct,weekly_equity_profit_factor,max_equity_drawdown_usd,net_to_abs_equity_dd,worst_4_week_equity_delta_usd,worst_8_week_equity_delta_usd,worst_13_week_equity_delta_usd,entries_opened,max_open_positions,max_add_depth,max_fill_age_days,target_close_net_usd,session_flatten_close_net_usd,total_commission_usd,total_swap_usd,session_flatten_count,session_flatten_positions,end_liquidation_positions,source_artifact_dir
adr05_ma25_s2,stoch_contra,0.05,25,0.2,26,4561.46,2.206231,87.47,26.519296,-131.38,34.7196,20.32,994.19,2269.74,18901,79,20,3.08,7970.56,-3409.1,-1134.06,-93.49,1064,2399,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr005_ma25_s2-exp010-rsi506040-stoch100-3-100-6040
adr05_ma25_s1,candidate_b_david_contra_confirm,0.05,25,0.1,26,4527.94,2.034656,89.88,28.093034,-90.22,50.1878,-16.22,955.84,2079.83,19783,112,23,3.08,8464.25,-3936.31,-1186.98,-70.51,791,2876,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr005_ma25_s1-exp010-rsi506040-stoch100-3-100-6040
adr025_ma25_s1,candidate_b_david_contra_confirm,0.025,25,0.1,26,4328.32,2.301305,88.23,38.202485,-45.42,95.2955,260.93,1016.82,1986.87,24010,84,21,3.04,7334.89,-3006.57,-1440.6,-50.53,548,1785,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr025_ma25_s1-exp010-rsi506040-stoch100-3-100-6040
adr1_ma50_s2,david_contra,0.1,50,0.2,26,4186.53,1.529563,86.49,10.708256,-104.75,39.9669,319.14,797.16,1792.68,15843,96,29,3.08,10945.06,-6758.53,-950.58,-180.31,1654,4875,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr010_ma50_s2-exp010-rsi506040-stoch100-3-100-6040
adr025_ma25_s2,david_stoch_confirm,0.025,25,0.2,26,4138.84,2.33387,83.07,33.999434,-83.66,49.4721,238.64,1186.29,1884.61,21316,48,13,3.04,6858.01,-2719.18,-1278.96,-68.4,739,1726,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr025_ma25_s2-exp010-rsi506040-stoch100-3-100-6040
adr025_ma25_s1,candidate_b_david_contra_conflict_candidate,0.025,25,0.1,26,3984.19,2.241865,88.76,52.067869,-78.02,51.0663,148,887.72,1727.83,22036,61,25,3.04,6903.14,-2918.95,-1322.16,-44.45,480,1729,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr025_ma25_s1-exp010-rsi506040-stoch100-3-100-6040
adr025_ma25_s15,candidate_b_david_contra_confirm,0.025,25,0.15,26,3782.91,2.468185,84.93,95.11142,-31.23,121.1306,209.11,973.37,1851.21,19445,60,14,3.04,6030.77,-2247.85,-1166.7,-40.69,586,1434,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr025_ma25_s15-exp010-rsi506040-stoch100-3-100-6040
adr05_ma25_s2,david_stoch_confirm,0.05,25,0.2,26,3654.77,2.189152,87.34,18.491399,-132.65,27.552,60.36,810.4,1638.35,14843,71,13,3.08,6406.51,-2751.74,-890.58,-74.04,826,1866,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr005_ma25_s2-exp010-rsi506040-stoch100-3-100-6040
adr1_ma50_s2,candidate_b,0.1,50,0.2,26,3627.65,1.446455,85.76,11.055614,-159.94,22.6813,-159.94,272.61,1221.81,15893,94,36,3.08,10974.25,-7346.59,-953.58,-128.4,1703,5027,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr010_ma50_s2-exp010-rsi506040-stoch100-3-100-6040
adr05_ma25_s1,candidate_b_david_contra_conflict_candidate,0.05,25,0.1,26,3446.28,1.650734,90.14,13.180756,-142.93,24.1117,-2.53,357.13,1341.1,19073,110,71,3.08,8281.92,-4835.64,-1144.38,-79.22,717,2826,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr005_ma25_s1-exp010-rsi506040-stoch100-3-100-6040
adr025_ma25_s15,candidate_b_david_contra_conflict_candidate,0.025,25,0.15,26,3377.25,2.306954,84.81,59.490724,-57.74,58.4906,138.04,860.06,1605.53,18085,47,16,3.01,5704.24,-2326.99,-1085.1,-35.58,527,1391,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr025_ma25_s15-exp010-rsi506040-stoch100-3-100-6040
adr1_ma50_s2,stoch_contra,0.1,50,0.2,26,3272.85,1.608533,86.45,14.750844,-129.26,25.3199,169.73,739.41,1603.48,11021,92,15,3.08,7691.43,-4418.58,-661.26,-110.76,1171,3378,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr010_ma50_s2-exp010-rsi506040-stoch100-3-100-6040
adr1_ma50_s1,candidate_b_david_contra_confirm,0.1,50,0.1,26,3147.98,1.411194,86.42,7.613471,-131.64,23.9136,92.94,504.44,1446.44,13463,120,58,3.08,9641.87,-6493.89,-807.78,-118.31,955,4984,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr010_ma50_s1-exp010-rsi506040-stoch100-3-100-6040
adr025_ma25_s2,candidate_b_david_contra_confirm,0.025,25,0.2,26,3134.24,2.26482,82.62,71.283809,-28.51,109.9348,175.73,743.19,1426.07,17104,47,10,3.04,5353.12,-2218.87,-1026.24,-35.72,641,1369,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr025_ma25_s2-exp010-rsi506040-stoch100-3-100-6040
adr05_ma25_s2,candidate_b_david_contra_confirm,0.05,25,0.2,26,3050.52,2.093836,86.68,44.050645,-35.6,85.6888,48.12,657.39,1373.56,13360,63,11,3.08,5559.13,-2508.61,-801.6,-46.03,820,1818,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr005_ma25_s2-exp010-rsi506040-stoch100-3-100-6040
adr1_ma50_s2,david_stoch_confirm,0.1,50,0.2,26,2874.61,1.697022,86.7,21.189857,-71.6,40.1482,131.02,562.36,1167.11,8506,77,14,3.08,6144.88,-3270.27,-510.36,-85.88,902,2583,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr010_ma50_s2-exp010-rsi506040-stoch100-3-100-6040
adr025_ma25_s2,candidate_b_david_contra_conflict_candidate,0.025,25,0.2,26,2796.2,2.076832,82.72,99.552213,-25.45,109.8703,42.88,698.75,1300.44,16264,37,12,3.04,5190.82,-2394.62,-975.84,-35.67,596,1392,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr025_ma25_s2-exp010-rsi506040-stoch100-3-100-6040
adr1_ma50_s1,candidate_b_david_contra_conflict_candidate,0.1,50,0.1,26,2577.26,1.388011,86.56,3.225986,-542.03,4.7548,-521.84,-403.84,112.99,11833,101,72,3.08,8795.65,-6218.38,-709.98,-114.43,818,4376,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr010_ma50_s1-exp010-rsi506040-stoch100-3-100-6040
adr05_ma25_s2,candidate_b_david_contra_conflict_candidate,0.05,25,0.2,26,2383.64,1.707707,87.41,14.742035,-71.59,33.2957,-35.35,259.15,911.6,12975,60,35,3.08,5479.53,-3095.89,-778.5,-48.55,748,1783,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr005_ma25_s2-exp010-rsi506040-stoch100-3-100-6040
adr1_ma50_s2,candidate_b_david_contra_confirm,0.1,50,0.2,26,2057.97,1.464887,85.5,11.510072,-67.65,30.4208,74.99,370.75,949.66,8596,63,29,3.08,5870.89,-3812.92,-515.76,-67.92,956,2773,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr010_ma50_s2-exp010-rsi506040-stoch100-3-100-6040
adr1_ma50_s2,candidate_b_david_contra_conflict_candidate,0.1,50,0.2,26,1703.03,1.440212,85.62,3.897825,-266.04,6.4014,-266.04,-130.5,254.57,7597,53,36,3.08,5360.54,-3657.51,-455.82,-64.98,819,2420,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr010_ma50_s2-exp010-rsi506040-stoch100-3-100-6040
