"signal_clock_label","signal_clock","signal_adr_brick","activation_rule_id","net_profit_usd","max_equity_drawdown_usd","weekly_equity_profit_factor","entries_opened","total_commission_usd","total_swap_usd","max_open_positions","end_liquidation_positions","target_reset_count","activation_blocked_expansion","activation_started_long","activation_started_short"
"m1","m1","0.1","raw_both","2728.09","0","","8043","-482.58","-138.79","176","139","5838","4976852","2969","2899"
"m1","m1","0.1","candidate_b","1191.12","-228.62","6.210066","3863","-231.78","-100.67","106","90","2785","2396861","1382","1422"
"m1","m1","0.1","david_contra","2161.21","-8.12","267.01619","5947","-356.82","-117.58","168","117","4156","2101328","2130","2045"
"m1","m1","0.1","stoch_contra","1019.6","-139.29","8.31979","4492","-269.52","-64.77","135","95","3234","1603274","1598","1652"
"m1","m1","0.1","david_stoch_confirm","887.02","-155.32","5.97359","4039","-242.34","-69.1","149","96","2840","1078314","1405","1451"
"adr005","adr_event","0.05","raw_both","1830.64","-360.04","6.084589","4880","-292.8","-139.68","212","181","2683","4015341","1392","1318"
"adr005","adr_event","0.05","candidate_b","831.22","-108.1","8.689124","2451","-147.06","-64.43","110","105","1347","1935423","668","694"
"adr005","adr_event","0.05","david_contra","1600.72","-24.01","67.669216","2799","-167.94","-87.62","121","113","1505","1568084","764","766"
"adr005","adr_event","0.05","stoch_contra","947.09","-115.59","9.193616","2133","-127.98","-56.99","114","90","1158","968431","567","612"
"adr005","adr_event","0.05","david_stoch_confirm","764.88","-132.61","6.767692","1727","-103.62","-50.45","105","86","912","734720","449","484"
"adr010","adr_event","0.1","raw_both","1429.84","-101.22","15.126745","3043","-182.58","-141.02","230","211","1522","4291963","783","766"
"adr010","adr_event","0.1","candidate_b","469.8","-338.35","2.181085","1550","-93","-79.76","129","129","742","1933627","356","400"
"adr010","adr_event","0.1","david_contra","1305.02","0","","1616","-96.96","-70","139","77","814","1583175","434","400"
"adr010","adr_event","0.1","stoch_contra","931.85","-79.26","6.993663","1114","-66.84","-37.44","135","48","544","818859","208","352"
"adr010","adr_event","0.1","david_stoch_confirm","688.51","-112.63","5.818178","801","-48.06","-33.01","110","36","386","529056","158","241"
"adr020","adr_event","0.2","raw_both","1425.06","0","","1166","-69.96","-58.09","198","170","511","5936696","276","263"
"adr020","adr_event","0.2","candidate_b","782.66","0","","607","-36.42","-28.46","104","104","264","2827812","131","149"
"adr020","adr_event","0.2","david_contra","752.44","0","","567","-34.02","-37.24","107","70","256","900434","184","84"
"adr020","adr_event","0.2","stoch_contra","25.75","0","","30","-1.8","-0.04","8","5","15","19327","4","13"
"adr020","adr_event","0.2","david_stoch_confirm","4.3","0","","11","-0.66","-0.16","4","4","4","17037","4","1"
