"cell","activation_rule_id","signal_adr_brick","david_settings","net_profit_usd","entries_opened","max_open_positions","max_add_depth","target_reset_count","session_flatten_count","session_flatten_positions","session_flatten_price_pnl_usd","session_flatten_swap_usd","total_commission_usd","total_swap_usd","end_liquidation_positions","max_equity_drawdown_usd","position_days","weekly_equity_profit_factor","content_hash"
"ADR0.025_MA25","raw_both","0.025","LWMA25_RSI50_60_40","1234.83","9283","80","11","6773","390","999","-1395.09","-22.29","-556.98","-33.97","0","-40.14","1100.87","31.76419","4B63497C9F9F04CD04D2142084C004B31732328A0D4E810332B0347846B4C92A"
"ADR0.025_MA25","david_contra","0.025","LWMA25_RSI50_60_40","667.18","5314","56","11","3833","205","526","-770.07","-15.2","-318.84","-21.3","0","-5.35","652.87","125.726245","31C45019BFCDE27DB747367BDDA918319A716649D10CDA72D16DA31550905721"
"ADR0.025_MA25","candidate_b","0.025","LWMA25_RSI50_60_40","522.58","4632","47","9","3373","206","522","-723.32","-10.44","-277.92","-16.59","0","-12.47","515.62","42.905486","0D588377D5D1DCBDE012B4D4C44B8A7A12B9530D3F0122C45A147B15E756F364"
"ADR0.025_MA25","stoch_contra","0.025","LWMA25_RSI50_60_40","497.8","3835","42","8","2756","137","364","-480.52","-12.09","-230.1","-17.34","0","-30.2","480.21","17.481858","3F9AF031FF4B03074BECDB90898856E1CB717D0E031010ED250DF4D5AE8B30A1"
"ADR0.025_MA25","david_stoch_confirm","0.025","LWMA25_RSI50_60_40","401.32","3355","39","8","2383","126","332","-443.54","-10.77","-201.3","-15.03","0","-36.57","433.06","11.973104","418B20AAF9E86B29CC3E25D16BDE6E6BC6C2E623951AC52240BA1C48268E724A"
"ADR0.05_MA25","raw_both","0.05","LWMA25_RSI50_60_40","827.02","7690","105","11","4834","519","1352","-1830.57","-32.19","-461.4","-48.04","0","-113.91","1470.71","8.260076","41CF43921AA395AB1F8C1AEA0CBCA7CC34E220F204B55D4834EFD006EA6E7FD4"
"ADR0.05_MA25","david_contra","0.05","LWMA25_RSI50_60_40","552.1","4025","73","11","2513","275","697","-905.3","-20.64","-241.5","-27.84","0","-58.14","782.07","10.496464","F0B7FB99CB03027852E44F4AC0EBE2E05E49202E11248E2844A985896F33A20F"
"ADR0.05_MA25","candidate_b","0.05","LWMA25_RSI50_60_40","323.5","3860","59","9","2392","289","725","-985.77","-15.6","-231.6","-23.75","0","-54.16","722.08","5.584754","6945A6CFBB6F241EDC7FEB2C4423C7C6A70314D9926082F97B61ED5DDE411932"
"ADR0.05_MA25","stoch_contra","0.05","LWMA25_RSI50_60_40","133.05","2658","74","11","1652","204","527","-715.81","-16.44","-159.48","-21.09","0","-130.79","623.63","2.017293","DCCDDBF6FD323EB11855831C2ADB5FC036F92582897D004F3315E2349488DE70"
"ADR0.05_MA25","david_stoch_confirm","0.05","LWMA25_RSI50_60_40","119.46","2153","66","11","1327","165","430","-578.6","-15.18","-129.18","-18.76","0","-133.83","504.01","1.892674","D858C56ABAD2EE51FB77405FE7234482169A522A92B511D38F6FD7B6059C7ED1"
"ADR0.075_MA25","raw_both","0.075","LWMA25_RSI50_60_40","508.28","6543","114","17","3639","560","1581","-2144.58","-39.41","-392.58","-56.36","0","-224.77","1653.8","3.261383","0398BB5185818B370B9DFE6C7B05D50C4D92991859F055DC800BE5BF4D9A7ED1"
"ADR0.075_MA25","david_contra","0.075","LWMA25_RSI50_60_40","512.71","3396","89","10","1908","298","796","-875.57","-21.12","-203.76","-29.33","0","-88.3","867.35","6.806576","A057AA276F59F3D6E057F00F794BF62DB3EE8141298377610CCA06E46390E88D"
"ADR0.075_MA25","candidate_b","0.075","LWMA25_RSI50_60_40","150.12","3282","69","9","1786","326","884","-1156.99","-19.32","-196.92","-27.83","0","-116.97","833.12","2.283461","0A9062ADB91B0D5218844F8549157D77D4CDCB7FFCBAD73DEBB4E689F7B25540"
"ADR0.075_MA25","stoch_contra","0.075","LWMA25_RSI50_60_40","126.25","2110","70","10","1179","208","549","-657.5","-13.98","-126.6","-17.83","0","-89.18","616.17","1.889351","11BC3834E2C4911EE5134FF567F2B7C875DB1CF6B52C2A3155DD2743CB782931"
