"combo","target_adr","spacing_adr","rule","net","dd","pf","entries","commission","swap","max_open","terminal"
"t015_s005","0.15","0.05","raw_both","15649.95","0","","69879","-4192.74","-912.46","1199","1177"
"t015_s005","0.15","0.05","david_contra","10837.2","0","","39072","-2344.32","-519.11","682","530"
"t015_s005","0.15","0.05","david_stoch_release","1687.67","-908.25","2.858147","5374","-322.44","-160.55","292","29"
"t020_s010","0.20","0.10","raw_both","6344.38","0","","23197","-1391.82","-525.98","781","764"
"t020_s010","0.20","0.10","david_contra","4290.04","0","","13136","-788.16","-350.01","403","358"
"t020_s010","0.20","0.10","david_stoch_release","987.31","-518.27","2.226264","3639","-218.34","-158.81","220","73"
