case_id,scope,normalized_symbol,close_year,mt5_exit_deals,replica_exit_deals,mt5_net_profit,replica_net_profit_with_observed_swap,net_profit_delta_with_observed_swap,mt5_price_profit,replica_price_profit,price_profit_delta,mt5_commission,replica_commission,commission_delta,mt5_swap,replica_observed_swap,observed_swap_delta,terminal_liquidation_deals,verdict,content_hash
audcad_h1_12y_type1_type3_primary,primary,AUDCAD,2018,120,120,515.87,502.97,-12.9,527.07,514.17,-12.9,-17.36,-17.36,0,6.16,6.16,0,0,PROFILED_PASS_YEARLY_SHAPE,4CBC17AC165E47D994AFF58B6E894D689DD23FC26030719A9A7C0F3BE745DE8B
audcad_h1_12y_type1_type3_primary,primary,AUDCAD,2019,177,177,646.57,647.29,0.72,673.38,674.1,0.72,-25.06,-25.06,0,-1.75,-1.75,0,0,PROFILED_PASS_YEARLY_SHAPE,F23F83FBD8A5748A2E73AFFBC5E463EDDB614DBFAC334F517BC526AF11D28AD0
audcad_h1_12y_type1_type3_primary,primary,AUDCAD,2020,186,186,731.08,731.6,0.52,782.4,782.92,0.52,-27.02,-27.02,0,-24.3,-24.3,0,0,PROFILED_PASS_YEARLY_SHAPE,5604C142993D4E0AFC420E23F2F1FFBA53A4B2017D74454F7B28171B40A68CD9
audcad_h1_12y_type1_type3_primary,primary,AUDCAD,2021,165,165,696.63,690.74,-5.89,666.05,660.16,-5.89,-23.52,-23.52,0,54.1,54.1,0,0,PROFILED_PASS_YEARLY_SHAPE,C2DD8899DE7A6AD583CA64AE750344990608B76D092E0235E13DAACEB50D2D1C
audcad_h1_12y_type1_type3_primary,primary,AUDCAD,2022,156,156,724.72,724.34,-0.38,625.23,624.85,-0.38,-22.4,-22.4,0,121.89,121.89,0,0,PROFILED_PASS_YEARLY_SHAPE,86A864727ACBD7FDE96297E9337C6CE93E61BE29A617C9331B62D23C29A9A302
audcad_h1_12y_type1_type3_primary,primary,AUDCAD,2023,141,141,403.93,414.83,10.9,553.6,564.5,10.9,-19.88,-19.88,0,-129.79,-129.79,0,0,PROFILED_PASS_YEARLY_SHAPE,19CFD8ECE0CEC994801C7294C10E257BF54D091C37EA38CF1D74325F284FB719
audcad_h1_12y_type1_type3_primary,primary,AUDCAD,2024,220,220,879.04,880.29,1.25,865.69,866.94,1.25,-31.5,-31.5,0,44.85,44.85,0,0,PROFILED_PASS_YEARLY_SHAPE,D82FA04E3981ADE836BA8D646E2944E40A4ECC596404E8C1AD2C5659480DD037
audcad_h1_12y_type1_type3_primary,primary,AUDCAD,2025,177,177,471.04,469.55,-1.49,674.69,673.2,-1.49,-25.2,-25.2,0,-178.45,-178.45,0,0,PROFILED_PASS_YEARLY_SHAPE,BCAFF191E859E1705E6E06B02C946A6095F762856A9602A75B11B7082DB7FC8B
audcad_h1_12y_type1_type3_primary,primary,AUDCAD,2026,90,90,-29.42,-33.54,-4.12,-294.01,-298.13,-4.12,-12.74,-12.74,0,277.33,277.33,0,16,PROFILED_PASS_YEARLY_SHAPE,37A22DD8FB03CB844BC982A1798B127B83AC2BCDFD13FE8839678CF6BF7FBB7B
audcad_h1_type3_ma_changed_primary,primary,AUDCAD,2025,152,152,3163.24,3187.91,24.67,3044.52,3069.19,24.67,-212.8,-212.8,0,331.52,331.52,0,0,PROFILED_PASS_YEARLY_SHAPE,C189245194E593A5E583F111B42E8CCF659DABB36CCBB0E031ECF387BF9C669C
audcad_h1_type3_ma_changed_primary,primary,AUDCAD,2026,108,108,1977.36,1982.92,5.56,2000.76,2006.32,5.56,-151.2,-151.2,0,127.8,127.8,0,2,PROFILED_PASS_YEARLY_SHAPE,DC84FE6348220552624BA2F998BB83EED09F84129C4FC6D878C1932E6306CB10
audjpy_h1_type3_primary,primary,AUDJPY,2019,183,183,1687.87,1689.49,1.62,1382.15,1383.77,1.62,-25.62,-25.62,0,331.34,331.34,0,0,PROFILED_PASS_YEARLY_SHAPE,F95A618544E69353D3401E84AFEC084C24D9E6AC949EAD3B7C401507B9AA7C4C
audjpy_h1_type3_primary,primary,AUDJPY,2020,212,212,2220.14,2215.98,-4.16,1626.81,1622.65,-4.16,-29.68,-29.68,0,623.01,623.01,0,0,PROFILED_PASS_YEARLY_SHAPE,7CF21FAFBC7D7A7D926033AE581564F0C9DBCACB36627A8C0A02BB5F9504F504
audjpy_h1_type3_primary,primary,AUDJPY,2021,206,206,2170.78,2140.89,-29.89,1605.16,1575.27,-29.89,-28.84,-28.84,0,594.46,594.46,0,0,PROFILED_PASS_YEARLY_SHAPE,93EE0FAEB800634998FA8ACEB41F925C0701C47BA7DB0B59A846D5294F4BA9DA
audjpy_h1_type3_primary,primary,AUDJPY,2022,187,187,1333.63,1306.2,-27.43,1249.17,1221.74,-27.43,-26.18,-26.18,0,110.64,110.64,0,0,PROFILED_PASS_YEARLY_SHAPE,F99DF14C2EB79283F8FEB2841CE20667F7ABBEA7E465AC16E36038A0BCEE61B8
audjpy_h1_type3_primary,primary,AUDJPY,2023,185,185,1404.85,1403.04,-1.81,1083.5,1081.69,-1.81,-25.9,-25.9,0,347.25,347.25,0,0,PROFILED_PASS_YEARLY_SHAPE,23845664800636F9312E6626ABCB5CE59FE215B9528056F571AFE50BF923EE34
audjpy_h1_type3_primary,primary,AUDJPY,2024,202,202,1144.41,1152.32,7.91,1038.09,1046,7.91,-28.28,-28.28,0,134.6,134.6,0,0,PROFILED_PASS_YEARLY_SHAPE,48A9FEDA1307847912B3038233FCB4B24A930A96EBF7D1FD98B8BBEB5BD5FD17
audjpy_h1_type3_primary,primary,AUDJPY,2025,226,226,1557.1,1556.73,-0.37,1162.36,1161.99,-0.37,-31.64,-31.64,0,426.38,426.38,0,0,PROFILED_PASS_YEARLY_SHAPE,0ECBACC22237D4CE373C216C0F9AB9F7F73B6E621E1E03BF6042A9F7F4528F91
audjpy_h1_type3_primary,primary,AUDJPY,2026,117,117,446.46,442.03,-4.43,218.3,213.87,-4.43,-16.38,-16.38,0,244.54,244.54,0,11,PROFILED_PASS_YEARLY_SHAPE,2627005D5188C4406E803524EAD2A223F459FBAC58004FD3DF6F8FF729356F6E
audchf_h1_type3_secondary,secondary,AUDCHF,2024,61,61,520.37,521.29,0.92,478.68,479.6,0.92,-8.54,-8.54,0,50.23,50.23,0,0,PROFILED_PASS_YEARLY_SHAPE,83C3A632E3CA5C4878F7A185521CB9A9D65DE0788FE2FE7C69B54029FE3EF570
audchf_h1_type3_secondary,secondary,AUDCHF,2025,166,166,1422.17,1412.42,-9.75,1194.48,1184.73,-9.75,-23.24,-23.24,0,250.93,250.93,0,0,PROFILED_PASS_YEARLY_SHAPE,2428B4B71D410B22FA6EC6460EBD5A7717638165FDA3C9B3025BA5DB1ED94FE8
audchf_h1_type3_secondary,secondary,AUDCHF,2026,159,159,1318.42,1310.55,-7.87,-325.97,-333.84,-7.87,-22.26,-22.26,0,1666.65,1666.65,0,36,PROFILED_PASS_YEARLY_SHAPE,6C0709BC0F25CD8A411E954464AD330C1C81C4E9BB1EBADB5B45DACFF3C9F6D3
audcad_1_hour_chart,discovered,AUDCAD,2025,143,143,780.31,782.4,2.09,700.8,702.89,2.09,-20.02,-20.02,0,99.53,99.53,0,0,PROFILED_PASS_YEARLY_SHAPE,9267AD8F31A4D992A345C14ECD45C3D5132836258DD5E0B5CDDA7FB858AEB85E
audcad_1_hour_chart,discovered,AUDCAD,2026,117,117,552.73,558.34,5.61,515.83,521.44,5.61,-16.38,-16.38,0,53.28,53.28,0,11,PROFILED_PASS_YEARLY_SHAPE,128F7F3396AAF8ED707435C091B9AF5AA039D5F44410EB66B4F8B0E4A97DA669
