case_id,scope,symbol,timeframe,source,source_path,david_profile,note,bar_count,first_bar_open_utc,last_bar_open_utc,requested_from_utc,requested_to_utc,reaches_report_start,reaches_report_end,content_hash
audcad_h1_12y_type1_type3_primary,primary,AUDCAD,1h,mt5_h1_export,C:/Users/User/AppData/Roaming/MetaQuotes/Terminal/94497F60A2BFEA1AFAB110FCF3E331BB/MQL5/Files/LimniHedge_V1_Parity_RSI60_40/AUDCAD_H1_LimniHedgeV1Parity.csv,ma100_rsi100_60_40,mt5_h1_export_loaded_for_report_profile,54890,2014-07-02T00:00:00.000Z,2026-07-03T23:00:00.000Z,2014-07-02T00:00:00.000Z,2026-07-02T23:59:59.000Z,true,true,70BF4E713738F1A17B46D1B80304BA43C6ECB9AFAEB599DE87AB98311627B309
audcad_h1_type3_ma_changed_primary,primary,AUDCAD,1h,mt5_h1_export,C:/Users/User/AppData/Roaming/MetaQuotes/Terminal/94497F60A2BFEA1AFAB110FCF3E331BB/MQL5/Files/LimniHedge_V1_Parity/AUDCAD_H1_LimniHedgeV1Parity.csv,ma100_rsi100_70_30,mt5_h1_export_loaded_for_report_profile,54890,2014-07-02T00:00:00.000Z,2026-07-03T23:00:00.000Z,2014-07-02T00:00:00.000Z,2026-07-02T23:59:59.000Z,true,true,E2D11AB5727E5582E3541E17E2EADA80D9D90E4BA05E185C491DA63D936F90F3
audjpy_h1_type3_primary,primary,AUDJPY,1h,mt5_h1_export,C:/Users/User/AppData/Roaming/MetaQuotes/Terminal/94497F60A2BFEA1AFAB110FCF3E331BB/MQL5/Files/LimniHedge_V1_Parity/AUDJPY_H1_LimniHedgeV1Parity.csv,ma100_rsi100_70_30,mt5_h1_export_loaded_for_report_profile,54890,2014-07-02T00:00:00.000Z,2026-07-03T23:00:00.000Z,2014-07-02T00:00:00.000Z,2026-07-02T23:59:59.000Z,true,true,6557665D1AB0465F9ACDB795056E98F127B4820A2EFB972FCAF63FFEB1ACB646
audchf_h1_type3_secondary,secondary,AUDCHF,1h,mt5_h1_export,C:/Users/User/AppData/Roaming/MetaQuotes/Terminal/94497F60A2BFEA1AFAB110FCF3E331BB/MQL5/Files/LimniHedge_V1_Parity/AUDCHF_H1_LimniHedgeV1Parity.csv,ma100_rsi100_70_30,mt5_h1_export_loaded_for_report_profile,54890,2014-07-02T00:00:00.000Z,2026-07-03T23:00:00.000Z,2014-07-02T00:00:00.000Z,2026-07-02T23:59:59.000Z,true,true,13C2B52D7151EB9E8E57F7F1B10899B4E03EC2AD60EDB7583A5201532D688EA5
audcad_1_hour_chart,discovered,AUDCAD,1h,mt5_h1_export,C:/Users/User/AppData/Roaming/MetaQuotes/Terminal/94497F60A2BFEA1AFAB110FCF3E331BB/MQL5/Files/LimniHedge_V1_Parity/AUDCAD_H1_LimniHedgeV1Parity.csv,ma100_rsi100_70_30,mt5_h1_export_loaded_for_report_profile,54890,2014-07-02T00:00:00.000Z,2026-07-03T23:00:00.000Z,2014-07-02T00:00:00.000Z,2026-07-02T23:59:59.000Z,true,true,E03487433A7FD5B31BF629E0CF9FE4C13664ACCA074214D50A37C108EEDDCAC4
