"receipt_type","count"
"currency_exposure","123"
"engine_step","8640"
"grid_inventory","123"
"harvest_state","1"
"intent","124"
"news_guard","1"
"order_result","124"
"position_attribution","123"
"revma_grid_add","121"
"revma_grid_add_skip","8459"
"revma_grid_birth","4"
"revma_signal","124"
"risk_decision","124"
"run_end","1"
"run_start","2"
"symbol_init","28"
"trade_plan","124"
"trade_transaction","484"
