variant_id,pair,side,close_reason,close_timestamp_utc,anchor_week_open_utc,fill_count,adverse_fill_count,expansion_fill_count,price_pnl_adr,price_pnl_usd,commission_usd,swap_usd,net_usd,min_pnl_adr,max_pnl_adr,reset_ordinal_at_start,completed_reset_ordinal,max_fill_age_days,content_hash
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,GBPUSD,SHORT,target,2020-01-08T10:01:00.000Z,2020-01-06T00:00:00.000Z,4,2,1,1.20561,13.689976,-0.24,0.018507,13.468483,-1.246483,1.20561,1,2,0.898611,82BFDA3DA5959EBCCDBA8088B20600F028314BA854256C62EA458870B7482757
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,GBPUSD,SHORT,target,2020-01-09T09:40:00.000Z,2020-01-06T00:00:00.000Z,3,1,1,1.010046,11.430017,-0.18,0.019813,11.269829,-0.489679,1.010046,2,3,0.985417,0AEFC5A491D4CDF9B4BBD80B989BC69C8DE314EF996527E46FD9E8DCAC7E2AD1
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCAD,LONG,target,2020-01-06T10:53:00.000Z,2020-01-06T00:00:00.000Z,3,2,0,1.026844,5.270009,-0.18,-0.093419,4.99659,-0.883652,1.026844,0,1,0.411806,AC63249B7E48E229DA328EAEA5A354F869E4353B94927E5ACD9903D05A56D485
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCAD,SHORT,target,2020-01-07T00:38:00.000Z,2020-01-06T00:00:00.000Z,4,1,2,1.047732,5.390009,-0.24,0.032944,5.182953,-1.653697,1.047732,0,1,0.984722,31D57A904A0060359393A331F78E2B3420AC4B22051CA4B493E865D3F1C049C8
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCAD,SHORT,target,2020-01-07T07:33:00.000Z,2020-01-06T00:00:00.000Z,3,2,0,1.001899,5.150015,-0.18,0.007312,4.977328,-0.895807,1.001899,1,2,0.288194,887D0D9C87EE0D5E3E185FE5A48B2D922FEEA895EB245B760C892DF20C6DE01D
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCAD,SHORT,target,2020-01-08T00:16:00.000Z,2020-01-06T00:00:00.000Z,3,1,1,1.038646,5.330001,-0.18,0.017847,5.167849,-0.774555,1.038646,2,3,0.696528,5C49C83C55F1D0E494ED6BF917840172361B85E3FA707F03839B7A3A7B83112C
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCAD,LONG,target,2020-01-08T07:29:00.000Z,2020-01-06T00:00:00.000Z,6,5,0,1.037478,5.300013,-0.36,-0.59,4.350013,-3.325613,1.037478,1,2,1.858333,89A5CB97C79CBE12E31BE6BF28B9B8553F990C92FBAF7E2BF268C8B647FB6F99
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCAD,LONG,target,2020-01-08T17:24:00.000Z,2020-01-06T00:00:00.000Z,3,0,2,1.004355,5.159999,-0.18,-0.111377,4.868622,-0.933252,1.004355,2,3,0.413194,B967A59D8ED27B24B6FF1BC72279F639A76CA96EBDCAD119B3174B3BA0C5EB73
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCAD,SHORT,target,2020-01-09T11:58:00.000Z,2020-01-06T00:00:00.000Z,8,6,1,1.545092,7.989997,-0.48,0.091729,7.601726,-5.65011,1.545092,3,4,1.4875,017471AA6D054F172E003921C84CF1FBCC1A8453E6E8998F5C6683721DE7596D
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCAD,SHORT,target,2020-01-09T22:32:00.000Z,2020-01-06T00:00:00.000Z,3,2,0,1.061863,5.460005,-0.18,0.010146,5.290151,-0.689272,1.061863,4,5,0.440278,54BB01B8F46D250859CDB45D7DB100B736E16141AEA2D33110967B0F9657198E
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCAD,SHORT,target,2020-01-10T14:02:00.000Z,2020-01-06T00:00:00.000Z,3,2,0,1.011918,5.200002,-0.18,0.013875,5.033877,-0.950593,1.011918,5,6,0.645833,D750A6D183475AEB44DA30E0404DC676935C2EC09CF18F93FE90265FAF225351
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCAD,LONG,target,2020-01-10T15:51:00.000Z,2020-01-06T00:00:00.000Z,6,4,1,1.053046,5.390009,-0.36,-0.701887,4.328122,-3.055335,1.053046,3,4,1.935417,ABFFE93618D305D10BBD8890CACE4BE4B86C95E61C88E31568788F81E942AD6E
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCHF,SHORT,target,2020-01-06T06:14:00.000Z,2020-01-06T00:00:00.000Z,3,0,2,1.012192,3.889994,-0.18,0.005167,3.715161,-0.028601,1.012192,0,1,0.218056,050090E30FD7F45E28C62DA21CB5A3CA564187831B08624A14D04218BE40E21F
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCHF,LONG,target,2020-01-07T03:36:00.000Z,2020-01-06T00:00:00.000Z,4,3,0,1.058738,4.060004,-0.24,-0.303438,3.516566,-1.264755,1.058738,0,1,1.108333,5347C4E2221F06ADBA8F306FAAA1A9FAD422C24FB7DFF01DFAF47877D1726D36
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCHF,SHORT,target,2020-01-07T06:02:00.000Z,2020-01-06T00:00:00.000Z,3,2,0,1.012648,3.890002,-0.18,0.028444,3.738446,-1.057977,1.012648,1,2,0.991667,58273CE72507DF445E3EED77385091E7E28E8F6830FCD549100D8A81FC56DA09
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCHF,SHORT,target,2020-01-07T14:14:00.000Z,2020-01-06T00:00:00.000Z,3,0,2,1.025445,3.929993,-0.18,0.006285,3.756278,-0.542834,1.025445,2,3,0.341667,8D534320B619B7C0F4BE388FD6281C24E146B509BF33D95C5D27475FA2B63160
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCHF,SHORT,target,2020-01-07T23:23:00.000Z,2020-01-06T00:00:00.000Z,3,2,0,1.313399,5.029998,-0.18,0.010528,4.860526,-0.622178,1.313399,3,4,0.38125,332331D7B5A866382ADA9768DEB03D882F04ADD2744E7502D1CB7A800E6DB389
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCHF,SHORT,target,2020-01-08T00:14:00.000Z,2020-01-06T00:00:00.000Z,3,0,2,1.065756,4.069992,-0.18,0.000868,3.890861,-0.128854,1.065756,4,5,0.035417,2CCC91891622A6B9D406869089DFF23F3A460BE575F151FE9FF3BC9F215A0F77
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCHF,LONG,target,2020-01-08T02:33:00.000Z,2020-01-06T00:00:00.000Z,10,9,0,1.165606,4.380002,-0.6,-0.44742,3.332583,-10.523463,1.165606,1,2,0.95625,C64AAEB9C15F941BB9F2BF86B7EA96AB1F61475C70AA0F7E7E620B3188CE4B77
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCHF,LONG,target,2020-01-08T07:31:00.000Z,2020-01-06T00:00:00.000Z,3,1,1,1.155639,4.420005,-0.18,-0.052919,4.187086,-0.702212,1.155639,2,3,0.206944,D51FB2F4DC112C800DCA2A415707B127F424D7702940872DE7E6CA72CDD2E9C3
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCHF,SHORT,target,2020-01-08T14:55:00.000Z,2020-01-06T00:00:00.000Z,10,7,2,1.274874,4.960016,-0.6,0.048375,4.408391,-9.627948,1.274874,5,6,0.611806,A6E069E14ADE05F132999740E8EEE7D24EBF0CC34E969E8B2D91321D0C9C8A10
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCHF,LONG,target,2020-01-08T16:49:00.000Z,2020-01-06T00:00:00.000Z,6,3,2,1.074931,4.100007,-0.36,-0.138059,3.601947,-3.808687,1.074931,3,4,0.3875,93E3FB898F1E703C791B68EAEAF1F5EACCA07C1D91FB68F7691D3F79FB09D062
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCHF,LONG,target,2020-01-08T18:37:00.000Z,2020-01-06T00:00:00.000Z,3,0,2,1.028627,3.949996,-0.18,-0.016748,3.753248,-0.041697,1.028627,4,5,0.075,4C8E9C212CA515EB1BCCF011B4BB841F4FBCE3B011AFAE685BBB58BEF4D80CD2
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCHF,SHORT,target,2020-01-09T09:08:00.000Z,2020-01-06T00:00:00.000Z,7,6,0,1.104103,4.259983,-0.42,0.047444,3.887427,-4.441833,1.104103,6,7,0.759028,2F6A8FB97858CDCFA6A9038E974AC39A03B5E0DEF312B2BA6194C91D2EDCC712
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCHF,SHORT,target,2020-01-09T12:58:00.000Z,2020-01-06T00:00:00.000Z,3,0,2,1.012408,3.879994,-0.18,0.003299,3.703293,-0.250684,1.012408,7,8,0.159722,4DDCDDE5EA209F48A976C2C0671877DF08A3F34040BA1B41404CC1438692C30B
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDCHF,LONG,target,2020-01-10T11:09:00.000Z,2020-01-06T00:00:00.000Z,8,7,0,1.277943,4.859984,-0.48,-0.858541,3.521443,-6.756376,1.277943,5,6,1.688889,133CD200EB88C072311E316417EF948E3E7B97D317C18D8599BFC0102948CED9
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDJPY,LONG,target,2020-01-06T10:11:00.000Z,2020-01-06T00:00:00.000Z,3,2,0,1.049905,545.998801,-0.18,-0.082466,545.736334,-0.933355,1.049905,0,1,0.382639,7FFE9CD9BCBBF3DAD922A8E3D7F44B3063EE040E273DE942E79988335D2C702A
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDJPY,LONG,target,2020-01-06T15:54:00.000Z,2020-01-06T00:00:00.000Z,3,1,1,1.051103,547.998981,-0.18,-0.039991,547.77899,-1.105382,1.051103,1,2,0.238194,4C1899E6CFECA23F77F1D54CA4B673EBCC89DB240672DAC9C594F3D190C2AC58
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDJPY,SHORT,target,2020-01-07T07:32:00.000Z,2020-01-06T00:00:00.000Z,7,4,2,1.501337,788.001392,-0.42,0.056687,787.63808,-4.319659,1.501337,0,1,1.272222,24D8FC62D09849F4BB187325D1EC2B6C39E0A1F1AB099D113663484F15FC6472
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDJPY,LONG,target,2020-01-07T08:38:00.000Z,2020-01-06T00:00:00.000Z,4,2,1,1.010809,526.999168,-0.24,-0.104691,526.654477,-1.462473,1.010809,2,3,0.697222,234FE94A35C3EA45699287A203A0DB44835A17C697D8C7289561075F5D5CDD34
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDJPY,SHORT,target,2020-01-07T10:35:00.000Z,2020-01-06T00:00:00.000Z,3,2,0,1.080865,564.999476,-0.18,0.003062,564.822538,-0.923241,1.080865,1,2,0.127083,15F308159009FE694BF84CC4057AD585DFC3CF92B6DE0BA41AA7C36B8C3300C6
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDJPY,SHORT,target,2020-01-07T23:23:00.000Z,2020-01-06T00:00:00.000Z,3,0,2,1.150221,599.000464,-0.18,0.012847,598.833312,-1.028432,1.150221,2,3,0.533333,A5E7FF5074C43C776E847A8739753C59AF85F6FC69A00DCA65208EF90B2C66CF
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDJPY,SHORT,target,2020-01-07T23:43:00.000Z,2020-01-06T00:00:00.000Z,3,0,2,1.047529,543.999662,-0.18,0.000326,543.819989,-0.007922,1.047529,3,4,0.013889,D880BC4840806182078E407B64B27519B16DBDFD4FBA3D7A57C54A7600AEEFE5
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDJPY,SHORT,target,2020-01-08T00:17:00.000Z,2020-01-06T00:00:00.000Z,3,1,1,1.080726,560.000066,-0.18,0.000576,559.820643,-0.703455,1.080726,4,5,0.023611,E9C8511330A78701DC8D01F18F7DAED01603BEC310C9102C6D3256AC6227B1D4
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDJPY,LONG,target,2020-01-08T02:05:00.000Z,2020-01-06T00:00:00.000Z,11,10,0,1.032289,518.999487,-0.66,-0.350116,517.989371,-11.124489,1.032289,3,4,0.727083,F5802B932ADFAED08A88EB2CC26AF90EA98FD11A9B85487842F31A03D82192D9
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDJPY,LONG,target,2020-01-08T02:50:00.000Z,2020-01-06T00:00:00.000Z,3,0,2,1.017182,528.99987,-0.18,-0.004139,528.815731,-0.096231,1.017182,4,5,0.03125,54A2B499D7B75BA834A95FCF83B6BF22B7F8F7D9B270F847316678A9C5613E57
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDJPY,LONG,target,2020-01-08T07:36:00.000Z,2020-01-06T00:00:00.000Z,3,2,0,1.009248,524.999508,-0.18,-0.050626,524.768882,-0.834237,1.009248,5,6,0.198611,9F00127D97F3A6AB79EA9F49785B3286AE54EEC2FED0EA8F41E6895B64D7343D
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDJPY,LONG,target,2020-01-08T16:53:00.000Z,2020-01-06T00:00:00.000Z,3,0,2,1.033725,540.000343,-0.18,-0.105009,539.715334,-1.181757,1.033725,6,7,0.386806,D46BB63D16C984FC23402CCC81207E619D63239301ED95DA9A8BD29B490C2864
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDJPY,LONG,target,2020-01-09T01:44:00.000Z,2020-01-06T00:00:00.000Z,3,0,2,1.067751,559.999545,-0.18,-0.094056,559.725489,-0.321406,1.067751,7,8,0.36875,5E1BE7CC3B57DA94E9EE6008D0644EC7DFCF780AA9C59984C8DAEDFF12C0D3F2
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDJPY,LONG,target,2020-01-10T13:37:00.000Z,2020-01-06T00:00:00.000Z,4,3,0,1.015164,531.99962,-0.24,-0.482699,531.276921,-1.804541,1.015164,8,9,1.495139,B5EBC70BE2CC7549B62C99D4913CFE947B47103BD957FA9DCB4D86353894F234
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDUSD,LONG,target,2020-01-06T09:43:00.000Z,2020-01-06T00:00:00.000Z,3,2,0,1.058382,4.340007,-0.18,-0.076862,4.083145,-0.850128,1.058382,0,1,0.363194,E0E19F106DCCE7CC5C1AB52603AC3B162C3CFAA31D11CD83BC286DC9270C305C
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDUSD,LONG,target,2020-01-07T03:13:00.000Z,2020-01-06T00:00:00.000Z,4,2,1,1.079914,4.429995,-0.24,-0.221736,3.968259,-1.296022,1.079914,1,2,0.729167,49B5C1F89CF2238C3FE276C4BA904E321B580D149626D31E6D79165745F43B96
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDUSD,SHORT,target,2020-01-07T07:40:00.000Z,2020-01-06T00:00:00.000Z,4,1,2,1.007141,4.139993,-0.24,0.044771,3.944764,-1.935414,1.007141,0,1,1.277778,46DDDAF05802B923E3AE3689F6BB0C2A5F2D58B9F59E33442316C99DC2E5F5B9
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDUSD,SHORT,target,2020-01-07T10:25:00.000Z,2020-01-06T00:00:00.000Z,3,2,0,1.044813,4.290001,-0.18,0.002854,4.112856,-0.768045,1.044813,1,2,0.114583,5A80B629568B37DF9A2EF1661CC9B956ED14BAE53FE28B20C111C0ABABC25797
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDUSD,SHORT,target,2020-01-08T00:17:00.000Z,2020-01-06T00:00:00.000Z,3,0,2,1.089948,4.459999,-0.18,0.014375,4.294374,-0.611736,1.089948,2,3,0.577778,28FD79FE626799671E28F8430954D93F67BC25764EB2865EF770328FF83439A3
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDUSD,LONG,target,2020-01-08T07:39:00.000Z,2020-01-06T00:00:00.000Z,7,6,0,1.090035,4.439985,-0.42,-0.572233,3.447752,-5.145382,1.090035,2,3,1.184722,8F287B1EA166C7C0A65E772D8C5F81EB5672A2EDAE1C953202F05D14869A7C2C
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDUSD,SHORT,target,2020-01-08T12:29:00.000Z,2020-01-06T00:00:00.000Z,7,6,0,1.267327,5.220015,-0.42,0.024285,4.8243,-4.319517,1.267327,3,4,0.508333,3F412D79A742567F9A2A59AC16B44156643B1B6775EEFD55E6D23375EBB0082E
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDUSD,SHORT,target,2020-01-09T08:10:00.000Z,2020-01-06T00:00:00.000Z,4,2,1,1.060723,4.35001,-0.24,0.027319,4.137329,-1.380619,1.060723,4,5,0.820139,E31792305AAEB077D586873BABD75F10965D9268C5B0286BFDFC982180278B66
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDUSD,SHORT,target,2020-01-09T11:58:00.000Z,2020-01-06T00:00:00.000Z,3,0,2,1.000774,4.09,-0.18,0.003653,3.913653,-0.086263,1.000774,5,6,0.158333,C67D27198EEA44901099200BFB31B328EA2076FBA0542531505F654BE92106ED
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,NZDUSD,LONG,target,2020-01-10T15:59:00.000Z,2020-01-06T00:00:00.000Z,9,6,2,1.165019,4.699995,-0.54,-1.470066,2.689929,-7.922245,1.165019,3,4,2.347222,F856E3BC900861D8A70C8FDC4915608D86F7F84FB909CE3838252765998F582F
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,USDCAD,LONG,target,2020-01-07T11:05:00.000Z,2020-01-06T00:00:00.000Z,3,2,0,1.008716,3.911845,-0.18,-0.236191,3.495654,-0.712254,1.008716,0,1,1.420139,59DD075A72F760E3B6E0DD27AA74473259F252561B101875AC57A01A51E410DC
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,USDCAD,LONG,target,2020-01-07T13:56:00.000Z,2020-01-06T00:00:00.000Z,3,0,2,1.109636,4.302798,-0.18,-0.01401,4.108788,-0.265444,1.109636,1,2,0.11875,BCF9E64E5D321E2A0026013AEB5063CB1A4BA05DD19DC79BD7761893F7FAFA95
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,USDCAD,SHORT,target,2020-01-08T01:54:00.000Z,2020-01-06T00:00:00.000Z,7,4,2,1.134349,4.428945,-0.42,0.064306,4.07325,-5.357553,1.134349,0,1,2.0375,399CAF67A2284371761B2CBF699F772BE3D72E9F7385BFAA1361C3FEFFF36FBC
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,USDCAD,LONG,target,2020-01-08T10:26:00.000Z,2020-01-06T00:00:00.000Z,6,3,2,1.044112,4.042213,-0.36,-0.308532,3.373681,-3.267639,1.044112,2,3,0.854167,5F3816AC8CD97F83126645770B82F642EF5A9E13E68B2B5F026F9D906238AA17
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,USDCAD,LONG,target,2020-01-08T16:07:00.000Z,2020-01-06T00:00:00.000Z,3,0,2,1.026278,3.979701,-0.18,-0.034579,3.765122,-0.318296,1.026278,3,4,0.236806,EB48E74E4A8708E81732BB5132DAF18189EE8B26F64C40E1C81EC97712F2CD12
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,USDCAD,LONG,target,2020-01-09T13:22:00.000Z,2020-01-06T00:00:00.000Z,3,1,1,1.007162,3.90544,-0.18,-0.174739,3.550701,-0.519318,1.007162,4,5,0.885417,45C08E8754A14A5D39913D1A1329256911B92D58E88A5C7BB9E616E3284A08D0
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,USDCAD,LONG,target,2020-01-09T15:20:00.000Z,2020-01-06T00:00:00.000Z,3,0,2,1.052266,4.080508,-0.18,-0.011781,3.888727,-0.122231,1.052266,5,6,0.081944,03D742B2ED3B9E2C3DFCEFB7B1576FDB6C013A0D03458A6E5DF5E57BDB17072B
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,USDCAD,SHORT,target,2020-01-10T13:31:00.000Z,2020-01-06T00:00:00.000Z,12,11,0,1.624422,6.398061,-0.72,0.187931,5.865991,-14.861522,1.624422,1,2,2.484028,D16BFF086BF966BA1A6C7AB50F982CE6C162E3180FD99D0349367464628A0AA3
