variant_id,activation_rule_id,protection_mode,signal_settings_id,david_settings,stochastic_settings,symbol_universe,bar_path_mode,signal_clock,signal_adr_brick,session_mode,session_time_zone,session_trade_start_et,session_trade_end_et,session_flatten_et,session_sunday_start_et,session_flatten_overrides_et,target_mode,target_adr,spacing_adr,min_ma_expansion_adr,grid_add_mode,date_range,price_bundle_id,warehouse_manifest_id,warehouse_hash,weeks_replayed,pairs_replayed,initial_deposit_usd,final_balance_usd,final_equity_before_liquidation_usd,final_equity_after_liquidation_usd,net_profit_usd,closed_price_pnl_usd,end_liquidation_price_pnl_usd,total_price_pnl_usd,total_commission_usd,total_swap_usd,target_reset_count,session_flatten_count,session_flatten_positions,session_flatten_price_pnl_usd,session_flatten_swap_usd,protection_close_count,protection_close_positions,entries_opened,closed_positions,end_liquidation_positions,max_open_positions,max_long_positions,max_short_positions,max_add_depth,max_fill_age_days,position_days,max_equity_drawdown_usd,max_balance_drawdown_usd,weekly_equity_profit_factor,close_event_count,close_event_win_count,close_event_loss_count,close_event_flat_count,close_event_profit_factor,close_event_win_pct,close_event_total_realized_pnl_adr,adr_normalized_return_pct,close_event_total_realized_market_pct,close_event_gross_profit_usd,close_event_gross_loss_abs_usd,close_event_avg_realized_pnl_adr,close_event_avg_realized_market_pct,close_event_avg_mfe_adr,close_event_avg_mae_adr_abs,close_event_avg_mfe_market_pct,close_event_avg_mae_market_pct_abs,close_event_mfe_1q_hit_count,close_event_mfe_2q_hit_count,close_event_mfe_3q_hit_count,close_event_mfe_1q_hit_pct,close_event_mfe_2q_hit_pct,close_event_mfe_3q_hit_pct,close_event_mae_1q_hit_count,close_event_mae_2q_hit_count,close_event_mae_3q_hit_count,close_event_mae_1q_hit_pct,close_event_mae_2q_hit_pct,close_event_mae_3q_hit_pct,target_close_net_usd,session_flatten_close_net_usd,protection_close_net_usd,activation_checks,activation_blocked_long,activation_blocked_short,activation_blocked_expansion,terminal_horizon_add_checks,terminal_horizon_blocked_adds,basket_solvency_add_checks,basket_solvency_blocked_adds,feasibility_observation_count,avg_required_reversion_adr,avg_available_reversion_adr,avg_reversion_feasibility_ratio,activation_started_long,activation_started_short,activation_long_allow_pct,activation_short_allow_pct,mt5_reference_net_profit_usd,mt5_reference_commission_usd,mt5_reference_swap_usd,mt5_reference_end_liquidation_net_usd,mt5_reference_max_open_positions,mt5_reference_end_liquidation_positions,net_delta_vs_mt5_usd,summary_only,metric_semantics,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,triangle_formulaic_directionless_geometry_v2_floorpin,baseline,DAVID_LWMA35_RSI21_80_20__STOCH_100_3_21_80_20_low_high_simple_main_only,LWMA35_RSI21_80_20,100_3_21_80_20_low_high_simple_main_only,"AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY",open,m1,0.1,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,session_center_band_reversion,1,0.2,0,adverse_only,2025-12-08T00:00:00.000Z..2026-05-31T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,26,28,10000,11075.69,11075.69,11075.69,1075.69,2703.64,0,2703.64,-1263.9,-364.05,5395,1678,11218,-10318.33,-321.29,0,0,21065,21065,0,187,158,111,83,3.04,9585.4,-1010.06,-874.08,1.335111,7073,6029,1044,0,1.069909,85.24,496.655106,496.655106,332.547785,16462.81,15387.12,0.070218,0.047017,0.530607,0.896299,0.34024,0.559018,4788,3426,2802,67.69,48.44,39.62,3454,2750,2318,48.83,38.88,32.77,12388.39,-11312.7,0,7291146,3695125,3588948,1599209,0,0,0,0,0,,,,3413,3660,0.09,0.1,174.51,-400.8,-4144.01,-5590.01,170,149,901.18,true,session_window_position_truth_replay,B13FAD1F3CF7DECDCAB52EA013964D9E07A63476760A2E4A1844E1093DE7FA89
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN_HORIZON,triangle_formulaic_directionless_geometry_v2_floorpin_horizon,baseline,DAVID_LWMA35_RSI21_80_20__STOCH_100_3_21_80_20_low_high_simple_main_only,LWMA35_RSI21_80_20,100_3_21_80_20_low_high_simple_main_only,"AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY",open,m1,0.1,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,session_center_band_reversion,1,0.2,0,adverse_only,2025-12-08T00:00:00.000Z..2026-05-31T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,26,28,10000,10526.94,10526.94,10526.94,526.94,2012.31,0,2012.31,-1154.4,-330.97,5395,1678,9416,-10939.54,-288.32,0,0,19240,19240,0,176,130,110,33,3.04,8962.79,-1344.22,-1258.15,1.158803,7073,5983,1090,0,1.034445,84.59,378.061345,378.061345,254.522204,15824.91,15297.96,0.053451,0.035985,0.502692,0.806307,0.322388,0.508802,4766,3392,2757,67.38,47.96,38.98,3454,2740,2307,48.83,38.74,32.62,12319.76,-11792.82,0,7291146,3695125,3588948,1599209,77366,65199,0,0,77366,0.992085,0.688462,23847756.704622,3413,3660,0.09,0.1,174.51,-400.8,-4144.01,-5590.01,170,149,352.43,true,session_window_position_truth_replay,BADFCFCF6F0131D2EDEEA5EF5BCA3D07CD62E38D62B95F6205C0F4734D7C1AD1
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN_SOLVENCY,triangle_formulaic_directionless_geometry_v2_floorpin_solvency,baseline,DAVID_LWMA35_RSI21_80_20__STOCH_100_3_21_80_20_low_high_simple_main_only,LWMA35_RSI21_80_20,100_3_21_80_20_low_high_simple_main_only,"AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY",open,m1,0.1,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,session_center_band_reversion,1,0.2,0,adverse_only,2025-12-08T00:00:00.000Z..2026-05-31T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,26,28,10000,11075.69,11075.69,11075.69,1075.69,2703.64,0,2703.64,-1263.9,-364.05,5395,1678,11218,-10318.33,-321.29,0,0,21065,21065,0,187,158,111,83,3.04,9585.4,-1010.06,-874.08,1.335111,7073,6029,1044,0,1.069909,85.24,496.655106,496.655106,332.547785,16462.81,15387.12,0.070218,0.047017,0.530607,0.896299,0.34024,0.559018,4788,3426,2802,67.69,48.44,39.62,3454,2750,2318,48.83,38.88,32.77,12388.39,-11312.7,0,7291146,3695125,3588948,1599209,0,0,13992,0,13992,0.584316,2.069606,460950.25816,3413,3660,0.09,0.1,174.51,-400.8,-4144.01,-5590.01,170,149,901.18,true,session_window_position_truth_replay,E08D45487DC8E1EB1AE339A17574102A6C37037D396FCB9C517776BA571915A4
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN_HORIZON_SOLVENCY,triangle_formulaic_directionless_geometry_v2_floorpin_horizon_solvency,baseline,DAVID_LWMA35_RSI21_80_20__STOCH_100_3_21_80_20_low_high_simple_main_only,LWMA35_RSI21_80_20,100_3_21_80_20_low_high_simple_main_only,"AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY",open,m1,0.1,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,session_center_band_reversion,1,0.2,0,adverse_only,2025-12-08T00:00:00.000Z..2026-05-31T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,26,28,10000,10526.94,10526.94,10526.94,526.94,2012.31,0,2012.31,-1154.4,-330.97,5395,1678,9416,-10939.54,-288.32,0,0,19240,19240,0,176,130,110,33,3.04,8962.79,-1344.22,-1258.15,1.158803,7073,5983,1090,0,1.034445,84.59,378.061345,378.061345,254.522204,15824.91,15297.96,0.053451,0.035985,0.502692,0.806307,0.322388,0.508802,4766,3392,2757,67.38,47.96,38.98,3454,2740,2307,48.83,38.74,32.62,12319.76,-11792.82,0,7291146,3695125,3588948,1599209,77366,65199,77366,0,77366,0.992085,0.688462,23847756.704622,3413,3660,0.09,0.1,174.51,-400.8,-4144.01,-5590.01,170,149,352.43,true,session_window_position_truth_replay,6A191BC04DC1AE689074DFC6940A75752D8AE5B117A1FCFB62E477299F62B6C0
