symbol,broker_company,source_timeframe,comparison_type,anchor_shift_bars,phase_shift_q,history_shortfall,source_time,source_close,baseline_bootstrap_bars,variant_bootstrap_bars,baseline_line,variant_line,diff_pips,abs_line_distance_q,baseline_side,variant_side
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.03.30 08:01,0.95396,720,720,0.95396,0.95396,0.000,0.000000,0,0
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.03.30 12:01,0.95397,720,720,0.95359,0.95359,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.03.30 16:01,0.95558,720,720,0.95396,0.95396,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.03.30 20:01,0.95477,720,720,0.95396,0.95396,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.03.31 00:05,0.95286,720,720,0.95396,0.95396,0.000,0.000000,-1,-1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.03.31 04:07,0.95465,720,720,0.95396,0.95396,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.03.31 08:07,0.95323,720,720,0.95396,0.95396,0.000,0.000000,-1,-1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.03.31 12:07,0.95675,720,720,0.95396,0.95396,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.03.31 16:07,0.95822,720,720,0.95470,0.95470,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.03.31 20:07,0.96051,720,720,0.95619,0.95619,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.01 00:10,0.95917,720,720,0.95768,0.95768,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.01 04:12,0.96243,720,720,0.95842,0.95842,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.01 08:12,0.96052,720,720,0.95842,0.95842,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.01 12:12,0.96399,720,720,0.95991,0.95991,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.01 16:12,0.96463,720,720,0.96139,0.96139,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.01 20:12,0.96381,720,720,0.96362,0.96362,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.02 00:16,0.96079,720,720,0.96362,0.96362,0.000,0.000000,-1,-1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.02 04:16,0.95959,720,720,0.96362,0.96362,0.000,0.000000,-1,-1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.02 08:16,0.95685,720,720,0.96288,0.96288,0.000,0.000000,-1,-1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.02 12:16,0.95602,720,720,0.96139,0.96139,0.000,0.000000,-1,-1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.02 16:16,0.95747,720,720,0.95991,0.95991,0.000,0.000000,-1,-1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.02 20:16,0.96169,720,720,0.95991,0.95991,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.03 00:20,0.96041,720,720,0.95991,0.95991,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.03 04:20,0.96212,720,720,0.95991,0.95991,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.03 08:20,0.96132,720,720,0.95991,0.95991,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.03 12:20,0.96122,720,720,0.95991,0.95991,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.03 16:20,0.96221,720,720,0.95991,0.95991,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.03 20:20,0.96095,720,720,0.95991,0.95991,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.06 01:11,0.95917,720,720,0.95991,0.95991,0.000,0.000000,-1,-1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.06 05:11,0.96288,720,720,0.95991,0.95991,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.06 09:11,0.96290,720,720,0.96065,0.96065,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.06 13:11,0.96470,720,720,0.96065,0.96065,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.06 17:11,0.96368,720,720,0.96065,0.96065,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.06 21:11,0.96290,720,720,0.96139,0.96139,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.07 01:15,0.96262,720,720,0.96139,0.96139,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.07 05:15,0.96090,720,720,0.96139,0.96139,0.000,0.000000,-1,-1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.07 09:15,0.96300,720,720,0.96139,0.96139,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.07 13:15,0.96598,720,720,0.96214,0.96214,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.07 17:15,0.96428,720,720,0.96288,0.96288,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.07 21:15,0.96661,720,720,0.96288,0.96288,0.000,0.000000,1,1
AUDCAD.i,Eightcap Global Limited,PERIOD_M1,reference,0,0.0000,true,2026.04.08 01:19,0.97045,720,720,0.96437,0.96437,0.000,0.000000,1,1
