source,system,strategyVariant,anchorType,weekOpenUtc,rowKind,gridKey,parentTradeId,tradeId,pair,direction,sourceModel,tier,fillSeq,entryUtc,exitUtc,entryPrice,exitPrice,returnRawPct,returnAdrNormalizedPct,adrPct,exitReason,activeFillsAtEntry,capThresholdAtEntry,capViolated
app,tiered,tiered_4w-adr_grid-pair_fill_cap,execution,2026-05-24T23:00:00.000Z,grid,2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT,,runtime-grid|tiered_4w-adr_grid-pair_fill_cap|2026-05-24T23:00:00.000Z|2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT|16,EURUSD,SHORT,tiered_4w,1,,2026-05-25T12:00:00.000Z,2026-05-28T04:00:00.000Z,1.16499269,1.16087657,0.62511151,1.38235112,0.45220893,grid_parent,3,3,false
app,tiered,tiered_4w-adr_grid-pair_fill_cap,execution,2026-05-24T23:00:00.000Z,fill,2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT,runtime-grid|tiered_4w-adr_grid-pair_fill_cap|2026-05-24T23:00:00.000Z|2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT|16,runtime-fill|tiered_4w-adr_grid-pair_fill_cap|2026-05-24T23:00:00.000Z|2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT|16,EURUSD,SHORT,tiered_4w,1,16,2026-05-25T12:00:00.000Z,2026-05-25T14:00:00.000Z,1.16499269,1.16393905,0.09044179,0.2,0.45220893,grid_tp,1,3,false
app,tiered,tiered_4w-adr_grid-pair_fill_cap,execution,2026-05-24T23:00:00.000Z,fill,2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT,runtime-grid|tiered_4w-adr_grid-pair_fill_cap|2026-05-24T23:00:00.000Z|2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT|37,runtime-fill|tiered_4w-adr_grid-pair_fill_cap|2026-05-24T23:00:00.000Z|2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT|37,EURUSD,SHORT,tiered_4w,1,37,2026-05-26T06:00:00.000Z,2026-05-26T14:00:00.000Z,1.16288731,1.16183558,0.09044179,0.2,0.45220893,grid_tp,1,3,false
app,tiered,tiered_4w-adr_grid-pair_fill_cap,execution,2026-05-24T23:00:00.000Z,fill,2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT,runtime-grid|tiered_4w-adr_grid-pair_fill_cap|2026-05-24T23:00:00.000Z|2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT|44,runtime-fill|tiered_4w-adr_grid-pair_fill_cap|2026-05-24T23:00:00.000Z|2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT|44,EURUSD,SHORT,tiered_4w,1,44,2026-05-26T15:00:00.000Z,2026-05-26T16:00:00.000Z,1.16288731,1.16183558,0.09044179,0.2,0.45220893,grid_tp,2,3,false
app,tiered,tiered_4w-adr_grid-pair_fill_cap,execution,2026-05-24T23:00:00.000Z,fill,2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT,runtime-grid|tiered_4w-adr_grid-pair_fill_cap|2026-05-24T23:00:00.000Z|2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT|72,runtime-fill|tiered_4w-adr_grid-pair_fill_cap|2026-05-24T23:00:00.000Z|2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT|72,EURUSD,SHORT,tiered_4w,1,72,2026-05-27T13:00:00.000Z,2026-05-27T14:00:00.000Z,1.16499269,1.16393905,0.09044179,0.2,0.45220893,grid_tp,3,3,false
app,tiered,tiered_4w-adr_grid-pair_fill_cap,execution,2026-05-24T23:00:00.000Z,fill,2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT,runtime-grid|tiered_4w-adr_grid-pair_fill_cap|2026-05-24T23:00:00.000Z|2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT|77,runtime-fill|tiered_4w-adr_grid-pair_fill_cap|2026-05-24T23:00:00.000Z|2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT|77,EURUSD,SHORT,tiered_4w,1,77,2026-05-27T15:00:00.000Z,2026-05-27T16:00:00.000Z,1.16499269,1.16393905,0.09044179,0.2,0.45220893,grid_tp,3,3,false
app,tiered,tiered_4w-adr_grid-pair_fill_cap,execution,2026-05-24T23:00:00.000Z,fill,2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT,runtime-grid|tiered_4w-adr_grid-pair_fill_cap|2026-05-24T23:00:00.000Z|2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT|81,runtime-fill|tiered_4w-adr_grid-pair_fill_cap|2026-05-24T23:00:00.000Z|2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT|81,EURUSD,SHORT,tiered_4w,1,81,2026-05-26T17:00:00.000Z,2026-05-28T00:00:00.000Z,1.16288731,1.16183558,0.09044179,0.2,0.45220893,grid_tp,2,3,false
app,tiered,tiered_4w-adr_grid-pair_fill_cap,execution,2026-05-24T23:00:00.000Z,fill,2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT,runtime-grid|tiered_4w-adr_grid-pair_fill_cap|2026-05-24T23:00:00.000Z|2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT|83,runtime-fill|tiered_4w-adr_grid-pair_fill_cap|2026-05-24T23:00:00.000Z|2026-05-24T23:00:00.000Z|tiered|tiered_4w|1|EURUSD|SHORT|83,EURUSD,SHORT,tiered_4w,1,83,2026-05-26T14:00:00.000Z,2026-05-28T04:00:00.000Z,1.16183462,1.16087657,0.0824608,0.18235112,0.45220893,grid_reset,1,3,false
