rule_id,rule_family,scope,target_adr,spacing_adr,runner_fraction,account_emergency_sl_adr,base_rule_id,reference_only,closed_adr,equity_adr,annualized_mtm_equity_adr,average_monthly_mtm_adr,median_monthly_mtm_adr,closed_adr_retention_vs_adverse_focus,equity_adr_delta_vs_t100_l3,max_drawdown_adr,recomputed_max_drawdown_adr,return_drawdown,final_open_unrealized_adr,worst_week_end_open_unrealized_adr,average_week_end_open_unrealized_adr,flip_loss_adr,worst_1_week_mtm_loss_adr,worst_5_week_mtm_loss_adr,worst_13_week_mtm_loss_adr,worst_5_week_contiguous_mtm_loss_adr,worst_13_week_contiguous_mtm_loss_adr,time_in_drawdown_weeks,time_in_drawdown_rate,longest_drawdown_duration_weeks,recovery_duration_from_max_drawdown_weeks,closed_profit_factor_weekly_closed,weekly_mtm_profit_factor,pair_week_lifecycle_profit_factor,weekly_mtm_win_rate,monthly_mtm_win_rate,rolling_13_week_win_rate_min,rolling_13_week_win_rate_median,rolling_13_week_win_rate_max,closed_only_weekly_win_rate,closed_only_monthly_win_rate,account_week_expectancy_adr,pair_week_expectancy_proxy_adr,reset_cycle_expectancy_proxy_adr,fill_level_expectancy_diagnostic_adr,average_weekly_mtm_win_adr,average_weekly_mtm_loss_adr,median_weekly_mtm_win_adr,median_weekly_mtm_loss_adr,weekly_mtm_payoff_ratio,weekly_mtm_distribution_skew,weekly_mtm_sharpe_adr_normalized,weekly_mtm_sortino_adr_normalized,adr_calmar,account_week_mfe_adr,account_week_mae_adr,pair_week_lifecycle_mfe_adr,pair_week_lifecycle_mae_adr,max_cycle_mfe_adr,total_giveback_adr,mfe_capture_ratio_proxy,mae_recovery_ratio_proxy,average_adverse_excursion_before_reset_adr,worst_adverse_excursion_before_reset_adr,total_fills,average_fills_per_week,max_fills_in_one_week,total_resets,average_resets_per_week,max_resets_in_one_week,average_active_pairs_per_week_proxy,max_active_pairs_in_one_week_proxy,average_open_inventory,max_open_inventory,average_holding_time_hours,max_holding_time_hours,turnover_proxy_fills_per_week,top20_winner_retention_vs_weekly_forced,top20_winner_adr,right_tail_give_up_vs_t150_adr,worst20_loser_concentration,worst_pair_contribution,worst_pair_final_open_unrealized_adr,worst_currency_contribution,worst_currency_final_open_unrealized_adr,audnzd_final_open_unrealized_adr_reporting_only,closed_wins_masking_floating_loss_flag,runner_loss_transfer_flag,gross_pre_cost_pre_risk_pre_promotion,institutional_label,institutional_reason,institutional_candidate_rank,primary_ranking_order,content_hash
WEEKLY_FORCED_CLOSE,control,pair,,,,,,false,638.115405,638.115405,88.959788,7.419947,2.278768,0.044371,-13134.884359,-116.795157,-116.795157,5.463543,0,0,0,0,-31.994789,-137.015712,-314.610634,-55.237608,-91.084942,303,0.812332,34,4,1.414187,1.414187,,0.520107,0.593023,0.153846,0.538462,0.846154,0.520107,0.593023,1.710765,0.061099,,0.061099,11.230724,-8.606956,8.766334,-7.272862,1.304843,0.753373,0.931175,1.809065,0.761674,,,,,9.745897,11444.855725,0.052811,0.5075,,,10444,28,0,0,0,0,28,28,,,111,,28,1,,,0.290283,,,,,,false,false,true,reference only,"control row, not an exit candidate",,"MTM equity ADR, max drawdown, weekly MTM PF, ADR-Calmar, Sortino, rolling loss behavior, open loss, flip loss, right-tail retention, execution burden, simplicity",30C4107F6F3EEAC767A1619E6F03F9708FADB4E79905CF5507260E864CD4AE9E
CARRY_UNTIL_FLIP,control,pair,,,,,,false,694.688146,597.519846,83.300354,6.947905,2.946518,0.048305,-13175.479918,-167.030217,-167.030217,3.577316,-97.1683,-139.631661,-12.765312,-963.436728,-36.95747,-159.788796,-361.898348,-61.267983,-93.469827,307,0.823056,60,,2.198218,1.349786,,0.509383,0.593023,0.153846,0.538462,0.769231,0.49866,0.639535,1.60193,0.057212,,0.770164,12.135611,-9.334679,9.538009,-7.802073,1.300057,0.595717,0.803317,1.472414,0.498714,,,,,67.010772,2277.797162,0.233706,0,,,902,2.418231,0,0,0,0,28,28,,,504,,2.418231,0.988383,,,0.30361,AUDNZD,-35.838472,AUD,-88.036828,-35.838472,false,false,true,reference only,"control row, not an exit candidate",,"MTM equity ADR, max drawdown, weekly MTM PF, ADR-Calmar, Sortino, rolling loss behavior, open loss, flip loss, right-tail retention, execution burden, simplicity",687BD14704B09E5D0BA34A3894D3FB20B40068C453F680574CB2984A22A99CBE
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,pair,0.75,0.2,,,,false,14381.312614,9901.156008,1380.322017,115.129721,139.888605,1,-3871.843756,-5462.545131,-5462.545131,1.812554,-4480.156606,-5730.416295,-1095.021689,-10815.950986,-1582.117861,-6462.22487,-12815.828748,-2392.383436,-3908.06394,280,0.75067,42,,3.813599,1.254319,,0.533512,0.662791,0.230769,0.538462,0.846154,0.89008,0.918605,26.544654,0.948023,0.508174,0.115337,245.393248,-223.747703,144.880479,-135.500816,1.096741,0.755496,0.509763,0.707576,0.252688,,,,,53.563337,11046.86115,0.565566,0.967986,,,124689,334.286863,849,28300,75.871314,312,28,28,,,22.716667,,334.286863,16.1365,11093.6766,1764.773526,0.427316,AUDNZD,-3099.046979,AUD,-4204.592123,-3099.046979,true,false,true,conservative reference,adverse-only discovery baseline retains harvest but carries large floating tail,,"MTM equity ADR, max drawdown, weekly MTM PF, ADR-Calmar, Sortino, rolling loss behavior, open loss, flip loss, right-tail retention, execution burden, simplicity",94D6BA3F98BFE7CC77E1890D3BF9E5E1E937EA3D448681248F4FB406974AEDAC
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,pair,1.5,0.2,,,,false,18012.423714,12295.79489,1714.159073,142.974359,171.682274,1.252488,-1477.204874,-7565.450203,-7565.450203,1.625256,-5716.628824,-7946.092545,-1370.498211,-14668.815258,-1570.62905,-7361.455451,-14861.678507,-3070.92484,-4839.296978,278,0.745308,41,,3.666998,1.282295,,0.544236,0.639535,0.230769,0.538462,0.846154,0.882038,0.895349,32.964598,1.177307,0.963077,0.138998,275.134387,-256.214622,176.103505,-151.957822,1.073843,0.480292,0.564903,0.761988,0.226577,,,,,31.205943,15173.387931,0.542775,0.951924,,,129588,347.420912,1270,18703,50.142091,252,28,28,,,31.683333,,347.420912,18.703482,12858.450126,0,0.439068,AUDNZD,-3088.881635,AUD,-5376.661747,-3088.881635,true,false,true,aggressive reference,no-limit two-sided reference has right-tail upside but excessive tail/open-loss behavior,,"MTM equity ADR, max drawdown, weekly MTM PF, ADR-Calmar, Sortino, rolling loss behavior, open loss, flip loss, right-tail retention, execution burden, simplicity",9BDDB735D82612F846A73BEA923AAB277EAF53B3C8D16572DC3D18F23F72F975
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,pair,0.75,0.2,,,,false,14021.947533,11713.727501,1633.012949,136.206134,154.641899,0.975012,-2059.272263,-1811.737115,-1811.737115,6.465468,-2308.220032,-2627.126459,-498.892713,-5132.272395,-1139.447341,-4088.571521,-7753.393942,-1634.856483,-1801.272614,232,0.621984,23,,9.245321,1.51746,,0.613941,0.709302,0.307692,0.615385,1,0.91689,0.965116,31.404095,1.121575,0.647426,0.130157,150.003026,-157.201149,91.3385,-104.321205,0.954211,0.098197,0.975233,1.273224,0.901352,,,,,28.620761,5242.433744,0.727869,0.984877,,,107731,288.823056,461,21658,58.064343,84,28,28,,,16.333333,,288.823056,9.623613,6616.134275,6242.315851,0.448084,AUDNZD,-2073.550175,NZD,-2132.951414,-2073.550175,false,false,true,alternate candidate,lower equity than T100/L3 but cleaner drawdown and flip-loss profile,3,"MTM equity ADR, max drawdown, weekly MTM PF, ADR-Calmar, Sortino, rolling loss behavior, open loss, flip loss, right-tail retention, execution burden, simplicity",50DD4F13AEDD9AECE571281A81DE51B13FAB64525822E2C6DC33E018574E14E7
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,pair,1,0.2,,,,false,16124.084275,13772.999764,1920.096482,160.15116,160.264324,1.121183,0,-1989.442654,-1989.442654,6.923044,-2351.084511,-3001.945057,-595.047137,-6297.282489,-1151.146735,-4601.201676,-8525.307355,-1623.435434,-1989.442654,233,0.624665,25,,8.468468,1.561828,,0.595174,0.755814,0.230769,0.615385,0.923077,0.919571,0.953488,36.924932,1.318748,0.832555,0.151999,172.466744,-162.348459,110.189551,-104.872128,1.062324,0.932599,1.000319,1.362816,0.965143,,,,,25.528312,6465.432528,0.713786,0.978224,,,106080,284.396783,465,19367,51.922252,84,28,28,,,22.7,,284.396783,11.769378,8091.325521,4767.124605,0.456571,AUDNZD,-2073.0693,NZD,-2132.245135,-2073.0693,false,false,true,primary candidate,best non-reference MTM equity with controlled drawdown versus T150 and no runner harvest collapse,1,"MTM equity ADR, max drawdown, weekly MTM PF, ADR-Calmar, Sortino, rolling loss behavior, open loss, flip loss, right-tail retention, execution burden, simplicity",CF56C2CCD2F771AD9F6884429ADCA904AB09E23F6815181ED25F4451B404362B
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,pair,1.25,0.2,,,,false,17485.463669,13018.163434,1814.864607,151.373993,189.946614,1.215846,-754.83633,-4074.085132,-4074.085132,3.195359,-4467.300235,-5032.162889,-804.10926,-7245.973831,-1333.160859,-5596.939385,-10061.81341,-2305.981966,-3299.95095,244,0.654155,27,,8.353254,1.440649,,0.592493,0.72093,0.307692,0.615385,0.846154,0.91689,0.953488,34.901242,1.246473,1.015534,0.158305,192.585188,-194.362915,117.046654,-122.281427,0.990854,0.985168,0.814958,1.100962,0.445466,,,,,25.528312,7506.47927,0.699644,0.970286,,,110454,296.123324,472,17218,46.160858,81,28,28,,,27.383333,,296.123324,13.394478,9208.564698,3649.885428,0.444923,AUDNZD,-3119.377621,AUD,-4229.76039,-3119.377621,true,false,true,too much tail,"higher closed harvest than T100/L3 but worse drawdown, open loss, and rolling loss behavior",2,"MTM equity ADR, max drawdown, weekly MTM PF, ADR-Calmar, Sortino, rolling loss behavior, open loss, flip loss, right-tail retention, execution burden, simplicity",14F05021995963FC05D020F3029947BD9849F2C073C23490219F315AB7463348
PAIR_TWO_SIDED_GRID_T075_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,0.75,0.2,0.25,,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,false,2357.105091,2254.07738,314.241351,26.210202,17.686852,0.163901,-11518.922384,-646.124869,-646.124869,3.48861,-103.027711,-794.831199,-37.675846,-1810.801341,-293.312292,-999.272243,-1799.829669,-507.787635,-390.631532,256,0.686327,32,7,4.429632,1.553754,,0.565684,0.662791,0.307692,0.538462,0.846154,0.766756,0.883721,6.043103,0.215825,0.805848,0.16035,29.974488,-25.126787,17.192635,-13.483181,1.19293,2.378264,0.774588,1.094198,0.486348,,,,,122.627654,3168.220675,0.4266,0.753326,,,14699.75,39.409517,314,2925,7.841823,58,28,28,,,24.916667,,39.409517,1.861799,1279.967376,11578.48275,0.538476,GBPAUD,-32.075966,AUD,-99.688149,-26.847504,false,true,true,too much harvest loss,runner row improves surface risk but gives up too much MTM equity and right-tail retention,6,"MTM equity ADR, max drawdown, weekly MTM PF, ADR-Calmar, Sortino, rolling loss behavior, open loss, flip loss, right-tail retention, execution burden, simplicity",06EFBC331C9B6091825BCBA16C0059E3676A5A0F86603790DA88C3B317B5610C
PAIR_TWO_SIDED_GRID_T075_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,0.75,0.2,0.5,,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,false,3129.629042,2923.668101,407.589119,33.996141,17.235796,0.217618,-10849.331663,-602.738028,-602.738028,4.850645,-205.960941,-783.3348,-31.643027,-2571.273518,-261.731093,-965.997026,-1832.075042,-527.992905,-352.638531,278,0.745308,33,2,4.080632,1.569189,,0.565684,0.593023,0.307692,0.538462,0.846154,0.707775,0.837209,7.838252,0.279938,1.069959,0.213299,38.200082,-31.707094,24.984377,-20.155695,1.20478,2.355683,0.907474,1.443515,0.676229,,,,,245.254932,5248.675183,0.37354,0.753326,,,14672.5,39.336461,314,2925,7.841823,58,28,28,,,24.916667,,39.336461,2.930317,2014.562627,10843.887499,0.438072,GBPAUD,-64.151933,AUD,-199.395565,-53.695008,false,true,true,too much harvest loss,runner row improves surface risk but gives up too much MTM equity and right-tail retention,4,"MTM equity ADR, max drawdown, weekly MTM PF, ADR-Calmar, Sortino, rolling loss behavior, open loss, flip loss, right-tail retention, execution burden, simplicity",EC1D655941F4C0A45975D45C1597E9CF143944B67DF7442FC05920FEEFACFD91
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,1,0.2,0.25,,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,false,2181.368862,2057.524025,286.83981,23.924698,20.516996,0.151681,-11715.475739,-773.468845,-773.468845,2.660125,-123.844837,-891.873323,-65.957342,-2782.341696,-390.105979,-1196.404394,-2363.255967,-626.439511,-720.379404,249,0.66756,33,,2.549282,1.35852,,0.587131,0.651163,0.076923,0.615385,0.923077,0.788204,0.906977,5.51615,0.197005,0.726155,0.129439,35.600298,-37.265852,17.591359,-16.700662,0.955306,1.297025,0.577786,0.733317,0.370849,,,,,94.445648,4108.771984,0.346792,0.759648,,,16852.5,45.180965,340,3004,8.053619,50,28,28,,,31.116667,,45.180965,2.093438,1439.216832,11419.233294,0.540336,GBPAUD,-32.034156,AUD,-106.250414,-26.747439,false,true,true,too much harvest loss,runner row improves surface risk but gives up too much MTM equity and right-tail retention,7,"MTM equity ADR, max drawdown, weekly MTM PF, ADR-Calmar, Sortino, rolling loss behavior, open loss, flip loss, right-tail retention, execution burden, simplicity",F286A0DE11D5B7D640855BC0DB85FE8306EB06A662BD3BFFE80AA0E2E32B11EB
