rule_id,rule_family,month,weeks,monthly_mtm_equity_adr,monthly_closed_adr,average_week_end_open_unrealized_adr,worst_week_end_open_unrealized_adr,cumulative_mtm_equity_snapshot_adr,monthly_mtm_win,monthly_closed_win,content_hash
WEEKLY_FORCED_CLOSE,control,2019-04,3,-9.612611,-9.612611,0,0,-9.612611,false,false,6375A382409533B5AB45F8362F2D882AF5986F0BF7EE624C4D86BA40FF389292
WEEKLY_FORCED_CLOSE,control,2019-05,4,9.418576,9.418576,0,0,-0.194035,true,true,70671DCE8CDC744518D27073531D42FDDBD14E38AEB1399C82741F1CE7364448
WEEKLY_FORCED_CLOSE,control,2019-06,5,0.894277,0.894277,0,0,0.700242,true,true,DD045C4B2609533A83E3AABF147893A91B16B3071AC2BED0D51E8EA164FCC230
WEEKLY_FORCED_CLOSE,control,2019-07,4,2.63398,2.63398,0,0,3.334222,true,true,DFD0BC4766CD199A4783F11A1FC1EA8FB7103EEAB548C00D8903F2CFF20B3F3F
WEEKLY_FORCED_CLOSE,control,2019-08,4,9.43073,9.43073,0,0,12.764952,true,true,D9D1778084968B80FA6A308C4E472A51AE8FCD7D216C289317B93C681BB0B753
WEEKLY_FORCED_CLOSE,control,2019-09,5,22.239346,22.239346,0,0,35.004298,true,true,0D4F40E8AA925B1DE63A939E616040ABD7D0F41C1BBAA3AB00FF640F690CC3C5
WEEKLY_FORCED_CLOSE,control,2019-10,4,63.614517,63.614517,0,0,98.618815,true,true,DAA4EDA3B6628AC8866CA3390027F19AD69D5D1F2939B2FE19351617E92D3CFF
WEEKLY_FORCED_CLOSE,control,2019-11,4,-23.635117,-23.635117,0,0,74.983698,false,false,E17B49A49F48F215E12E4A557728ED736A79AFC02916943467B40A2D02D262EA
WEEKLY_FORCED_CLOSE,control,2019-12,5,33.775557,33.775557,0,0,108.759255,true,true,A0E7B64C2CA9ADCDFD72368EC1A02B111BE5F1B839E37E0B26F6E9940BD6AC5A
WEEKLY_FORCED_CLOSE,control,2020-01,4,-1.243691,-1.243691,0,0,107.515564,false,false,E6B7B10CB57712144E716708AF0A55BCA27FE7D8E2E0B55B9F2CAB832D36524F
WEEKLY_FORCED_CLOSE,control,2020-02,4,23.54665,23.54665,0,0,131.062214,true,true,E02982A0DA1A920EDA53AF66845BE580F84730E95DB1C0DDEC6E8575A2250D5C
WEEKLY_FORCED_CLOSE,control,2020-03,5,11.877107,11.877107,0,0,142.939321,true,true,093B1B80003A5EFB0A7A6AA088810EC853FC179A03F1CC37506E32A04547146E
WEEKLY_FORCED_CLOSE,control,2020-04,4,1.116475,1.116475,0,0,144.055796,true,true,2C3E1F76AF25276583EED0A833D6594471B7BA004B51465A5931EBA0A8952341
