rule_id,rule_family,reference_only,total_fills,average_fills_per_week,max_fills_in_one_week,total_resets,average_resets_per_week,max_resets_in_one_week,pair_reset_count_distribution_min,pair_reset_count_distribution_median,pair_reset_count_distribution_max,average_active_pairs_per_week_proxy,max_active_pairs_in_one_week_proxy,average_open_inventory,max_open_inventory,average_closed_cycle_hold_hours,max_holding_time_hours,turnover_proxy_fills_per_week,inventory_metric_provenance,content_hash
WEEKLY_FORCED_CLOSE,control,false,10444,28,0,0,0,0,0,0,0,28,28,,,111,,28,Gate 78 artifacts do not emit intraperiod open inventory counts; fill/reset load and fixed 28-pair signal universe are reported as execution burden proxies.,6C4EBC1296B0A0F3A0189B5BC8A11C263C866274F4B6062C31AC3960F62135D5
CARRY_UNTIL_FLIP,control,false,902,2.418231,0,0,0,0,0,0,0,28,28,,,504,,2.418231,Gate 78 artifacts do not emit intraperiod open inventory counts; fill/reset load and fixed 28-pair signal universe are reported as execution burden proxies.,E52C65251EE38C95D7F35D48EABB3C6ADA2D79285D34FEB979A225490F52A9A6
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,false,124689,334.286863,849,28300,75.871314,312,698,1012,1192,28,28,,,22.716667,,334.286863,Gate 78 artifacts do not emit intraperiod open inventory counts; fill/reset load and fixed 28-pair signal universe are reported as execution burden proxies.,6772B6009FF93BD649EE1FFFE0155B138FF4FA02C0CFE2017E3B637F66833EBA
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,false,129588,347.420912,1270,18703,50.142091,252,435,677,779,28,28,,,31.683333,,347.420912,Gate 78 artifacts do not emit intraperiod open inventory counts; fill/reset load and fixed 28-pair signal universe are reported as execution burden proxies.,42B6E6D7736A85E57C8D6B3ECD2411E5971DE8326DFCFBBDA38EDADDCEF50525
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,false,107731,288.823056,461,21658,58.064343,84,610,762,888,28,28,,,16.333333,,288.823056,Gate 78 artifacts do not emit intraperiod open inventory counts; fill/reset load and fixed 28-pair signal universe are reported as execution burden proxies.,EC23D024E54B02BB2F19CE1D2125EE41AD80C7F9B2DEDF70ACFB184ABC1F3874
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,false,106080,284.396783,465,19367,51.922252,84,529,683.5,813,28,28,,,22.7,,284.396783,Gate 78 artifacts do not emit intraperiod open inventory counts; fill/reset load and fixed 28-pair signal universe are reported as execution burden proxies.,8EEC8BD21375EACE5F048AB603434880DB8789D02D67358821129097887078FB
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,false,110454,296.123324,472,17218,46.160858,81,469,611,718,28,28,,,27.383333,,296.123324,Gate 78 artifacts do not emit intraperiod open inventory counts; fill/reset load and fixed 28-pair signal universe are reported as execution burden proxies.,4E1AEF7B0C2CD778BE0BA8BAAB9D3C0CDED147AAEC5DB312F45ABF2ACCCF1116
PAIR_TWO_SIDED_GRID_T075_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,false,14699.75,39.409517,314,2925,7.841823,58,45,100.5,155,28,28,,,24.916667,,39.409517,Gate 78 artifacts do not emit intraperiod open inventory counts; fill/reset load and fixed 28-pair signal universe are reported as execution burden proxies.,79E6CB0B29C10D534C32B9CF42C403BE781483ECFABED9239BE016B4BBE933DC
PAIR_TWO_SIDED_GRID_T075_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,false,14672.5,39.336461,314,2925,7.841823,58,45,100.5,155,28,28,,,24.916667,,39.336461,Gate 78 artifacts do not emit intraperiod open inventory counts; fill/reset load and fixed 28-pair signal universe are reported as execution burden proxies.,E225B7678795805D48B9C0F661D4815D0A48FAA005D847AC2DC594ECAF2F8126
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,false,16852.5,45.180965,340,3004,8.053619,50,46,105,161,28,28,,,31.116667,,45.180965,Gate 78 artifacts do not emit intraperiod open inventory counts; fill/reset load and fixed 28-pair signal universe are reported as execution burden proxies.,FFBCEE27CDE0A181DE1E31722D6D34159A24A044575001441293ACD76B0AAEA3
PAIR_TWO_SIDED_GRID_T100_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,false,16825,45.107239,340,3004,8.053619,50,46,105,161,28,28,,,31.116667,,45.107239,Gate 78 artifacts do not emit intraperiod open inventory counts; fill/reset load and fixed 28-pair signal universe are reported as execution burden proxies.,51241729460EB83ABDD7825BF4D2A9F1367AB0FCD1333D458CA7EE895A47E02A
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,false,20395,54.678284,375,3128,8.386059,41,57,111,163,28,28,,,36.758334,,54.678284,Gate 78 artifacts do not emit intraperiod open inventory counts; fill/reset load and fixed 28-pair signal universe are reported as execution burden proxies.,80BC9664F37CBB233689327DC35AB3C2480F28A53E8C80E952BA256D35932282
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,false,20365,54.597855,375,3128,8.386059,41,57,111,163,28,28,,,36.758334,,54.597855,Gate 78 artifacts do not emit intraperiod open inventory counts; fill/reset load and fixed 28-pair signal universe are reported as execution burden proxies.,E0D4C4FAB955BB1735C036F3DE2EC43A526AC47390B117E07759DC15D59CBCFA
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK_ACCOUNT_EMERGENCY_SL_3ADR,account_emergency_sl_reference,true,40705,109.128686,323,4849,13,82,152,175,197,28,28,,,7.9,,109.128686,Gate 78 artifacts do not emit intraperiod open inventory counts; fill/reset load and fixed 28-pair signal universe are reported as execution burden proxies.,655FC60D26B43C43C99A552738D6C0443A2900D7E0B0F4F2FF0B2519968972F5
