rule_id,rule_family,entity_type,entity,final_open_unrealized_adr,negative_open_concentration_share,reporting_only,content_hash,contributing_pairs
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,pair,NZDCAD,0.505152,0,true,8134E598588F49DDD181907C0261A41CC4075F7FA3245F6A6C8E796507DE6155,
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,pair,GBPUSD,0.779778,0,true,05B41C12984CA1BF276F381A5C70D35D577EBD911D8B69B60B4053F37BFF5605,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,AUDNZD,-3119.377621,0.964553,true,2385B7696B554185314E34DC359ABD88788CA70FA45483708BA2AD37755AEC4F,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,GBPAUD,-31.870306,0.009855,true,BA4D0C92F5196A9783291DD4296A82114D5D4B05EB9EFF87DD8EA3D2D8C99A96,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,AUDJPY,-27.685395,0.008561,true,72E91C57E3B1CE91BD0EF95B48D8AF9FA82B5059E1D030C5A1AE2323D935FFA2,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,AUDCHF,-15.007425,0.00464,true,899E694A15E7EDFBE02BAA0DF83ED1A6EAFC885D5925B9CF972CD820E2B4EC52,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,USDJPY,-12.09478,0.00374,true,8EBD8FE1594BF14BD553E6B5FE61D7CE715EBAB067C1BF809C29B5380D9D3894,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,USDCAD,-11.40026,0.003525,true,4B438D81A5130A1D59E71253ED8492099EA331B24356EC8A4E8B79B9AE89C3A2,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,EURJPY,-3.066809,0.000948,true,00F15DF7D51111C10A8E057E5E72776EF7988D5E32E06A97E266BFDC15680EC3,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,CADCHF,-2.257489,0.000698,true,EAF57EAE86C5BA9D30F55AE83B6409B91DAB5AB0FFD30C9FE452300FA1F5DF1B,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,GBPJPY,-2.194662,0.000679,true,D381EBDB08BE36A8CD0D3AE0AC5C6CE1DD76EDCB011770BFEBAE36EE740BA13C,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,EURAUD,-1.762645,0.000545,true,6DA68E6E816F7D8D57F2D7E8057A521C2B22039118D047C4649E5F26FF99BF41,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,AUDCAD,-1.571398,0.000486,true,F220E61904EC908F4DA35EDEA46251E9978A762C498B0846C93A02BED777DEDB,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,EURUSD,-1.423411,0.00044,true,A97B05DE651E120B4DD6E99D7F02DDE36C8056F3CA5E919C217535714A98EAE7,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,NZDUSD,-1.347097,0.000417,true,01975A8A4DEB765FECBAEF4B5CFED4A2381DC382458175259BD11CEDE16D78BD,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,GBPCAD,-0.768461,0.000238,true,0CC223D7E3AA7C7674DF982075F90FB860160D01B465AA6DA004F94A9A6A53AE,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,CADJPY,-0.664891,0.000206,true,DF0B5DD088E1A6F8B570EB82AAD4FF29A9B267E3E9E37FE3AC23AC42F1B3181C,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,EURGBP,-0.620037,0.000192,true,F29951EE6D11EB6B48F2F8D5C3ABC3ABB137FC9DC5BF8F7A83C5A97AD246DF3D,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,NZDCHF,-0.538833,0.000167,true,E1A6CEF7E8995E32652E36407D2DB40E643D9ADF6CE490C46DB3CD2CEE27000F,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,GBPNZD,-0.239835,0.000074,true,8708254E2F15C9DB38F95E577AFB57F4F846EC8DD56F2A1FC327B5E1221CFFB0,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,USDCHF,-0.120785,0.000037,true,70900F20287D2FDBB926C3609036A16C608CBDCB45A20558C50F20DA3FFFA79A,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,EURNZD,0.190752,0,true,33BCB7469E315DF7AFFEC80B58A6294F5FBE7DE97A1B3024929512AF63374CE9,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,NZDCAD,0.505152,0,true,0F3608DB07DD11CE939929FD7DC9A5506FC9B1A723875B7B38C1052957751075,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,GBPUSD,0.779778,0,true,7D65949F747B1A4F3749396FB5293A591194FCB8EB2925393EEDCFFFA2DDBD27,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,AUDUSD,0.809262,0,true,F8BD7736A7D589BAF08352445D8569315B8A81D3A92D3ABB44FF237125622AB4,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,EURCHF,1.184642,0,true,6F36319F2FFCEEDF282DD28092EF547FDEC79D45396820CEE15228DB36FBC062,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,EURCAD,1.218239,0,true,5E7F1A8359ECCBF304BA14395572D0A50B41F5FED7AAB8233FC5F40E32148C5B,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,NZDJPY,1.491066,0,true,F57018E8C8D34C2A711A1A598F3ECB073CF42E0F7ADF970AACBEBA88EEEB6BDC,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,CHFJPY,1.815855,0,true,62F4E1508F3E32A896189D342BB76B3F12196CAC318D47E396F168A401CCE1FB,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_025,pair_final_reset_runner,pair,GBPCHF,9.688638,0,true,C38DC9C72B3B8016FEE63B312ED4E929615F7EE2BA333526CE2F0DD42E0F254D,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,AUDNZD,-3119.377621,0.931543,true,5FC3C4814E2C84BC5C8B919931D16087685B78C84BC2A68422124526462B3C65,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,GBPAUD,-63.740988,0.019035,true,B9F7B6A2BAE551EFC983E12764AB8882C95B112FC85EE2074599EFD3B26A67E9,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,AUDJPY,-55.351294,0.01653,true,79E7D24FE4437A3267AB89A67298E73647FCEF8ED544D1C3BF65A635947D75BD,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,AUDCHF,-30.014759,0.008963,true,99D6AA932D3AF7572B16EA2FD9DB8C24280EB5851C0348556A2068A122237B6E,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,USDJPY,-24.18956,0.007224,true,54A16FDA63F21E69786D7FC0E59ACA9246260D069E67C95E030D5D33D596E960,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,USDCAD,-22.800186,0.006809,true,E226D7F59E6DC82FBB8CB8EAB12C78F361DB66E73BDE919528B47A90E6119C2B,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,EURJPY,-6.133618,0.001832,true,A0151D33BD75E35A0118C7F0A0A7CD6ABF5374EFD9FD6D94DC1C073044EF109F,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,CADCHF,-4.514979,0.001348,true,A22DECD59EA6BC4E9F0504D64F7262F8DC8127B5EC0CE6F019AED1300B38DE87,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,GBPJPY,-4.343555,0.001297,true,1BA23D1E4C4AD93CC1BC62F7B23F177BD11F993B31124E341A051D3948AA4536,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,EURAUD,-3.52547,0.001053,true,4E90FD1F8C4CF892EC20895DA0084C0FFD7C5CB7B84045E81F2330A1FDD66BDB,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,AUDCAD,-3.142654,0.000938,true,C7BA03703D9DEA135073407A92ED5EC6221253E77E82EA50DE254A49F52F488D,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,EURUSD,-2.846823,0.00085,true,5B063E7DB1850A6F4C79279DC3E5DB8BA8B44479AD9EBECE761D32B4659EF73C,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,NZDUSD,-2.694273,0.000805,true,CE6A1BBA61154A8E4DE29501DFEA0CE11019D635E2F0A9E1487787E6FC5ED764,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,GBPCAD,-1.536585,0.000459,true,DA269147490B86F6AF4CD69060DFEBA2E5236A3D352CA7D0E581DBF6F788C3B6,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,CADJPY,-1.360823,0.000406,true,00DD2AA92898D5A3220B87A4B682C4E9C4751D393BA61AE98AE7CF9996473C1C,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,EURGBP,-1.240074,0.00037,true,6CDEF30829D55048E1EB90C93110F295FC9A76CD3FCF68BD4CA7A50BF6675AE9,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,NZDCHF,-1.07759,0.000322,true,BDDD0E33C91D129CE250BE432DF83804D39586B0576DF5A6E9C4AB1133CD05A3,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,GBPNZD,-0.479671,0.000143,true,1E48EC7ACA94FAF550DF1DB591594F4C0D3629D31F89DE7186284DD8BE4C31E1,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,USDCHF,-0.24157,0.000072,true,CDFC2D9E90DBF45A66E1249AA2DB2B5ABA0992088E04A29EF37C48B3515F1228,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,EURNZD,0.381787,0,true,82B8ABA2EE15188217147F3256B45555E1B459F7A33FE8733D4F731B0AB0E23D,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,NZDCAD,0.505152,0,true,75B79B6233B89CA7B4D74862DC2E2E399D2365AEC7CB6BEC623FDB897A5C8691,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,GBPUSD,0.779778,0,true,852AD9486C13E557B10BE4190B0B9C59B090E358BCEB4D9A1042967A518B4E6E,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,AUDUSD,1.618525,0,true,893554A9F0117226E397737E21DE9D9D53A5D3B6546075BA4525557A11D9D00A,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,EURCHF,2.369285,0,true,D11D8F814E695562B697653D9BEB63809398AC1043CEA76D5BB9B08F65A6D943,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,EURCAD,2.436478,0,true,30DED55B7DA7DA4D3C888BE793EA2FD053F2FA5BDB20853185FD26351223C65D,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,NZDJPY,2.969603,0,true,23687845532D8760448C36E19B3744C88CEEF5CF52F4846381A8FBF3B2EF590D,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,CHFJPY,3.631709,0,true,9D1ACABB1D305FD715F1342B6EA789576F77A5774D9AAD2EFC451461B2054B29,
PAIR_TWO_SIDED_GRID_T125_S020_L3_FINAL_RESET_RUNNER_050,pair_final_reset_runner,pair,GBPCHF,19.377055,0,true,512222033325603C1E1EB1544A718002BB25A8A0A7F90DD513F2A07BE30FB1B6,
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,pair,AUDNZD,-3099.046979,0.691576,true,9A681695537712836E6585248E3802EA9BAEFAEBAC85A139A4BE07CE47F2DBFB,
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,pair,AUDJPY,-791.32201,0.17659,true,2584D2BE4138A3DD44B9E6F0E0BAE857A303B26C99C1A3A370E6457DBC7526EB,
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,pair,GBPAUD,-289.848397,0.064682,true,8E1515486B76E2032FA0CFBD0F089F5E6A5891B0F5A19C6A82C1FC3C61ACCC9A,
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,pair,USDCAD,-81.529317,0.018194,true,4A826FDE0CFDCD36E9FA986162066E15A923733DFAC34DC734F5E57864242C4B,
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,pair,EURUSD,-31.702403,0.007075,true,BF16509CD0FC369E508EF91965EB26C20F5C6A16489C181F9ADA90FFB519DB83,
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,pair,USDJPY,-30.304606,0.006763,true,5FF7A7894BA1519F4CB915ED8D671CC06870337423FB6718761B8A3454B81ADF,
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,pair,GBPNZD,-29.985386,0.006691,true,0AECFD1E9AB5BAE8A1D642B366BF4AFF6E8C3D950AC4E71F7D5D85F1E75DD45B,
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,pair,USDCHF,-28.169186,0.006286,true,9C1E11BC02C16A8E3CC178CBBCCE148A7ACAD94DEF1B665FB82FED470F63DE9A,
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,pair,EURAUD,-24.810429,0.005537,true,84E42FA1986E58DCAFF06B17BB6BC1383CAAEAC9B15AEF98F7F11FCDC8C4F2EC,
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,pair,NZDUSD,-22.593394,0.005042,true,B862861784C3B2579D52A548296B86ADCE3514A5FC9235541DA6D90837CF91CE,
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,pair,GBPCHF,-20.276503,0.004525,true,3EC9336EAC81A405C4E75D08F13E1CFC78471211909B3B450C9052ED63240A38,
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,pair,NZDJPY,-11.712953,0.002614,true,098F0BC13F4015ED12F154321765133E8F9821BF7A57B048B9B83F819A09C5F6,
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,pair,EURCAD,-4.615877,0.00103,true,53DE80098605D80F5B13D5EAF36428EE95F89CDEA1E0A229A786577BF6E1645C,
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,pair,EURGBP,-3.606858,0.000805,true,3E52CE6B2DE87BD2BDC2A6B35767B00C59AA42AEC166282B333DEACF55919446,
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,pair,EURJPY,-2.517224,0.000562,true,E7F87D95317E1BC5E6D65EE2A31DE3FCFCB78D9DA31C9B9546AF24822989646E,
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,pair,CHFJPY,-2.27004,0.000507,true,507A1692959B39485A77D6D93003FD41D09E5B55BE21627E89AD72D1B71CC8D9,
