"Terminal","RelativePath","RepoHash","TerminalHash","Status"
"14275","Include\Execution\TradeRouter.mqh","F4024DDBCA40F6B5B241556257B2672D7DEEE4F0A7C2089D28C2C28102833AB4","F4024DDBCA40F6B5B241556257B2672D7DEEE4F0A7C2089D28C2C28102833AB4","MATCH"
"14275","Include\HistoricalReconstruction.mqh","B53F7E436468AA3F2A465AABFD2A865334A095D7EF2727A4480AE76BB0889FA3","B53F7E436468AA3F2A465AABFD2A865334A095D7EF2727A4480AE76BB0889FA3","MATCH"
"14275","Include\Strategies\Revma\RevmaVisualReporter.mqh","41D188707F60AAE20A4A133A325AB6B4618EA9869E3B5C3337C038965134B258","41D188707F60AAE20A4A133A325AB6B4618EA9869E3B5C3337C038965134B258","MATCH"
"14275","Include\Execution\MagicCodec.mqh","59E4646D4BFD2C5618DF9245AAF6CC3B4D731EE73E01A571C1A18EF57D12B986","59E4646D4BFD2C5618DF9245AAF6CC3B4D731EE73E01A571C1A18EF57D12B986","MATCH"
"14275","Include\Generated\Contract.mqh","391D9E473120DCD909D8C5F6720BA7E971BE063200017FBD375D178454E4538B","391D9E473120DCD909D8C5F6720BA7E971BE063200017FBD375D178454E4538B","MATCH"
"14275","Include\Receipts\StateSnapshot.mqh","BD6B540BFED1ED43DAD533ADE7261667C5E4730C45D6D21699A215D73736A136","BD6B540BFED1ED43DAD533ADE7261667C5E4730C45D6D21699A215D73736A136","MATCH"
"14275","Include\Strategies\Revma\RevmaGridProtectionManager.mqh","3C660ABD6514069BF425EBBAA8F9193D5DB56A9029D263E4317D8D58E25F7C52","3C660ABD6514069BF425EBBAA8F9193D5DB56A9029D263E4317D8D58E25F7C52","MATCH"
"14275","Include\Core\Types.mqh","82B3E49462C6A0A7BA203082493D8DAD5EEB331A4B698FAEC03C3280B68CC094","82B3E49462C6A0A7BA203082493D8DAD5EEB331A4B698FAEC03C3280B68CC094","MATCH"
"14275","Include\Market\TickBarCache.mqh","44BF4F4E373AC17D3D4B7AC01F5A34808A4C82143C42F77C057C60090AB6AC1F","44BF4F4E373AC17D3D4B7AC01F5A34808A4C82143C42F77C057C60090AB6AC1F","MATCH"
"14275","Include\Receipts\RuntimeTelemetry.mqh","874A25A1256EE7277EEE40344CD9DB177B51DC420575A5CFB1F078DCD8D8EF3F","874A25A1256EE7277EEE40344CD9DB177B51DC420575A5CFB1F078DCD8D8EF3F","MATCH"
"14275","Include\Strategy\RolloverEngine.mqh","B6C8F902AFCBD875550929D23D1E75AFA6A49F75E26925AED40ACD666F24F7A6","B6C8F902AFCBD875550929D23D1E75AFA6A49F75E26925AED40ACD666F24F7A6","MATCH"
"14275","Include\Core\Config.mqh","2606CA73460D57C7FD78132632B218E78C5EA0820238FA7A8838A0D66296AA3E","2606CA73460D57C7FD78132632B218E78C5EA0820238FA7A8838A0D66296AA3E","MATCH"
"14275","Include\Market\SessionCalendar.mqh","D0ACA0FE88096082D66260302B5EBF348CFC1C6A7CCBF1BF7D4BA6E08F83FC99","D0ACA0FE88096082D66260302B5EBF348CFC1C6A7CCBF1BF7D4BA6E08F83FC99","MATCH"
"14275","Include\Market\M1Clock.mqh","715429E852BD659041FDB6DE3F39ACBC08F9FC7855A266A190775B76F9E6A839","715429E852BD659041FDB6DE3F39ACBC08F9FC7855A266A190775B76F9E6A839","MATCH"
"14275","Include\Market\SymbolSpecCache.mqh","B62D0403ADC6D1085C5448B24D96E4689E7543FA6D356DE5DEB9F3012D208B04","B62D0403ADC6D1085C5448B24D96E4689E7543FA6D356DE5DEB9F3012D208B04","MATCH"
"14275","Include\Strategies\StrategyRegistry.mqh","EDD797F895262DFB88DF0FF16D4CF8E7E88FA67E246228A7547F366EB990D25B","EDD797F895262DFB88DF0FF16D4CF8E7E88FA67E246228A7547F366EB990D25B","MATCH"
"14275","Include\Signals\SignalSnapshot.mqh","998132B5BAF03794BBCDBDCD5AAE7086EC7EB0EE18683F5BD01C99542C951A03","998132B5BAF03794BBCDBDCD5AAE7086EC7EB0EE18683F5BD01C99542C951A03","MATCH"
"14275","Include\Portfolio\CurrencyExposureGuard.mqh","1544554588D50FD68DA1CF15D07EA0DC264D870D76AF1BF5812B6F971CDB1CF7","1544554588D50FD68DA1CF15D07EA0DC264D870D76AF1BF5812B6F971CDB1CF7","MATCH"
"14275","Include\Signals\LrmgState.mqh","B2EBB32F9D65BB6148E6C56259561790DFEF33807396A6EFFDE2D4DACAB0CEE4","B2EBB32F9D65BB6148E6C56259561790DFEF33807396A6EFFDE2D4DACAB0CEE4","MATCH"
