"receipt_type","count"
"currency_exposure","147"
"engine_step","5744"
"grid_inventory","147"
"harvest_state","1"
"intent","146"
"news_guard","1"
"order_request","280"
"order_result","268"
"position_attribution","147"
"revma_grid_add","112"
"revma_grid_add_skip","4523"
"revma_grid_birth","22"
"revma_reentry_gate","109302"
"revma_signal","134"
"risk_decision","146"
"run_end","1"
"run_start","2"
"stop_take_profit_guard","2873"
"symbol_init","28"
"trade_plan","146"
"trade_transaction","1072"
