rule_id,rule_family,base_rule_id,flip_policy,currency,closed_adr,final_open_unrealized_adr,flip_loss_adr,pair_count,mtm_adr,content_hash
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,GBP,73.975787,-4.271389,-259.153742,7,69.704398,171369D42DCFCFB2C96268F6CB81CA4CFB4A8C765326EE4A95F8FC628981FF87
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,USD,88.356655,-16.886489,-262.241962,7,71.470166,1FF29E508282FE0E0CB59B089788191D85D8154191726A1EF709502723FF3430
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,JPY,162.560506,-41.801185,-312.585073,7,120.759321,497AB685B8E72CC8200145E05FD5084C1FADD5EA737DDEB83A62BBEDC6EFA5FF
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,EUR,144.774451,-0.370636,-217.456664,7,144.403815,6FB53BCD93EC65D81E3F461CCB979CE90850B5A4090A90DC43C8AFA1982C28D0
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,AUD,232.98593,-88.036828,-232.524877,7,144.949102,195C83A2F34EDACB84A06389A903AF4E03C7308405CB2AF1D0C6278ADE34AA92
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,NZD,225.780648,-38.970528,-224.074054,7,186.81012,0AF62F7C98D1FCE0618E7847A0F4F3C4EF417D6DFBB5A8D0B9F18BE270A38BDA
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,CAD,206.1394,-5.213997,-238.975076,7,200.925403,1E26118F5BC53C803065354096FBA11B7C50186A668FCB70CA558EB9D4087AD6
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,CHF,254.802915,1.214452,-179.862008,7,256.017367,E16E6F14AA8B7D508A833CB8952CEE7BD0238D16AE9DC6FD0AA3753038ECDCD3
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,JPY,13256.542262,-38.406677,0,7,13218.135585,EDF6222A3F84A0C954F1D6250046B8A1D91359E6C52345F50214177515C00D19
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,CHF,13391.39885,-58.705173,0,7,13332.693677,793E47D687391E98F7F3DF932C7ED64BBFB0CDFD49D040F1C534C695A57BDE24
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,EUR,13389.076328,-39.063189,0,7,13350.013139,7DFEA2ED548C8515F5423A426021A1AAF4FE57C834B5064827559FDAB8F688C2
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,GBP,13424.559051,-55.71227,0,7,13368.846781,E6E9B21552F8E26F8B8119BCD7EB5314658D336A81F3885EDE5677ACE81658EB
