rule_id,rule_family,base_rule_id,flip_policy,reset_ordinal_bucket,event_count,closed_adr,open_unrealized_adr,win_rate,average_win_adr,average_loss_adr,worst_loss_adr,average_adverse_excursion_adr,flip_loss_adr,final_open_loss_adr,worst_pair,worst_pair_loss_adr,content_hash
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,reset_13,72,76.63136,0,1,1.064324,,0,-6.960608,0,0,AUDCAD,0,DA797119246C7C095C1366D8F3F76C39C828960D44A5B58784903C79D7B92CE5
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,reset_14,48,65.280064,0,0.979167,1.477031,-4.140377,-4.140377,-7.856873,-4.140377,0,GBPAUD,-4.140377,EE512A25A83C51071B491C661930919DEC80BB6EEEBAF6768FD3F7B8E0CCC674
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,reset_15,32,43.375526,0,1,1.355485,,0,-61.967688,0,0,AUDCAD,0,4F7D3AA4A3ECED86AF9453F6D98B77D8B513DF45824F220C70C5C479CEC963BC
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,reset_16,22,23.35892,0,0.954545,1.180823,-1.438361,-1.438361,-4.763626,-1.438361,0,EURJPY,-1.438361,7F86F2F9ABD08DC7BC8FB025E0C18152958C09A2CD08AAAD019EBF741876729C
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,reset_17,17,19.730486,0,1,1.160617,,0,-0.888776,0,0,AUDCAD,0,9730BDD049A72AFBA69044DA9D4A31A2B5100ADA3073EA181187D0512545C5CC
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,reset_18,11,18.853318,0,1,1.713938,,0,-2.242379,0,0,AUDCAD,0,5B7E6EA48EDB59BD909D24BCC045D8C81016E1C9DDDCE4050C24BD0D7EE7E8FB
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,reset_19,7,8.144531,0,1,1.163504,,0,-11.39228,0,0,AUDCHF,0,E4FE9DC6CB863EB25625B9814BCCD1EFF6D2458AD928AE9AE9E7CCB113FA062A
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,reset_20,5,5.264587,0,1,1.052917,,0,-4.747405,0,0,AUDCHF,0,1409685615EB7E310197E80EEE57006837B3127367390E834E601B855F243D11
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,reset_21,2,1.731011,0,1,0.865506,,0,-4.747921,0,0,AUDCHF,0,979DA6CCC6165B3FA51780277BA6A2AE6AB37251D3B49B441964ED99F407B661
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,reset_22,1,0.833008,0,1,0.833008,,0,-0.136215,0,0,AUDCHF,0,3DC89B49D0CA20178C439E36DA9D656D0C68FBCF4E976EE2505F56ED467332C9
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,reset_23,1,7.928392,0,1,7.928392,,0,-1.896824,0,0,AUDCHF,0,B36AC0666D1E072B063A55549B649CA31B0CF206CB922243AC9D2F082ACA1177
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,initial_cycle,930,841.195257,0,0.954839,1.67058,-15.292371,-82.92663,-6.457426,-642.27958,0,CADJPY,-99.982175,EB512A73D84A903CECED9FAD3C8EEF8E6FA8D43136AD7C2DF124926AD056CF32
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,reset_1,6424,6549.755176,-30.706142,0.970079,1.684473,-20.500474,-615.97793,-7.261033,-3936.091048,-31.795207,AUDCAD,-687.941317,D3674FFF7E7781978953BB9D92189ED60CB6D71CE9B1A580D13582F3F24A0088
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,reset_2,4844,3735.931514,-3391.491683,0.966928,1.703122,-26.445466,-1335.319119,-8.814718,-4231.274586,-3391.577044,AUDNZD,-3091.531328,0835A80069FE24157CC3C66D962D4FC6074B853E1633CA5B37840C85F019C6EA
