rule_id,rule_family,base_rule_id,flip_policy,pair,closed_adr,mtm_adr,final_open_unrealized_adr,worst_week_end_open_unrealized_adr,flip_loss_adr,target_reset_adr,sample_end_event_count,content_hash
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,AUDJPY,87.362171,59.904931,-27.45724,-29.253299,-14.096371,0,1,6C4F06C286916ED0693C7132D561BD9F982B888FCDC0D0EB262F3A555275EC9C
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,CADCHF,63.332649,61.203758,-2.128891,-3.799528,-12.504102,0,1,08162D67CFD76FCB2A0124AFADBC8A0B4BEED01DB49927C43EBA57372E75CB7B
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,AUDCHF,76.175525,64.057368,-12.118157,-12.372406,-19.423345,0,1,383983501ABCA418BE212D9CE0215862802B6C1276164705BE10816511D8C836
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,EURNZD,66.820306,66.160805,-0.659501,-5.591679,-9.354517,0,1,86C4506174E5672F9E993CAFCA2A28085E730300882A8897677E830FD41C9665
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,EURCHF,1873.254314,1860.589237,-12.665077,-82.620477,0,1873.254314,298,36B20B920A927987B9F7DBED513050C48B49E95D81358902D83DB6EE42B4A788
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,CADJPY,1866.330753,1865.709822,-0.620931,-88.888263,0,1866.330753,309,0F9EFF77FA1685905FEB9742AB6BDD0D5550BAEBAD936D6AB37FA6F38E465598
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,GBPJPY,1871.447218,1871.447218,0,-102.009261,0,1871.447218,301,DDBFEEDD6A8909887937C7879876D4BDEE28AEA2B41DB0405BB3209AAC7B4AC2
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,EURJPY,1875.511821,1875.511821,0,-73.865117,0,1875.511821,294,AA900DE96698FB7D28A49A18AAD8838554C19C3911B07F41492669F302D96077
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,GBPCHF,1903.461165,1884.509115,-18.95205,-89.75492,0,1903.461165,276,8D614B50D3EF5F88272513BDBEDA1B61E8C1B40F9225D71AEF2A289000023ACA
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,,current_forced_flip_close,CHFJPY,1898.7586,1894.455936,-4.302664,-88.036582,0,1898.7586,282,EE5EBE94E01599A0FFA4293C658D2DC152DB9AACE2F529C17AF5E9D0E990D276
