rule_id,base_rule_id,flip_policy,closed_total_adr,final_equity_adr,final_open_unrealized_adr,worst_week_end_open_unrealized_adr,flip_loss_adr,max_equity_drawdown_adr,worst_13_week_loss_adr,closed_weekly_win_rate,mtm_weekly_win_rate,warehouse_position_count,warehouse_recovery_rate,warehouse_final_unresolved_loss_adr,average_warehouse_duration_hours,max_warehouse_duration_hours,equity_delta_vs_base_adr,open_delta_vs_base_adr,drawdown_delta_vs_base_adr,flip_loss_delta_vs_base_adr,transfer_read,content_hash
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_LOSER_WAREHOUSE,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,warehouse_losing_flip_no_new_fills,14241.957938,9761.801332,-4480.156606,-5737.711289,0,-5443.881128,-3925.299997,0.89008,0.530831,616,0.602273,0,8.583333,2185,-139.354676,0,18.664003,10815.950986,did_not_improve_flip_tail_balance,F016EF4D8C1FE04C7083E5B3BBB55C206249D41E36ED2E6D07D11AF38B883904
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_GRACE_1W,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,grace_window_losing_flip_no_new_fills,15402.382894,10922.226288,-4480.156606,-5730.416295,0,-4806.489856,-3799.612728,0.89008,0.522788,616,0.644481,0,38.691667,169,1021.07028,0,656.055275,10815.950986,reduced_flip_loss_and_improved_mtm,63D099C05E9C68D850FF374B113FEE7F35080E77169396F8D5C52A32E8E47CD8
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,close_small_loss_warehouse_large_loss,14213.006215,9732.849609,-4480.156606,-5730.416295,-310.995218,-5458.791317,-3916.80398,0.89008,0.533512,300,0.26,0,6.566667,903.466667,-168.306399,0,3.753814,10504.955768,did_not_improve_flip_tail_balance,92C7E65A0D4E380857B4074310CBD681045DB877D8A838C02863497119A385F0
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__NO_FLIP_FORCE_DIAGNOSTIC,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,no_flip_force_no_new_fills,25311.038916,11775.065002,-13535.973914,-13997.332027,0,-7679.752157,-4830.648047,1,0.541555,616,0.949675,-9055.817308,38.691667,52695,1873.908994,-9055.817308,-2217.207026,10815.950986,reduced_flip_loss_but_transferred_damage_to_open_inventory,47104FC16B8E4C5EE70F5E17C528D75FA87D626DC43356168E18F8373FAFC75C
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP__FLIP_LOSER_WAREHOUSE,PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,warehouse_losing_flip_no_new_fills,17922.902902,12206.274078,-5716.628824,-7950.202064,0,-7525.31001,-4848.017532,0.876676,0.536193,679,0.547865,0,7.8,2184,-89.520812,0,40.140193,14668.815258,did_not_improve_flip_tail_balance,BDDCE9EBB9CEB952FDBC70F87A8560927670A4EB8AEB546F93D7DE102B2F0212
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP__FLIP_GRACE_1W,PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,grace_window_losing_flip_no_new_fills,19010.070114,13293.44129,-5716.628824,-7946.092545,0,-6903.833997,-4840.971676,0.86059,0.530831,679,0.60972,0,55.9,169,997.6464,0,661.616206,14668.815258,reduced_flip_loss_and_improved_mtm,BD1EFE0594602222E89ADEEB7AAA3485D6F936B4E98F1E4A18EB204723BD9156
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,close_small_loss_warehouse_large_loss,17919.428348,12202.799524,-5716.628824,-7946.092545,-307.477394,-7545.276775,-4851.199551,0.871314,0.541555,398,0.28392,0,5.608333,878.333333,-92.995366,0,20.173428,14361.337864,did_not_improve_flip_tail_balance,F90B63841E12C9351E45EAE8C8DA7F2145101C2906ADEC0A25A29D213766AE20
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP__NO_FLIP_FORCE_DIAGNOSTIC,PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,no_flip_force_no_new_fills,32835.922327,13803.155947,-19032.76638,-19359.403024,0,-10180.94506,-5989.009087,1,0.517426,679,0.942563,-13316.137556,55.9,52695,1507.361057,-13316.137556,-2615.494857,14668.815258,reduced_flip_loss_but_transferred_damage_to_open_inventory,22F20FC4757F95F9449967EBDA168D4F6E765B6D91F91519FB50D0CE994ED1F7
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,10507.437543,10126.20102,-381.236523,-1850.992699,0,-1386.121244,-1306.570008,0.911528,0.61126,155,0.374194,0,2.1,1223.7,-11.346538,0,8.120759,3789.579526,did_not_improve_flip_tail_balance,160E4CE3EABC6BDDC9FD4911B63E0281A4C7718836E46A862A88B8D317FC5559
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK__FLIP_GRACE_1W,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,11007.624246,10626.387723,-381.236523,-1850.992699,0,-1393.99832,-1311.794791,0.906166,0.600536,155,0.464516,0,168,169,488.840165,0,0.243683,3789.579526,reduced_flip_loss_and_improved_mtm,AF9B89C0FDD9593F63590C123977B6F9B2388A5932369AB50D8CACF6E6934664
