rule_id,rule_family,scope,target_adr,spacing_adr,two_sided_grid,reset_limit_per_week,runner_fraction,account_emergency_sl_adr,base_rule_id,flip_policy,fully_hedged_reference,reference_only,closed_total_adr,final_equity_adr,equity_profit_factor,closed_profit_factor,max_equity_drawdown_adr,final_open_unrealized_adr,worst_week_end_open_unrealized_adr,closed_adr_retention_vs_gate74e_focus,final_equity_retention_vs_gate74e_focus,top20_winner_retention_vs_weekly_forced,worst_week_loss_adr,worst_5_week_loss_adr,worst_13_week_loss_adr,negative_years,mtm_weekly_win_rate,closed_weekly_win_rate,mtm_monthly_win_rate,closed_monthly_win_rate,time_in_drawdown_weeks,longest_drawdown_weeks,equity_curve_roughness_adr,closed_cycles,target_reset_cycles,account_reset_events,account_emergency_sl_events,flip_loss_adr,flip_event_count,warehouse_position_count,warehouse_recovered_count,warehouse_recovery_rate,warehouse_final_unresolved_loss_adr,average_warehouse_duration_hours,max_warehouse_duration_hours,negative_cycles,recovered_negative_cycles,negative_cycle_recovery_rate,fill_count,adverse_recovery_fill_count,favorable_expansion_fill_count,closed_adr_from_initial_fills,closed_adr_from_recovery_fills,closed_adr_from_expansion_fills,average_closed_cycle_hold_hours,max_cycle_mfe_adr,total_giveback_adr,content_hash
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,pair,0.75,0.2,true,2,,,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,false,true,10507.437543,10126.20102,1.61575,7.721318,-1386.121244,-381.236523,-1850.992699,0.730631,1.022729,6.255792,-1029.767911,-1217.250752,-1306.570008,1,0.61126,0.911528,0.686047,0.953488,223,21,115.326567,16445,16275,0,0,0,15,155,58,0.374194,0,2.1,1223.7,15968,15845,0.992297,80554,47416,16693,422.844056,9479.549187,605.044297,16.1,34.556042,3864.557292,9D0C8CEAC1769DF7A0DDC95EB9AAB6DC859C0C188D9BBF22DFDFCC42EE978D12
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK__FLIP_GRACE_1W,flip_counterfactual,pair,0.75,0.2,true,2,,,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,false,true,11007.624246,10626.387723,1.641909,8.774193,-1393.99832,-381.236523,-1850.992699,0.765412,1.073247,6.069646,-1029.767911,-1217.250752,-1311.794791,0,0.600536,0.906166,0.709302,0.965116,232,23,117.252267,16445,16275,0,0,0,15,155,72,0.464516,0,168,169,15968,15859,0.993174,80554,47416,16693,422.557175,9992.57723,592.489837,16.1,34.556042,3370.808902,31DBE1DF2D8381EC740E438C900F3CFDEDB6DDCA030534CB5874210A3CA793C5
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,pair,0.75,0.2,true,2,,,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,false,true,10492.661616,10111.425093,1.615359,7.674325,-1387.91141,-381.236523,-1850.992699,0.729604,1.021237,6.245395,-1029.767911,-1219.040918,-1308.360174,1,0.61126,0.911528,0.686047,0.953488,226,21,115.214239,16445,16275,0,0,-42.026587,46,124,29,0.233871,0,0.216667,753.9,15968,15816,0.990481,80554,47416,16693,419.591625,9470.945917,602.12407,16.1,34.556042,3878.995448,3E656F6AA156C0B9CE15065820CC43618B93EC3FF89910F8C527F968DC84F521
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,pair,0.75,0.2,true,2,,,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,no_flip_force_no_new_fills,false,true,14372.226437,10213.085259,1.467986,,-1604.159284,-4159.141178,-4238.90289,0.999368,1.031504,6.475153,-839.446671,-1346.077972,-1553.18464,1,0.589812,1,0.662791,1,253,23,144.397026,16437,16275,0,0,0,15,155,147,0.948387,-3777.904655,193.283333,52695,15968,15934,0.997871,80319,47192,16690,612.768473,13065.693901,693.764065,16.1,34.556042,35.027013,F3D1EC00A463FB04018789A32EEB144432898195832D71FF946E13B152D8AD93
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,pair,0.75,0.2,true,3,,,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,false,true,14028.861203,11720.641171,1.515576,9.295385,-1826.760979,-2308.220032,-2627.126459,0.975492,1.183765,9.625486,-1139.447341,-1632.008906,-1812.76206,1,0.605898,0.919571,0.709302,0.965116,235,23,153.315828,21969,21658,0,0,0,43,268,123,0.458955,0,7.133333,2184,21358,21158,0.990636,107731,63510,22252,513.868375,12701.913504,813.079254,16.333333,28.620761,5245.550051,1AABF4CB8CF727ECAB5E17CC5471DBB0EA44E4780B605D58A885E2FC78C12ACC
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_GRACE_1W,flip_counterfactual,pair,0.75,0.2,true,3,,,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,false,true,14224.287547,11916.067515,1.514426,8.466369,-1709.896784,-2308.220032,-2627.126459,0.989081,1.203503,9.422083,-1139.447341,-1632.008906,-1610.350318,1,0.613941,0.906166,0.72093,0.94186,244,23,156.149228,21969,21658,0,0,0,43,268,140,0.522388,0,104.916667,169,21358,21175,0.991432,107731,63510,22252,508.244818,12931.297888,784.744779,16.333333,28.620761,5056.427697,477125469F671DF4E257360CA380294AC3828283370EBFE0E09B30B500702C89
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,pair,0.75,0.2,true,3,,,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,false,true,14021.218941,11712.998909,1.515718,9.24024,-1817.110743,-2308.220032,-2627.126459,0.974961,1.182993,9.614626,-1139.447341,-1634.856483,-1803.111824,1,0.605898,0.919571,0.72093,0.965116,230,23,153.182382,21969,21658,0,0,-84.018696,122,189,50,0.26455,0,0.866667,882.283333,21358,21085,0.987218,107731,63510,22252,511.065517,12694.134465,816.018886,16.333333,28.620761,5252.534391,06395FF357DA6305061ABB3589E3CBC38F8B4BECE458ABCDD65572C5F2A58D38
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,pair,0.75,0.2,true,3,,,PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,no_flip_force_no_new_fills,false,true,19239.485961,11894.890868,1.395726,,-2921.847932,-7344.595093,-7743.049098,1.337812,1.201364,10.626838,-1085.696072,-2009.107668,-2422.51103,1,0.587131,1,0.651163,1,246,39,193.060736,21955,21658,0,0,0,43,268,254,0.947761,-5036.375061,104.916667,52695,21358,21289,0.996769,107399,63199,22245,800.830849,17487.331523,951.323528,16.316667,28.620761,69.953974,AA422CFFDE6D03AD8940E2C68BBEE9A95F7C8EAF264C756BBA12F26A22141826
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,pair,1,0.2,true,3,,,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,false,true,16193.653693,13842.569182,1.563144,8.461062,-1992.408147,-2351.084511,-3001.945057,1.126021,1.398076,11.771937,-1151.146735,-1634.5264,-1992.408147,1,0.600536,0.914209,0.744186,0.953488,232,25,168.912456,19769,19367,0,0,0,58,344,177,0.514535,0,7.625,2184,19333,19089,0.987379,106080,65843,20468,613.849074,14576.603322,1003.201326,22.7,25.528312,6401.317358,5A2561584951E112B8D2C10E190C5B2FE3D758B018FC6C8237AD2977D49017AD
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_GRACE_1W,flip_counterfactual,pair,1,0.2,true,3,,,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,false,true,16511.607861,14160.52335,1.564245,7.840712,-1694.811188,-2351.084511,-3043.178003,1.148129,1.430189,11.5312,-1151.146735,-1578.927434,-1660.82999,1,0.592493,0.908847,0.732558,0.953488,246,25,172.529069,19769,19367,0,0,0,58,344,196,0.569767,0,81.641667,169,19333,19108,0.988362,106080,65843,20468,607.451665,14913.551379,990.60482,22.7,25.528312,6096.634875,3D4DAC4679F33D9EE4AA1D6795E001901B00ED5D5288413E5CC3FE557FE2B953
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,pair,1,0.2,true,3,,,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,false,true,16128.957728,13777.873217,1.560775,8.415976,-1988.00802,-2351.084511,-3001.945057,1.121522,1.391542,11.743463,-1151.146735,-1627.31646,-1988.00802,1,0.600536,0.914209,0.744186,0.953488,231,25,168.677041,19769,19367,0,0,-138.230157,179,223,62,0.278027,0,2,878.366667,19333,18974,0.981431,106080,65843,20468,600.238788,14535.108938,993.610023,22.7,25.528312,6464.929832,FDCC8B0124F4CC59A5B25A68662E53270335E44969E74D40DD8E35A7A36F9FD6
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,pair,1,0.2,true,3,,,PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,no_flip_force_no_new_fills,false,true,22529.655745,14820.927278,1.438622,,-2895.729322,-7708.728467,-8067.331207,1.566592,1.496889,13.132926,-1227.028629,-2240.958708,-2559.995671,1,0.576408,1,0.686047,1,248,39,220.912814,19756,19367,0,0,0,58,344,331,0.962209,-5357.643956,81.641667,52695,19333,19243,0.995345,105766,65555,20455,933.163745,20388.10951,1208.382508,22.683333,25.528312,115.653429,BF30AEDD3013BE093138A03D7FB5CCA8F75DE6935D819DD44463912870B5CCA2
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,pair,1.25,0.2,true,3,,,PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,warehouse_losing_flip_no_new_fills,false,true,17525.932805,13058.63257,1.440995,8.26353,-4092.87448,-4467.300235,-5032.162889,1.21866,1.3189,13.408665,-1332.846058,-2318.396081,-3312.0798,1,0.589812,0.91689,0.72093,0.953488,242,27,193.786007,17713,17218,0,0,0,82,413,216,0.523002,0,7.966667,2184,17399,17098,0.9827,110454,66112,26629,606.559762,15685.247607,1234.1255,27.383333,25.528312,7470.375932,F96F13C081A48CE9960C382EE07A9ACAAD28D392B38C4B40C06AA34C420D7585
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_GRACE_1W,flip_counterfactual,pair,1.25,0.2,true,3,,,PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,grace_window_losing_flip_no_new_fills,false,true,17805.182582,13337.882347,1.442586,7.607253,-3525.943814,-4467.300235,-5032.162889,1.238078,1.347104,13.174456,-1360.447819,-1854.823852,-2816.016684,1,0.579088,0.908847,0.72093,0.94186,247,27,197.346766,17713,17218,0,0,0,82,413,241,0.583535,0,64.283333,169,17399,17123,0.984137,110454,66112,26629,604.919269,15993.315093,1206.948293,27.383333,25.528312,7204.539527,18ACF148F95CDDF90FB402CA59E2C0DDB1669CD6286EFE456255B7698BD59195
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,pair,1.25,0.2,true,3,,,PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,close_small_loss_warehouse_large_loss,false,true,17485.6992,13018.398965,1.440007,8.282823,-4075.313293,-4467.300235,-5032.162889,1.215863,1.314836,13.377507,-1332.846058,-2309.97075,-3307.695623,1,0.592493,0.919571,0.72093,0.953488,241,27,193.54434,17713,17218,0,0,-158.480469,229,266,78,0.293233,0,6.316667,878.25,17399,16960,0.974769,110454,66112,26629,599.314519,15660.471948,1225.912799,27.383333,25.528312,7510.27881,33BACF39C5F4D101DB43DD5F636291A2E51DE3531971F23EF5CE995337034BE0
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,pair,1.25,0.2,true,3,,,PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,no_flip_force_no_new_fills,false,true,24845.714045,12991.974395,1.312678,,-5816.74014,-11853.73965,-12461.879402,1.727639,1.312167,14.091439,-1600.101164,-2871.161505,-4384.064223,1,0.565684,1,0.686047,1,257,43,257.622999,17692,17218,0,0,0,82,413,392,0.949153,-7386.439415,64.283333,52695,17399,17274,0.992816,109983,65678,26613,994.027325,22367.338301,1484.348434,27.35,25.528312,192.418694,F71DC13FB6794285DA707E5ABA7CD344A03CB94E2ECC97BDEB552B4CCF2753A0
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,pair,1,0.2,true,3,,,,current_forced_flip_close,true,true,53870.954145,53646.297719,10.308136,,-705.647194,-224.656426,-966.732115,3.7459,5.418185,0.732562,-705.647194,-232.636634,915.954548,0,0.857909,1,0.965116,1,53,2,174.726682,48500,48500,0,0,0,0,0,0,,0,,,55259,47313,0.856204,204752,102895,53357,9395.826115,37286.375771,7188.752202,18.3,21.805378,0,5751400167C6F06CED9335C61E94CFABB1D1781B3E5B41A49846699A672D1EE0
