variant_id,activation_rule_id,protection_mode,group_type,group_key,close_event_count,win_count,loss_count,flat_count,win_pct,total_realized_pnl_adr,adr_normalized_return_pct,avg_realized_pnl_adr,net_usd,account_return_pct,gross_profit_usd,gross_loss_abs_usd,profit_factor,avg_mfe_adr,avg_mae_adr_abs,mfe_1q_hit_count,mfe_2q_hit_count,mfe_3q_hit_count,mfe_1q_hit_pct,mfe_2q_hit_pct,mfe_3q_hit_pct,mae_1q_hit_count,mae_2q_hit_count,mae_3q_hit_count,mae_1q_hit_pct,mae_2q_hit_pct,mae_3q_hit_pct,target_close_net_usd,session_flatten_close_net_usd,session_flatten_account_return_pct,content_hash
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,pair,EURAUD,467,400,67,0,85.65,13.363271,13.363271,0.028615,-2.74,-0.027398,482.23,484.97,0.994351,0.19591,0.435997,144,40,18,30.84,8.57,3.85,152,103,77,32.55,22.06,16.49,464.77,-467.51,-4.675076,B7C15FD61BFE45EA63C558B2FF49A18B92C852D72505D007ED8ACA96F5CCC774
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,pair,EURCAD,485,421,64,0,86.8,53.358209,53.358209,0.110017,231.16,2.311619,488.34,257.18,1.898841,0.224987,0.392064,161,57,29,33.2,11.75,5.98,176,115,80,36.29,23.71,16.49,471.83,-240.67,-2.406679,4CEF09F3296E1B68AECF089AEC926AFFE134A5AA639C8E3D882D76512796BDF5
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,pair,EURCHF,520,435,85,0,83.65,15.49431,15.49431,0.029797,18.24,0.182414,352.39,334.15,1.05459,0.186908,0.409616,136,47,18,26.15,9.04,3.46,169,119,89,32.5,22.88,17.12,347.48,-329.24,-3.292357,C0414E496337622F4D294C1CA819AA2D825ABD320FB92F334528C8AC4C7CBFB8
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,pair,EURGBP,535,463,72,0,86.54,8.194103,8.194103,0.015316,11.5,0.115049,596,584.5,1.019683,0.19168,0.442021,138,52,20,25.79,9.72,3.74,168,128,91,31.4,23.93,17.01,573.68,-562.18,-5.621775,C074FCBDF73A6485103053FCBE7E1481EC438163C4A6D18640F727A17AB3834F
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,pair,EURJPY,446,356,90,0,79.82,-8.86413,-8.86413,-0.019875,65.54,0.655351,608.78,543.25,1.120636,0.209059,0.550009,132,55,24,29.6,12.33,5.38,161,121,94,36.1,27.13,21.08,513.62,-448.08,-4.480825,1906F8C3ABD170F071AC2A0A2DB513D5481C22E57E38D88E71874DA75EE7AC2B
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,pair,EURNZD,448,367,81,0,81.92,27.888663,27.888663,0.062251,107.96,1.079579,514.22,406.26,1.265734,0.208445,0.454469,149,57,14,33.26,12.72,3.13,180,123,92,40.18,27.46,20.54,496.5,-388.54,-3.885414,D4923FCE288C20A4BB20CDEC88E145494EBB2CB4C270BC1EA801FC07D63B95A9
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,pair,EURUSD,462,395,67,0,85.5,33.370818,33.370818,0.072231,117.13,1.171287,375.17,258.04,1.453923,0.197738,0.394197,147,47,16,31.82,10.17,3.46,159,101,73,34.42,21.86,15.8,351.39,-234.26,-2.342611,AE3AC1885E4D5860A88BE40A2565E8C7B98EE1B0F8C0EE54518AFB4778BAB5C9
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,pair,GBPAUD,475,414,61,0,87.16,23.663219,23.663219,0.049817,181.74,1.817374,761.29,579.55,1.313583,0.190126,0.408362,140,42,14,29.47,8.84,2.95,153,106,75,32.21,22.32,15.79,731.42,-549.68,-5.496789,F419A1063CBD6F12BB7B050297CE19DD63978E0AAD830D26B58C7E21A384701F
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,pair,GBPCAD,452,385,67,0,85.18,25.669493,25.669493,0.056791,160.37,1.6037,800.49,640.12,1.250533,0.223376,0.502354,160,56,21,35.4,12.39,4.65,174,117,89,38.5,25.88,19.69,765.36,-604.99,-6.049941,1C2C2697ADBF449B9DD1563D9BB16120EA4108099EDDEB5E91F0CEC84D5323AB
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,pair,GBPCHF,523,451,72,0,86.23,12.343998,12.343998,0.023602,65.73,0.657323,761.23,695.5,1.094511,0.18705,0.451637,147,46,13,28.11,8.8,2.49,163,115,82,31.17,21.99,15.68,729.43,-663.69,-6.636949,5C94D3752858B54477CB2300580FEAEDD29CBE823E8EE73F203F9C181F9A5150
