variant_id,cost_fraction,tail_fraction,tail_activation_adr,tail_trail_adr,final_equity_mtm_adr,max_equity_drawdown_adr,final_equity_vs_baseline_adr,max_dd_improvement_vs_baseline_adr,tail_realized_pnl_adr,tail_unrealized_pnl_adr,tails_created,tails_closed,tail_stops,verdict_hint,content_hash
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0,0,0,0,515.039666,-1269.613752,,,0,0,0,0,0,baseline,6253BF8CC41085089EFBBB288E870BC0ED5EAA8DF90554E72F4322EBB46A62D2
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0.05,0,0,0,217.664666,-1306.263752,,,0,0,0,0,0,baseline,93FD0B509E7D55673F0BB395B7FAD8B329889A076DF6E14C110B779BE55A343B
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,0.1,0,0,0,-79.710334,-1342.913752,,,0,0,0,0,0,baseline,31124152573CF263A86861A87931FA70B2008CE07F035E968100FF49FED66BBC
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL025_A1_TR1,0,0.025,1,1,513.750428,-1269.558551,-1.289238,0.055201,30.411585,0,999,999,999,weak,16BBAA82DDB02C9AB7BD5525E18D6B5FDC46BE6EE5919AB2276FF0B86F6CF2AB
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL025_A1_TR1,0.05,0.025,1,1,216.375428,-1306.204801,-1.289238,0.058951,30.411585,0,999,999,999,weak,5F89F4298C295846036906FC344959600B868310D649909BBA6F7E51473B103E
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL025_A1_TR1,0.1,0.025,1,1,-80.999572,-1342.851051,-1.289238,0.062701,30.411585,0,999,999,999,weak,8098F97471AED2FA8C5F43C99E8A445885190F6EEC632A8D7DF396D2F768EC9D
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL025_A1_TR2,0,0.025,1,2,512.526994,-1269.791259,-2.512672,-0.177507,29.188151,0,999,999,999,weak,10948CA4A6EA837E86C52CE4B19E51C23B44258B4D3944ED49A103BDB5AB33A0
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL025_A1_TR2,0.05,0.025,1,2,215.151994,-1306.437509,-2.512672,-0.173757,29.188151,0,999,999,999,weak,80F78545C7A394E0B4FA3414ED9EE80C1EA1C8916C4FCDB6A2F618CC159F084C
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL025_A1_TR2,0.1,0.025,1,2,-82.223006,-1343.083759,-2.512672,-0.170007,29.188151,0,999,999,999,weak,E94C647DAF8892604BF9B50F169E4A262919FD38BA6EFFBB88489019CF18A353
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL025_A1_TR3,0,0.025,1,3,513.245812,-1270.316769,-1.793854,-0.703017,29.906969,0,999,999,999,weak,619FEE478F212A7D183811779998FDF544105F84E0BE0F569CE0F64BB8FBAA40
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL025_A1_TR3,0.05,0.025,1,3,215.870812,-1306.963019,-1.793854,-0.699267,29.906969,0,999,999,999,weak,9A5B54C43ABBFDD3435338A73461EBF2A78EAA3262FB143039BA6D8AB0B305EC
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL025_A1_TR3,0.1,0.025,1,3,-81.504188,-1343.609269,-1.793854,-0.695517,29.906969,0,999,999,999,weak,E6C6BB5B87FB2C06B935079F44B2A1944A72F0DFA82D75B6430997580A827061
