start_trace_status,geometry_source,geometry_regime,range_condition_pass,geometry_harvestable_candidate,rows,session_flatten_rows,target_rows,net_usd,avg_net_usd,gross_profit_usd,gross_loss_abs_usd,profit_factor,win_pct,avg_price_pnl_adr,avg_max_pnl_adr,avg_minutes_from_trigger_to_start,content_hash
matched_prior_trigger,matched_trigger_session,harvestable_chop_candidate,true,true,289,41,248,220.933711,0.764477,271.105342,50.171631,5.403558,91.00346,0.150291,0.197274,163.560554,E630F2B43094EAFD7F2FA68FD7EF3AB14BA0B6DF46D5CA909A7CAE047DD9291F
matched_prior_trigger,matched_trigger_session,dead_chop_cost_churn,false,false,262,51,211,31.021942,0.118404,228.836469,197.814527,1.156823,82.061069,0.061274,0.18186,138.034351,7C24895B76505C1300688E1B67344A0609183EC159F88A3789314C0E37A57842
no_in_session_trigger,pair_week_fallback,harvestable_chop_candidate,true,true,8187,1349,6838,2058.208199,0.2514,9866.34484,7808.136641,1.263598,86.783926,0.058348,0.224357,,7EC8110A71AFFE6DCAC89B266118A60A2FE1E9F16BA7B27956CF23A04E5557C6
