start_trace_status,rows,session_flatten_rows,target_rows,net_usd,avg_net_usd,gross_profit_usd,gross_loss_abs_usd,profit_factor,win_pct,avg_minutes_from_trigger_to_start,content_hash
missing_start_timestamp,0,0,0,,,,,,,,B3266AF5CC726438DDF045FE9E938E68FCF888BD46CA78F73C88E191CD8C1A1F
invalid_start_timestamp,0,0,0,,,,,,,,8BD80D33B27632EB2DFF9A139A2651621773F214C3545FB26C99A45A19C65622
matched_prior_trigger,551,92,459,251.955653,0.45727,499.941811,247.986158,2.016007,86.751361,151.422868,E5F6336D1DF15D61E09DEA40B56DE3856D6747DB5AF796D04EFD691756B2DB91
no_in_session_trigger,8187,1349,6838,2058.208199,0.2514,9866.34484,7808.136641,1.263598,86.783926,,A4ADD59928561BE35477DDF81BFCD4EF729AB59C0BA600B7CAF4C614A83F9FBA
