variant_id,activation_rule_id,protection_mode,cycle_id,pair,side,close_reason,start_timestamp_utc,close_timestamp_utc,anchor_week_open_utc,fill_count,adverse_fill_count,expansion_fill_count,price_pnl_adr,price_pnl_usd,commission_usd,swap_usd,net_usd,min_pnl_adr,max_pnl_adr,reset_ordinal_at_start,completed_reset_ordinal,max_fill_age_days,cycle_spacing_adr,triangle_trigger_key,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_TRAIL_1Q_0_5Q,triangle_v1_david_contra_extension,trail_1q_0_5q,RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_TRAIL_1Q_0_5Q|AUDCHF|SHORT|2,AUDCHF,SHORT,target,2019-04-17T13:04:00.000Z,2019-04-17T14:02:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.267538,1.380003,-0.06,0.000403,1.320405,-0.098873,0.267538,0,1,0.040278,0.3,2019-04-14T23:00:00.000Z|AUDCHF|ny|2019-04-17|triangle_v1_geometry|SHORT|2019-04-17T13:04:00.000Z|pe_0.07317,7487A7EED3ECA599F07416CF08388E1191BFC171962A344689E1B51848FDABBF
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_TRAIL_1Q_0_5Q,triangle_v1_david_contra_extension,trail_1q_0_5q,RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_TRAIL_1Q_0_5Q|AUDCHF|SHORT|3,AUDCHF,SHORT,target,2019-04-18T01:32:00.000Z,2019-04-18T01:49:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.36409,1.879997,-0.06,0.000118,1.820115,0,0.36409,1,2,0.011806,0.219258,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-18|triangle_v1_geometry|SHORT|2019-04-18T01:32:00.000Z|pe_0.224436,0FCB93D4CE23E74B76D7499A5A70CEDE8E422203DFEF4BCDBDBA8185C184C6F6
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_PROTECTED_FLATTEN_1Q,triangle_v1_david_contra_extension,protected_flatten_1q,RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_PROTECTED_FLATTEN_1Q|AUDCHF|SHORT|1,AUDCHF,SHORT,protected_flatten,2019-04-16T13:43:00.000Z,2019-04-16T20:56:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,-0.296443,-1.520001,-0.06,0.003007,-1.576994,-0.296443,0,0,,0.300694,0.295607,2019-04-14T23:00:00.000Z|AUDCHF|ny|2019-04-16|triangle_v1_geometry|SHORT|2019-04-16T13:43:00.000Z|pe_0.217391,33B68B1D9A3AB61061A9362D2427A32B57D951AE67D96985D0C44B53CCA323C5
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_PROTECTED_FLATTEN_1Q,triangle_v1_david_contra_extension,protected_flatten_1q,RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_PROTECTED_FLATTEN_1Q|AUDCHF|SHORT|2,AUDCHF,SHORT,target,2019-04-17T13:04:00.000Z,2019-04-17T14:02:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.267538,1.380003,-0.06,0.000403,1.320405,-0.098873,0.267538,0,1,0.040278,0.3,2019-04-14T23:00:00.000Z|AUDCHF|ny|2019-04-17|triangle_v1_geometry|SHORT|2019-04-17T13:04:00.000Z|pe_0.07317,96CDF1F35C2ACE52E60C4221B63B1F03F23DFD973FBFD31487153D81F55E5FF5
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_PROTECTED_FLATTEN_1Q,triangle_v1_david_contra_extension,protected_flatten_1q,RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_PROTECTED_FLATTEN_1Q|AUDCHF|SHORT|3,AUDCHF,SHORT,target,2019-04-18T01:32:00.000Z,2019-04-18T01:49:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.36409,1.879997,-0.06,0.000118,1.820115,0,0.36409,1,2,0.011806,0.219258,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-18|triangle_v1_geometry|SHORT|2019-04-18T01:32:00.000Z|pe_0.224436,015D853FF77FA2F6D9C78EF153C4F7CF59DE01A7C7B93AEE89E94421FB3A8A75
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_PROTECTED_FLATTEN_1Q_TRAIL_1Q,triangle_v1_david_contra_extension,protected_flatten_1q_trail_1q,RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_PROTECTED_FLATTEN_1Q_TRAIL_1Q|AUDCHF|SHORT|1,AUDCHF,SHORT,protected_flatten,2019-04-16T13:43:00.000Z,2019-04-16T20:56:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,-0.296443,-1.520001,-0.06,0.003007,-1.576994,-0.296443,0,0,,0.300694,0.295607,2019-04-14T23:00:00.000Z|AUDCHF|ny|2019-04-16|triangle_v1_geometry|SHORT|2019-04-16T13:43:00.000Z|pe_0.217391,8EFB9BBDBC5E8472F4884DB13B324298317F4E28F40AF744A90996E45BD6ACAF
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_PROTECTED_FLATTEN_1Q_TRAIL_1Q,triangle_v1_david_contra_extension,protected_flatten_1q_trail_1q,RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_PROTECTED_FLATTEN_1Q_TRAIL_1Q|AUDCHF|SHORT|2,AUDCHF,SHORT,target,2019-04-17T13:04:00.000Z,2019-04-17T14:02:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.267538,1.380003,-0.06,0.000403,1.320405,-0.098873,0.267538,0,1,0.040278,0.3,2019-04-14T23:00:00.000Z|AUDCHF|ny|2019-04-17|triangle_v1_geometry|SHORT|2019-04-17T13:04:00.000Z|pe_0.07317,6A000226F09052C65857338272007F27CF150C5FBC49AA8A24971FB945945C38
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_PROTECTED_FLATTEN_1Q_TRAIL_1Q,triangle_v1_david_contra_extension,protected_flatten_1q_trail_1q,RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_PROTECTED_FLATTEN_1Q_TRAIL_1Q|AUDCHF|SHORT|3,AUDCHF,SHORT,target,2019-04-18T01:32:00.000Z,2019-04-18T01:49:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.36409,1.879997,-0.06,0.000118,1.820115,0,0.36409,1,2,0.011806,0.219258,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-18|triangle_v1_geometry|SHORT|2019-04-18T01:32:00.000Z|pe_0.224436,D75BA3BEFFBA0565688773F34E12C892CEBB1FA965CB3D2B388F41ABF18A27BF
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,RAW_GRID_T100_S020_GATE90_DAVID_CONTRA|AUDCHF|SHORT|1,AUDCHF,SHORT,session_flatten,2019-04-16T13:43:00.000Z,2019-04-16T20:00:00.000Z,2019-04-14T23:00:00.000Z,2,1,0,-0.220373,-1.13,-0.12,0.004042,-1.245959,-0.278839,0,0,,0.261806,0.2,,43EA0D07203DE4489703E240F2EA934E2CF15721C3FFC06E7B3280D7417520A2
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,RAW_GRID_T100_S020_GATE90_DAVID_CONTRA|AUDCHF|SHORT|2,AUDCHF,SHORT,target,2019-04-16T22:05:00.000Z,2019-04-17T14:02:00.000Z,2019-04-14T23:00:00.000Z,4,3,0,0.050904,0.270006,-0.24,0.018979,0.048985,-1.417397,0.330971,0,1,0.664583,0.2,,8169121861C6AD4C578B32623523EA06612EE50D547AE96E427ADA8F861B0916
