variant_id,activation_rule_id,protection_mode,signal_settings_id,david_settings,stochastic_settings,symbol_universe,bar_path_mode,signal_clock,signal_adr_brick,session_mode,session_time_zone,session_trade_start_et,session_trade_end_et,session_flatten_et,session_sunday_start_et,session_flatten_overrides_et,target_mode,target_adr,spacing_adr,min_ma_expansion_adr,grid_add_mode,date_range,price_bundle_id,warehouse_manifest_id,warehouse_hash,weeks_replayed,pairs_replayed,initial_deposit_usd,final_balance_usd,final_equity_before_liquidation_usd,final_equity_after_liquidation_usd,net_profit_usd,closed_price_pnl_usd,end_liquidation_price_pnl_usd,total_price_pnl_usd,total_commission_usd,total_swap_usd,target_reset_count,session_flatten_count,session_flatten_positions,session_flatten_price_pnl_usd,session_flatten_swap_usd,protection_close_count,protection_close_positions,entries_opened,closed_positions,end_liquidation_positions,max_open_positions,max_long_positions,max_short_positions,max_add_depth,max_fill_age_days,position_days,max_equity_drawdown_usd,max_balance_drawdown_usd,weekly_equity_profit_factor,close_event_count,close_event_win_count,close_event_loss_count,close_event_flat_count,close_event_profit_factor,close_event_win_pct,close_event_total_realized_pnl_adr,adr_normalized_return_pct,close_event_gross_profit_usd,close_event_gross_loss_abs_usd,close_event_avg_realized_pnl_adr,close_event_avg_mfe_adr,close_event_avg_mae_adr_abs,close_event_mfe_1q_hit_count,close_event_mfe_2q_hit_count,close_event_mfe_3q_hit_count,close_event_mfe_1q_hit_pct,close_event_mfe_2q_hit_pct,close_event_mfe_3q_hit_pct,close_event_mae_1q_hit_count,close_event_mae_2q_hit_count,close_event_mae_3q_hit_count,close_event_mae_1q_hit_pct,close_event_mae_2q_hit_pct,close_event_mae_3q_hit_pct,target_close_net_usd,session_flatten_close_net_usd,protection_close_net_usd,activation_checks,activation_blocked_long,activation_blocked_short,activation_blocked_expansion,activation_started_long,activation_started_short,activation_long_allow_pct,activation_short_allow_pct,mt5_reference_net_profit_usd,mt5_reference_commission_usd,mt5_reference_swap_usd,mt5_reference_end_liquidation_net_usd,mt5_reference_max_open_positions,mt5_reference_end_liquidation_positions,net_delta_vs_mt5_usd,summary_only,metric_semantics,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION,triangle_v1_david_contra_extension,baseline,DAVID_LWMA50_RSI50_60_40__STOCH_100_3_100_60_40_low_high_simple_main_only,LWMA50_RSI50_60_40,100_3_100_60_40_low_high_simple_main_only,AUDCHF,open,adr_event,0.075,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,david_ma_reversion,1,0.2,0.1,adverse_only,2019-04-14T23:00:00.000Z..2019-04-14T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,1,1,10000,10001.98,10001.98,10001.98,1.98,2.16,0,2.16,-0.18,0,2,1,1,-1.1,0,0,0,3,3,0,1,0,1,0,0.26,0.31,0,0,,3,2,1,0,2.713469,66.67,0.417097,0.417097,3.14,1.16,0.139032,0.210543,0.11422,1,0,0,33.33,0,0,0,0,0,0,0,0,3.14,-1.16,0,10208,5310,4895,4,0,3,0,0.06,174.51,-400.8,-4144.01,-5590.01,170,149,-172.53,false,session_window_position_truth_replay,A8240BD1D3AC1275C04CC0387AD007564A2C4942A08BDC4EDCD2F20EFDE235F7
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_LOCK_1Q_STOP_ADDS,triangle_v1_david_contra_extension,lock_1q_stop_adds,DAVID_LWMA50_RSI50_60_40__STOCH_100_3_100_60_40_low_high_simple_main_only,LWMA50_RSI50_60_40,100_3_100_60_40_low_high_simple_main_only,AUDCHF,open,adr_event,0.075,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,david_ma_reversion,1,0.2,0.1,adverse_only,2019-04-14T23:00:00.000Z..2019-04-14T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,1,1,10000,10001.98,10001.98,10001.98,1.98,2.16,0,2.16,-0.18,0,2,1,1,-1.1,0,0,0,3,3,0,1,0,1,0,0.26,0.31,0,0,,3,2,1,0,2.713469,66.67,0.417097,0.417097,3.14,1.16,0.139032,0.210543,0.11422,1,0,0,33.33,0,0,0,0,0,0,0,0,3.14,-1.16,0,10208,5310,4895,4,0,3,0,0.06,174.51,-400.8,-4144.01,-5590.01,170,149,-172.53,false,session_window_position_truth_replay,396101FF762D13ED5891934A18DCDE4011B88E6AE6D512A9191AFF3844688AE3
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_TRAIL_1Q_1Q,triangle_v1_david_contra_extension,trail_1q_1q,DAVID_LWMA50_RSI50_60_40__STOCH_100_3_100_60_40_low_high_simple_main_only,LWMA50_RSI50_60_40,100_3_100_60_40_low_high_simple_main_only,AUDCHF,open,adr_event,0.075,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,david_ma_reversion,1,0.2,0.1,adverse_only,2019-04-14T23:00:00.000Z..2019-04-14T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,1,1,10000,10001.98,10001.98,10001.98,1.98,2.16,0,2.16,-0.18,0,2,1,1,-1.1,0,0,0,3,3,0,1,0,1,0,0.26,0.31,0,0,,3,2,1,0,2.713469,66.67,0.417097,0.417097,3.14,1.16,0.139032,0.210543,0.11422,1,0,0,33.33,0,0,0,0,0,0,0,0,3.14,-1.16,0,10208,5310,4895,4,0,3,0,0.06,174.51,-400.8,-4144.01,-5590.01,170,149,-172.53,false,session_window_position_truth_replay,36D95B1304FF60F76F8ECF8589DE52A4B86E874B6A5088B4AF48DABC8FB5ABF3
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_TRAIL_1Q_0_5Q,triangle_v1_david_contra_extension,trail_1q_0_5q,DAVID_LWMA50_RSI50_60_40__STOCH_100_3_100_60_40_low_high_simple_main_only,LWMA50_RSI50_60_40,100_3_100_60_40_low_high_simple_main_only,AUDCHF,open,adr_event,0.075,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,david_ma_reversion,1,0.2,0.1,adverse_only,2019-04-14T23:00:00.000Z..2019-04-14T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,1,1,10000,10001.98,10001.98,10001.98,1.98,2.16,0,2.16,-0.18,0,2,1,1,-1.1,0,0,0,3,3,0,1,0,1,0,0.26,0.31,0,0,,3,2,1,0,2.713469,66.67,0.417097,0.417097,3.14,1.16,0.139032,0.210543,0.11422,1,0,0,33.33,0,0,0,0,0,0,0,0,3.14,-1.16,0,10208,5310,4895,4,0,3,0,0.06,174.51,-400.8,-4144.01,-5590.01,170,149,-172.53,false,session_window_position_truth_replay,700A10206174EC06A7BE521A329845F76ACBC0BB81E88E9A6FD36A81F823DF14
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_PROTECTED_FLATTEN_1Q,triangle_v1_david_contra_extension,protected_flatten_1q,DAVID_LWMA50_RSI50_60_40__STOCH_100_3_100_60_40_low_high_simple_main_only,LWMA50_RSI50_60_40,100_3_100_60_40_low_high_simple_main_only,AUDCHF,open,adr_event,0.075,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,david_ma_reversion,1,0.2,0.1,adverse_only,2019-04-14T23:00:00.000Z..2019-04-14T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,1,1,10000,10001.56,10001.56,10001.56,1.56,1.74,0,1.74,-0.18,0,2,0,0,0,0,1,1,3,3,0,1,0,1,0,0.3,0.35,0,0,,3,2,1,0,1.99146,66.67,0.335185,0.335185,3.14,1.58,0.111728,0.210543,0.131772,1,0,0,33.33,0,0,1,0,0,33.33,0,0,3.14,0,-1.58,10208,5310,4895,4,0,3,0,0.06,174.51,-400.8,-4144.01,-5590.01,170,149,-172.95,false,session_window_position_truth_replay,9EAE68EB46806795AB1451F7C5B4D6CC0839659F6CFC43D3EBC72A2B899FFD0B
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_PROTECTED_FLATTEN_1Q_TRAIL_1Q,triangle_v1_david_contra_extension,protected_flatten_1q_trail_1q,DAVID_LWMA50_RSI50_60_40__STOCH_100_3_100_60_40_low_high_simple_main_only,LWMA50_RSI50_60_40,100_3_100_60_40_low_high_simple_main_only,AUDCHF,open,adr_event,0.075,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,david_ma_reversion,1,0.2,0.1,adverse_only,2019-04-14T23:00:00.000Z..2019-04-14T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,1,1,10000,10001.56,10001.56,10001.56,1.56,1.74,0,1.74,-0.18,0,2,0,0,0,0,1,1,3,3,0,1,0,1,0,0.3,0.35,0,0,,3,2,1,0,1.99146,66.67,0.335185,0.335185,3.14,1.58,0.111728,0.210543,0.131772,1,0,0,33.33,0,0,1,0,0,33.33,0,0,3.14,0,-1.58,10208,5310,4895,4,0,3,0,0.06,174.51,-400.8,-4144.01,-5590.01,170,149,-172.95,false,session_window_position_truth_replay,D21715D5E024DB3B4E6871FB5E0F67A357591254F23EC268A021607666F970CE
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,DAVID_LWMA50_RSI50_60_40__STOCH_100_3_100_60_40_low_high_simple_main_only,LWMA50_RSI50_60_40,100_3_100_60_40_low_high_simple_main_only,AUDCHF,open,adr_event,0.075,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,david_ma_reversion,1,0.2,0.1,adverse_only,2019-04-14T23:00:00.000Z..2019-04-14T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,1,1,10000,10005,10005,10005,5,5.93,0,5.93,-0.96,0.03,10,2,3,-1.42,0,0,0,16,16,0,4,0,4,3,0.66,2.88,0,0,,12,10,2,0,4.133229,83.33,1.146815,1.146815,6.59,1.6,0.095568,0.144383,0.171575,2,0,0,16.67,0,0,2,1,1,16.67,8.33,8.33,6.59,-1.6,0,8756,5310,3434,1423,0,12,0,0.35,174.51,-400.8,-4144.01,-5590.01,170,149,-169.51,false,session_window_position_truth_replay,4B4C722079DE1B06FE2C2F14929B97EF62EAE255624FD8ECA7B2CE9DA83B3145
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA__PROTECT_LOCK_1Q_STOP_ADDS,david_contra,lock_1q_stop_adds,DAVID_LWMA50_RSI50_60_40__STOCH_100_3_100_60_40_low_high_simple_main_only,LWMA50_RSI50_60_40,100_3_100_60_40_low_high_simple_main_only,AUDCHF,open,adr_event,0.075,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,david_ma_reversion,1,0.2,0.1,adverse_only,2019-04-14T23:00:00.000Z..2019-04-14T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,1,1,10000,10003.07,10003.07,10003.07,3.07,3.83,0,3.83,-0.78,0.02,9,3,4,-3.25,0.01,0,0,13,13,0,2,0,2,1,0.91,1.9,0,0,,12,9,3,0,1.882831,75,0.739632,0.739632,6.55,3.48,0.061636,0.144383,0.111378,2,0,0,16.67,0,0,2,1,1,16.67,8.33,8.33,6.55,-3.48,0,8431,5310,3109,1098,0,12,0,0.38,174.51,-400.8,-4144.01,-5590.01,170,149,-171.44,false,session_window_position_truth_replay,1BCA2BA82B4DBAE8E9EDA8E3B226F5C853A20E8CB8009393C4DC18257B9984A1
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA__PROTECT_TRAIL_1Q_1Q,david_contra,trail_1q_1q,DAVID_LWMA50_RSI50_60_40__STOCH_100_3_100_60_40_low_high_simple_main_only,LWMA50_RSI50_60_40,100_3_100_60_40_low_high_simple_main_only,AUDCHF,open,adr_event,0.075,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,david_ma_reversion,1,0.2,0.1,adverse_only,2019-04-14T23:00:00.000Z..2019-04-14T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,1,1,10000,10005.94,10005.94,10005.94,5.94,6.99,0,6.99,-1.08,0.03,10,2,3,-1.42,0,1,1,18,18,0,5,0,5,4,0.62,3.17,0,0,,13,11,2,0,4.724203,84.62,1.35195,1.35195,7.54,1.6,0.103996,0.147218,0.205276,2,0,0,15.38,0,0,2,1,1,15.38,7.69,7.69,6.96,-1.6,0.58,8756,5310,3433,1422,0,13,0,0.38,174.51,-400.8,-4144.01,-5590.01,170,149,-168.57,false,session_window_position_truth_replay,EFFF29AB3E5632DEFFB22CEC3093F00026F49FAD6B2D649137BF85FD721F131B
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA__PROTECT_TRAIL_1Q_0_5Q,david_contra,trail_1q_0_5q,DAVID_LWMA50_RSI50_60_40__STOCH_100_3_100_60_40_low_high_simple_main_only,LWMA50_RSI50_60_40,100_3_100_60_40_low_high_simple_main_only,AUDCHF,open,adr_event,0.075,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,david_ma_reversion,1,0.2,0.1,adverse_only,2019-04-14T23:00:00.000Z..2019-04-14T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,1,1,10000,10005.81,10005.81,10005.81,5.81,6.86,0,6.86,-1.08,0.03,10,2,3,-1.42,0,1,1,18,18,0,5,0,5,4,0.64,3.41,0,0,,13,10,3,0,4.174623,76.92,1.326567,1.326567,7.65,1.83,0.102044,0.141226,0.239795,2,0,0,15.38,0,0,2,1,1,15.38,7.69,7.69,6.31,-1.6,1.1,8749,5310,3426,1415,0,13,0,0.38,174.51,-400.8,-4144.01,-5590.01,170,149,-168.7,false,session_window_position_truth_replay,0E8BD01DF8A25D66013775E390EED68BF115CF68A882F1AC6D9F6E9021537EF2
