variant_id,activation_rule_id,cycle_id,pair,side,close_reason,start_timestamp_utc,close_timestamp_utc,anchor_week_open_utc,fill_count,adverse_fill_count,expansion_fill_count,price_pnl_adr,price_pnl_usd,commission_usd,swap_usd,net_usd,min_pnl_adr,max_pnl_adr,reset_ordinal_at_start,completed_reset_ordinal,max_fill_age_days,cycle_spacing_adr,triangle_trigger_key,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|8,AUDCHF,SHORT,target,2022-01-10T23:05:00.000Z,2022-01-11T01:51:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.046735,0.200001,-0.06,0.001153,0.141154,-0.168245,0.065429,3,4,0.115278,0.2,,2A0652A5C6BF3430F0607AE7C42F7028EE229FB891524870DFC6D6CF99ABB53D
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|9,AUDCHF,SHORT,target,2022-01-11T02:24:00.000Z,2022-01-11T04:47:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.042042,0.180002,-0.06,0.000993,0.120995,-0.19152,0.070069,4,5,0.099306,0.2,,1DF6F33594CF8268FD4BE37EC2CA4B1DB86C9F9F527AED9D3792BD6FEAC286A1
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|10,AUDCHF,SHORT,target,2022-01-11T05:57:00.000Z,2022-01-11T06:09:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.116728,0.500001,-0.06,0.000083,0.440084,-0.004669,0.116728,5,6,0.008333,0.2,,EF93BD2E6266EC4BACC833B4D54FD3168A046C428EA386125266FA03ABD07EDD
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|11,AUDCHF,LONG,target,2022-01-11T06:28:00.000Z,2022-01-11T07:28:00.000Z,2022-01-10T00:00:00.000Z,2,1,0,0.24812,1.059994,-0.12,-0.006304,0.93369,-0.388169,0.24812,3,4,0.041667,0.2,,6482F16067CE4443E1E4164F8F41EF636A0871BC99C5D34392CF2A5134B66D96
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|12,AUDCHF,LONG,target,2022-01-11T07:42:00.000Z,2022-01-11T07:54:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.1076,0.459999,-0.06,-0.000764,0.399235,0,0.1076,4,5,0.008333,0.2,,D7B66EF0E304A963782944A7DEBE5755AA776A1829D3EE73BA30EE45EBDC3DEF
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|13,AUDCHF,LONG,target,2022-01-11T08:12:00.000Z,2022-01-11T08:16:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.140386,0.600004,-0.06,-0.000255,0.539749,-0.004679,0.140386,5,6,0.002778,0.2,,B28A8C6EC0FA976B230F018072289093F4A3B4D97D352C383B20183ECF8C714F
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|14,AUDCHF,LONG,target,2022-01-11T08:35:00.000Z,2022-01-11T09:04:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.093591,0.400002,-0.06,-0.001847,0.338156,-0.131026,0.093591,6,7,0.020139,0.2,,0E8436F6192EBCFB0E75091C943BECBFD27F5CAE152B40B73CAF4E8150DC476C
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|15,AUDCHF,LONG,target,2022-01-11T09:14:00.000Z,2022-01-11T09:29:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.1826,0.780002,-0.06,-0.000955,0.719047,-0.021069,0.1826,7,8,0.010417,0.2,,0482BDA481A9D462340F4186E2C26C5BC47A1A30B7B33AEACE2F031A6154C0B5
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|16,AUDCHF,SHORT,target,2022-01-11T09:35:00.000Z,2022-01-11T10:36:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.098176,0.420001,-0.06,0.000424,0.360425,-0.100513,0.098176,6,7,0.042361,0.2,,8D828A55FD4956324AEDA4C09AEEF2A8E65C1763CAB27231A322D1D34747D6D9
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|17,AUDCHF,SHORT,target,2022-01-11T10:49:00.000Z,2022-01-11T11:30:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.126203,0.540003,-0.06,0.000285,0.480288,-0.018697,0.126203,7,8,0.028472,0.2,,02D133C12672600826A154833F70E01A6992AF733E9E8D2DD63B0D637DDFEC5F
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|18,AUDCHF,LONG,target,2022-01-11T11:39:00.000Z,2022-01-11T11:52:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.107647,0.460003,-0.06,-0.000828,0.399175,-0.007021,0.107647,8,9,0.009028,0.2,,6B103BE69A5AA897A7C619EC074EC75FA5A4D8087055AB1F1251F01413C9EF2D
