variant_id,months,negative_marked_months,worst_month,worst_marked_equity_actual,best_month,best_marked_equity_actual,content_hash
adr_event_0_025_type3_long_only,17,1,2025-02,-1392.85,2026-05,241798.06,65A731B0CFB989DA298BD505F356BC315E7022762F028F4E02E12DFEB08BD589
adr_event_0_05_type3_long_only,17,1,2025-06,-1223.34,2026-05,21203.43,35695AFF40C3FA9EB53D549AB66683A07AD9B8505B39628AB7A2CF2C611E243B
