"shard_id","terminal_id","from_date","to_date","status","exit_code","wall_seconds","receipt_rows","receipt_bytes","compact_receipt_rows_skipped","final_balance","final_open_position_count","final_managed_position_count","max_managed_position_count_observed","worst_stop_take_profit_net_open_pct_after_fees_observed","receipts","summary","benchmark","artifact_dir"
"S001","14275","2026.01.01","2026.01.17","PASS_BENCHMARK_RECEIPTS_PRESENT","0","58.505","3500","3809681","331274","10351.58","0","0","119","-2.307053","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LPEA_S001_14275_MEDIUM_50000_OpenPrices_20260708190212\LPEA_2026_01_01_00_00_00_R151440562_receipts.csv","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LPEA_S001_14275_MEDIUM_50000_OpenPrices_20260708190212\LPEA_2026_01_01_00_00_00_R151440562_summary.csv","C:\Users\User\Documents\GitHub\limni-website\docs\research\gates\gate104\artifacts\gate104-speed-fixes-one-month-shards-20260708\S001\fx28-speed-benchmark.txt","C:\Users\User\Documents\GitHub\limni-website\docs\research\gates\gate104\artifacts\gate104-speed-fixes-one-month-shards-20260708\S001"
"S002","14275","2026.01.17","2026.02.01","PASS_BENCHMARK_RECEIPTS_PRESENT","0","66.474","6889","8296933","316420","10410.22","0","0","392","-19.108974","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LPEA_S002_14275_MEDIUM_50000_OpenPrices_20260708190315\LPEA_2026_01_17_00_00_00_R151502656_receipts.csv","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LPEA_S002_14275_MEDIUM_50000_OpenPrices_20260708190315\LPEA_2026_01_17_00_00_00_R151502656_summary.csv","C:\Users\User\Documents\GitHub\limni-website\docs\research\gates\gate104\artifacts\gate104-speed-fixes-one-month-shards-20260708\S002\fx28-speed-benchmark.txt","C:\Users\User\Documents\GitHub\limni-website\docs\research\gates\gate104\artifacts\gate104-speed-fixes-one-month-shards-20260708\S002"
