"time","receipt_type","status","detail"
"2026.01.02 00:17:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:16:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:18:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:17:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:19:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:18:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:20:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:19:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:21:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:20:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:22:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:21:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:23:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:22:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:24:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:23:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:25:30","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:24:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
"2026.01.02 00:26:00","revma_reentry_gate","birth_blocked_waiting_for_fresh_state","system_id=revma-v001|source_m1_time=2026.01.02 00:25:00|direction=SHORT|sleeve=CONTINUATION|variant_id=10|q_profile_id=MEDIUM_50000|has_active_grid=false|post_harvest_waiting=false|observed=true|observed_direction=SHORT|observed_sleeve=CONTINUATION|observed_variant_id=10|observed_source_m1_time=2026.01.02 00:03:00|reason=same_state_as_startup_observation"
