"receipt_type","count"
"currency_exposure","2"
"engine_step","1188"
"grid_inventory","1178"
"harvest_state","1"
"intent","1344"
"news_guard","1"
"order_request","28"
"order_result","2405"
"position_attribution","1178"
"revma_grid_add","1243"
"revma_grid_birth","73"
"revma_reentry_gate","175"
"revma_signal","1316"
"run_end","1"
"run_start","2"
"stop_take_profit_guard","53"
"symbol_init","28"
