"receipt_type","count"
"currency_exposure","672"
"engine_step","675"
"grid_inventory","672"
"harvest_state","1"
"intent","814"
"news_guard","1"
"order_request","17"
"order_result","1553"
"position_attribution","672"
"revma_grid_add","750"
"revma_grid_birth","47"
"revma_reentry_gate","122"
"revma_signal","797"
"run_end","1"
"run_start","2"
"stop_take_profit_guard","65"
"symbol_init","28"
