variant_id,activation_rule_id,protection_mode,group_type,group_key,close_event_count,win_count,loss_count,flat_count,win_pct,total_realized_pnl_adr,adr_normalized_return_pct,avg_realized_pnl_adr,total_realized_market_pct,avg_realized_market_pct,net_usd,account_return_pct,gross_profit_usd,gross_loss_abs_usd,profit_factor,avg_mfe_adr,avg_mae_adr_abs,avg_mfe_market_pct,avg_mae_market_pct_abs,mfe_1q_hit_count,mfe_2q_hit_count,mfe_3q_hit_count,mfe_1q_hit_pct,mfe_2q_hit_pct,mfe_3q_hit_pct,mae_1q_hit_count,mae_2q_hit_count,mae_3q_hit_count,mae_1q_hit_pct,mae_2q_hit_pct,mae_3q_hit_pct,target_close_net_usd,session_flatten_close_net_usd,session_flatten_account_return_pct,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY,triangle_formulaic_directionless_geometry,baseline,anchor_week,2019-04-14T23:00:00.000Z,12,9,3,0,75,2.283964,2.283964,0.19033,1.622913,0.135243,10.01,0.100111,16.81,6.8,2.471515,0.438782,0.422089,0.311785,0.299923,10,3,2,83.33,25,16.67,4,3,3,33.33,25,25,15.96,-5.95,-0.059499,48D358D9E9147289DEFB35D5E8BC12670805AE2B3A15EBCA3C6BB6B7F548F099
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY,triangle_formulaic_directionless_geometry,baseline,close_month,2019-04,12,9,3,0,75,2.283964,2.283964,0.19033,1.622913,0.135243,10.01,0.100111,16.81,6.8,2.471515,0.438782,0.422089,0.311785,0.299923,10,3,2,83.33,25,16.67,4,3,3,33.33,25,25,15.96,-5.95,-0.059499,93EA9A870D11C6443BC10D4350AFF8D104E320A851A900E3E759A62CA77AA40B
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY,triangle_formulaic_directionless_geometry,baseline,close_reason,session_flatten,4,1,3,0,25,-1.008466,-1.008466,-0.252117,-0.716583,-0.179146,-5.95,-0.059499,0.85,6.8,0.125438,0.493239,0.888338,0.35048,0.631224,2,1,1,50,25,25,3,2,2,75,50,50,0,-5.95,-0.059499,E502E59265D5FF4EBD300400292D93EB1CCC445F0A952288E06858A67C7747FB
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY,triangle_formulaic_directionless_geometry,baseline,close_reason,target,8,8,0,0,100,3.29243,3.29243,0.411554,2.339496,0.292437,15.96,0.15961,15.96,0,Infinity,0.411554,0.188964,0.292437,0.134272,8,2,1,100,25,12.5,1,1,1,12.5,12.5,12.5,15.96,0,0,54C96D7902A90E216AEB1E4B146B6477B57FEDCAAA0E7ADD038C0BAE19093706
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY,triangle_formulaic_directionless_geometry,baseline,pair,AUDCHF,12,9,3,0,75,2.283964,2.283964,0.19033,1.622913,0.135243,10.01,0.100111,16.81,6.8,2.471515,0.438782,0.422089,0.311785,0.299923,10,3,2,83.33,25,16.67,4,3,3,33.33,25,25,15.96,-5.95,-0.059499,D5E1AE8D1B05C2C840D5A9819CE3BADE1B83317E96F6022D62717B7DD7CF2476
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY,triangle_formulaic_directionless_geometry,baseline,pair_side,AUDCHF_LONG,5,4,1,0,80,2.402837,2.402837,0.480567,1.707379,0.341476,11.54,0.115401,11.58,0.04,310.195536,0.488333,0.284893,0.346994,0.202436,4,1,1,80,20,20,1,1,1,20,20,20,11.58,-0.04,-0.000373,0F448BB483C31B87950FEE9EEEA1BF2E86CE29D8528AA5D62A6762A6BDE0743D
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY,triangle_formulaic_directionless_geometry,baseline,pair_side,AUDCHF_SHORT,7,5,2,0,71.43,-0.118873,-0.118873,-0.016982,-0.084466,-0.012067,-1.53,-0.01529,5.24,6.77,0.774013,0.403388,0.520086,0.286635,0.369556,6,2,1,85.71,28.57,14.29,3,2,2,42.86,28.57,28.57,4.38,-5.91,-0.059125,335415A0149FB98D542DFEC0B852C4A72E6D671D281197D576D8367660B6A7BB
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY,triangle_formulaic_directionless_geometry,baseline,strategy_class,formulaic_directionless_geometry,12,9,3,0,75,2.283964,2.283964,0.19033,1.622913,0.135243,10.01,0.100111,16.81,6.8,2.471515,0.438782,0.422089,0.311785,0.299923,10,3,2,83.33,25,16.67,4,3,3,33.33,25,25,15.96,-5.95,-0.059499,C4A4D7001AF0DEF3A24CBA0EA4EF54C478D90C8068BA02C0452D9EBB0B3BEECE
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY__PROTECT_PAIN_1Q_STOP_ADDS_BEFORE_PROFIT_0_5Q,triangle_formulaic_directionless_geometry,pain_1q_stop_adds_before_profit_0_5q,anchor_week,2019-04-14T23:00:00.000Z,12,9,3,0,75,2.717224,2.717224,0.226435,1.930774,0.160898,12.72,0.127179,16.81,4.1,4.104607,0.298447,0.235495,0.212067,0.167335,9,2,1,75,16.67,8.33,4,3,3,33.33,25,25,15.96,-3.24,-0.032431,B4BBDD5D6A0B15C4DAB99B5D6F777EBE8132F38962B22374917F4B7870C64FFD
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY__PROTECT_PAIN_1Q_STOP_ADDS_BEFORE_PROFIT_0_5Q,triangle_formulaic_directionless_geometry,pain_1q_stop_adds_before_profit_0_5q,close_month,2019-04,12,9,3,0,75,2.717224,2.717224,0.226435,1.930774,0.160898,12.72,0.127179,16.81,4.1,4.104607,0.298447,0.235495,0.212067,0.167335,9,2,1,75,16.67,8.33,4,3,3,33.33,25,25,15.96,-3.24,-0.032431,98CB0A056D989B6F0F6EC46690FB57B6D56DB35E72FF1786F840130A5C39A1A4
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY__PROTECT_PAIN_1Q_STOP_ADDS_BEFORE_PROFIT_0_5Q,triangle_formulaic_directionless_geometry,pain_1q_stop_adds_before_profit_0_5q,close_reason,session_flatten,4,1,3,0,25,-0.575206,-0.575206,-0.143801,-0.408722,-0.10218,-3.24,-0.032431,0.85,4.1,0.208323,0.072233,0.328557,0.051326,0.233462,1,0,0,25,0,0,3,2,2,75,50,50,0,-3.24,-0.032431,A7CCEBF4164F90B0B95AF2AEB9F281A6F13340B286CA6D23AF6F59BB8A88E1B6
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY__PROTECT_PAIN_1Q_STOP_ADDS_BEFORE_PROFIT_0_5Q,triangle_formulaic_directionless_geometry,pain_1q_stop_adds_before_profit_0_5q,close_reason,target,8,8,0,0,100,3.29243,3.29243,0.411554,2.339496,0.292437,15.96,0.15961,15.96,0,Infinity,0.411554,0.188964,0.292437,0.134272,8,2,1,100,25,12.5,1,1,1,12.5,12.5,12.5,15.96,0,0,55F45C30C7DD686FBE4E93723A7E52523CD0B12C70ACB78B1BAA15FDF8DCDAD6
