"phase","terminal_id","path","bytes","sha256","match"
"precompile","94497","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\94497F60A2BFEA1AFAB110FCF3E331BB\MQL5\Profiles\Tester\LimniPortfolioEA.set","22","57A2AECDE64179F4363E66EC85242A31BADC5AB9EACD7A862CB65AF53F454F1C","True"
"postcompile","94497","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\94497F60A2BFEA1AFAB110FCF3E331BB\MQL5\Profiles\Tester\LimniPortfolioEA.set","22","57A2AECDE64179F4363E66EC85242A31BADC5AB9EACD7A862CB65AF53F454F1C","True"
