"label","path","bytes","sha256","compiled_sha256","canonical_propagation"
"repo","C:\Users\User\Documents\GitHub\limni-website\automation\mt5\Experts\Limni\LimniPortfolioEA.ex5","904680","D1AC7BFFD7F14C6E9490FFEA9165D7E4BBC57277E7B7DB4BBB5556E4AF58D57C","D1AC7BFFD7F14C6E9490FFEA9165D7E4BBC57277E7B7DB4BBB5556E4AF58D57C","False"
"terminal-94497","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\94497F60A2BFEA1AFAB110FCF3E331BB\MQL5\Experts\Limni\LimniPortfolioEA.ex5","904680","D1AC7BFFD7F14C6E9490FFEA9165D7E4BBC57277E7B7DB4BBB5556E4AF58D57C","2B3D02103BD7028D007E0B9B6D59AF960C8B667DAC86D727002C66E4A7D72B84","True"
