symbol	direction	lots	open_time_utc	close_time_utc	open_price	close_price	net_usd	comment
GBPUSD.i	SHORT	0.72	2026-02-02T19:54:49.000Z	2026-02-03T17:26:37.000Z	1.36562	1.36923	258.35	LimniClose
AUDUSD.i	SHORT	1.43	2026-02-02T19:54:49.000Z	2026-02-03T17:26:37.000Z	0.69536	0.70023	694.47	LimniClose
NZDUSD.i	SHORT	1.65	2026-02-02T19:54:49.000Z	2026-02-03T17:26:37.000Z	0.60041	0.60365	528.76	LimniClose
USDCHF.i	SHORT	0.99	2026-02-02T19:54:49.000Z	2026-02-03T17:26:37.000Z	0.77992	0.77631	446.53	LimniClose
USDCAD.i	SHORT	0.99	2026-02-02T19:54:49.000Z	2026-02-03T17:26:37.000Z	1.36836	1.36544	203.54	LimniClose
EURJPY.i	SHORT	0.84	2026-02-02T19:54:49.000Z	2026-02-03T17:26:37.000Z	183.506	183.891	209.00	LimniClose
EURCHF.i	SHORT	0.84	2026-02-02T19:54:49.000Z	2026-02-03T17:26:37.000Z	0.92023	0.91632	414.06	LimniClose
EURAUD.i	SHORT	0.84	2026-02-02T19:54:49.000Z	2026-02-03T17:26:37.000Z	1.69689	1.68559	666.81	LimniClose
EURNZD.i	SHORT	0.84	2026-02-02T19:54:50.000Z	2026-02-03T17:26:37.000Z	1.96516	1.95536	496.49	LimniClose
EURCAD.i	SHORT	0.84	2026-02-02T19:54:50.000Z	2026-02-03T17:26:37.000Z	1.61447	1.61161	174.45	LimniClose
GBPCHF.i	SHORT	0.72	2026-02-02T19:54:50.000Z	2026-02-03T17:26:37.000Z	1.06503	1.063	173.94	LimniClose
GBPAUD.i	SHORT	0.72	2026-02-02T19:54:50.000Z	2026-02-03T17:26:37.000Z	1.96388	1.95536	427.15	LimniClose
GBPNZD.i	SHORT	0.72	2026-02-02T19:54:50.000Z	2026-02-03T17:26:37.000Z	2.27437	2.26823	260.50	LimniClose
AUDJPY.i	SHORT	1.43	2026-02-02T19:54:50.000Z	2026-02-03T17:26:37.000Z	108.142	109.096	879.86	LimniClose
AUDUSD.i	SHORT	1.43	2026-02-02T19:54:47.000Z	2026-02-03T17:26:38.000Z	0.69534	0.7003	-711.07	LimniClose
EURGBP.i	SHORT	0.84	2026-02-02T19:54:48.000Z	2026-02-03T17:26:38.000Z	0.86404	0.86205	231.41	LimniClose
EURJPY.i	SHORT	0.84	2026-02-02T19:54:48.000Z	2026-02-03T17:26:38.000Z	183.493	183.9	-226.40	LimniClose
EURCHF.i	SHORT	0.84	2026-02-02T19:54:48.000Z	2026-02-03T17:26:38.000Z	0.92023	0.91633	412.98	LimniClose
EURNZD.i	SHORT	0.84	2026-02-02T19:54:48.000Z	2026-02-03T17:26:38.000Z	1.96512	1.95534	495.49	LimniClose
EURCAD.i	SHORT	0.84	2026-02-02T19:54:48.000Z	2026-02-03T17:26:38.000Z	1.61447	1.6116	175.07	LimniClose
GBPAUD.i	SHORT	0.72	2026-02-02T19:54:48.000Z	2026-02-03T17:26:38.000Z	1.96401	1.9553	-440.78	LimniClose
AUDJPY.i	SHORT	1.43	2026-02-02T19:54:48.000Z	2026-02-03T17:26:38.000Z	108.134	109.103	-902.90	LimniClose
AUDCHF.i	SHORT	1.43	2026-02-02T19:54:48.000Z	2026-02-03T17:26:38.000Z	0.5423	0.54365	-262.64	LimniClose
AUDCAD.i	SHORT	1.43	2026-02-02T19:54:49.000Z	2026-02-03T17:26:38.000Z	0.9514	0.95614	-503.30	LimniClose
AUDNZD.i	SHORT	1.43	2026-02-02T19:54:49.000Z	2026-02-03T17:26:38.000Z	1.15807	1.16002	-174.53	LimniClose
GBPAUD.i	SHORT	0.72	2026-02-02T19:54:49.000Z	2026-02-03T17:26:38.000Z	1.96384	1.95533	426.64	LimniClose
AUDCAD.i	SHORT	1.43	2026-02-02T19:54:49.000Z	2026-02-03T17:26:38.000Z	0.9515	0.95605	478.38	LimniClose
AUDNZD.i	SHORT	1.43	2026-02-02T19:54:49.000Z	2026-02-03T17:26:38.000Z	1.15816	1.15995	154.97	LimniClose
USDJPY.i	SHORT	0.99	2026-02-02T19:54:47.000Z	2026-02-03T17:26:39.000Z	155.519	155.805	-194.25	LimniClose
EURGBP.i	SHORT	0.84	2026-02-02T19:54:47.000Z	2026-02-03T17:26:39.000Z	0.86405	0.86203	-240.44	LimniClose
EURCHF.i	SHORT	0.84	2026-02-02T19:54:47.000Z	2026-02-03T17:26:39.000Z	0.92028	0.91628	-430.72	LimniClose
EURNZD.i	SHORT	0.84	2026-02-02T19:54:47.000Z	2026-02-03T17:26:39.000Z	1.96524	1.95513	-517.74	LimniClose
EURCAD.i	SHORT	0.84	2026-02-02T19:54:47.000Z	2026-02-03T17:26:39.000Z	1.61456	1.61152	-189.84	LimniClose
GBPJPY.i	SHORT	0.72	2026-02-02T19:54:47.000Z	2026-02-03T17:26:39.000Z	212.368	213.341	-462.04	LimniClose
GBPAUD.i	SHORT	0.72	2026-02-02T19:54:47.000Z	2026-02-03T17:26:39.000Z	1.9638	1.95525	428.69	LimniClose
AUDCHF.i	SHORT	1.43	2026-02-02T19:54:47.000Z	2026-02-03T17:26:39.000Z	0.54238	0.5436	229.82	LimniClose
AUDCAD.i	SHORT	1.43	2026-02-02T19:54:47.000Z	2026-02-03T17:26:39.000Z	0.95151	0.95604	476.31	LimniClose
AUDNZD.i	SHORT	1.43	2026-02-02T19:54:47.000Z	2026-02-03T17:26:39.000Z	1.15816	1.15997	156.70	LimniClose
NZDJPY.i	SHORT	1.65	2026-02-02T19:54:47.000Z	2026-02-03T17:26:39.000Z	93.372	94.068	-746.45	LimniClose
CADJPY.i	SHORT	1.36	2026-02-02T19:54:47.000Z	2026-02-03T17:26:39.000Z	113.653	114.122	-417.06	LimniClose
CHFJPY.i	SHORT	0.77	2026-02-02T19:54:47.000Z	2026-02-03T17:26:39.000Z	199.389	200.701	-648.20	LimniClose
EURUSD.i	SHORT	0.84	2026-02-02T19:54:47.000Z	2026-02-03T17:26:39.000Z	1.17992	1.18035	-33.33	LimniClose
EURGBP.i	SHORT	0.84	2026-02-02T19:54:46.000Z	2026-02-03T17:26:40.000Z	0.86405	0.86204	-239.28	LimniClose
EURCHF.i	SHORT	0.84	2026-02-02T19:54:46.000Z	2026-02-03T17:26:40.000Z	0.92027	0.91629	-428.54	LimniClose
EURNZD.i	SHORT	0.84	2026-02-02T19:54:46.000Z	2026-02-03T17:26:40.000Z	1.96516	1.95516	-512.15	LimniClose
EURCAD.i	SHORT	0.84	2026-02-02T19:54:46.000Z	2026-02-03T17:26:40.000Z	1.61455	1.61149	-191.07	LimniClose
GBPJPY.i	SHORT	0.72	2026-02-02T19:54:46.000Z	2026-02-03T17:26:40.000Z	212.369	213.337	-459.73	LimniClose
GBPAUD.i	SHORT	0.72	2026-02-02T19:54:46.000Z	2026-02-03T17:26:40.000Z	1.96381	1.95534	424.62	LimniClose
AUDCHF.i	SHORT	1.43	2026-02-02T19:54:46.000Z	2026-02-03T17:26:40.000Z	0.54236	0.54358	229.82	LimniClose
AUDCAD.i	SHORT	1.43	2026-02-02T19:54:46.000Z	2026-02-03T17:26:40.000Z	0.9515	0.95607	480.50	LimniClose
AUDNZD.i	SHORT	1.43	2026-02-02T19:54:46.000Z	2026-02-03T17:26:40.000Z	1.15808	1.15992	159.30	LimniClose
NZDJPY.i	SHORT	1.65	2026-02-02T19:54:46.000Z	2026-02-03T17:26:40.000Z	93.374	94.064	-740.09	LimniClose
CADJPY.i	SHORT	1.36	2026-02-02T19:54:46.000Z	2026-02-03T17:26:40.000Z	113.653	114.121	-416.18	LimniClose
CHFJPY.i	SHORT	0.77	2026-02-02T19:54:46.000Z	2026-02-03T17:26:40.000Z	199.391	200.713	-653.13	LimniClose
EURUSD.i	SHORT	0.84	2026-02-02T19:54:46.000Z	2026-02-03T17:26:40.000Z	1.17993	1.18036	29.18	LimniClose
AUDUSD.i	SHORT	1.43	2026-02-02T19:54:46.000Z	2026-02-03T17:26:40.000Z	0.69537	0.70025	695.90	LimniClose
GBPUSD.i	SHORT	0.72	2026-02-02T19:54:45.000Z	2026-02-03T17:26:41.000Z	1.3656	1.36924	-264.51	LimniClose
NZDUSD.i	SHORT	1.65	2026-02-02T19:54:45.000Z	2026-02-03T17:26:41.000Z	0.60044	0.60369	-538.99	LimniClose
USDCHF.i	SHORT	0.99	2026-02-02T19:54:45.000Z	2026-02-03T17:26:41.000Z	0.77991	0.77629	-456.44	LimniClose
USDCAD.i	SHORT	0.99	2026-02-02T19:54:45.000Z	2026-02-03T17:26:41.000Z	1.36838	1.36535	-218.12	LimniClose
