symbol	direction	lots	open_time_utc	close_time_utc	open_price	close_price	net_usd	comment
JPN225	SHORT	28.32	2026-02-03T06:16:38.000Z	2026-02-03T17:26:33.000Z	54557.41	54083.81	860.85	LimniClose
USOUSD	SHORT	16.00	2026-02-02T19:54:53.000Z	2026-02-03T17:26:34.000Z	61.906	62.772	1386.22	LimniClose
XAUUSD	SHORT	0.21	2026-02-02T19:54:53.000Z	2026-02-03T17:26:34.000Z	4676.04	4913.98	4977.07	LimniClose
XAGUSD	SHORT	0.25	2026-02-02T19:54:53.000Z	2026-02-03T17:26:34.000Z	78.856	87.325	10546.29	LimniClose
USOUSD	SHORT	16.00	2026-02-02T19:54:53.000Z	2026-02-03T17:26:34.000Z	61.906	62.772	1386.22	LimniClose
XAUUSD	SHORT	0.21	2026-02-02T19:54:53.000Z	2026-02-03T17:26:34.000Z	4675.88	4914	-4992.93	LimniClose
XAGUSD	SHORT	0.25	2026-02-02T19:54:53.000Z	2026-02-03T17:26:34.000Z	78.746	87.427	-10845.86	LimniClose
USOUSD	SHORT	16.00	2026-02-02T19:54:53.000Z	2026-02-03T17:26:34.000Z	61.876	62.802	-1494.88	LimniClose
USDJPY.i	SHORT	0.99	2026-02-03T06:05:18.000Z	2026-02-03T17:26:34.000Z	155.48	155.803	205.24	LimniClose
GBPJPY.i	SHORT	0.72	2026-02-03T06:05:18.000Z	2026-02-03T17:26:34.000Z	212.804	213.33	-243.07	LimniClose
GBPCAD.i	SHORT	0.72	2026-02-03T06:05:19.000Z	2026-02-03T17:26:34.000Z	1.86908	1.86953	-23.73	LimniClose
AUDCHF.i	SHORT	1.41	2026-02-03T06:05:19.000Z	2026-02-03T17:26:34.000Z	0.54691	0.54363	595.73	LimniClose
XAUUSD	SHORT	0.20	2026-02-03T06:05:19.000Z	2026-02-03T17:26:34.000Z	4820.84	4913.68	1856.80	LimniClose
XAGUSD	SHORT	0.23	2026-02-03T06:05:19.000Z	2026-02-03T17:26:34.000Z	83.729	87.312	4120.45	LimniClose
SPX500	SHORT	1.42	2026-02-03T06:16:38.000Z	2026-02-03T17:26:34.000Z	6993.96	6943.19	-720.93	LimniClose
NDX100	SHORT	0.38	2026-02-03T06:16:38.000Z	2026-02-03T17:26:34.000Z	25849.34	25437.49	1565.03	LimniClose
NDX100	SHORT	0.38	2026-02-02T19:54:51.000Z	2026-02-03T17:26:35.000Z	25819.37	25445.12	1426.37	LimniClose
JPN225	SHORT	28.67	2026-02-02T19:54:51.000Z	2026-02-03T17:26:35.000Z	53947.42	54087.41	249.88	LimniClose
SPX500	SHORT	1.42	2026-02-02T19:54:52.000Z	2026-02-03T17:26:35.000Z	6990.39	6944.44	-667.95	LimniClose
NDX100	SHORT	0.38	2026-02-02T19:54:52.000Z	2026-02-03T17:26:35.000Z	25820.77	25441.97	-1455.42	LimniClose
JPN225	SHORT	28.67	2026-02-02T19:54:52.000Z	2026-02-03T17:26:35.000Z	53941.02	54088.81	-275.55	LimniClose
BTCUSD	SHORT	1.25	2026-02-02T19:54:52.000Z	2026-02-03T17:26:35.000Z	79012.5	77789	1543.00	LimniClose
ETHUSD	SHORT	42.24	2026-02-02T19:54:52.000Z	2026-02-03T17:26:35.000Z	2353.9	2301.95	2208.11	LimniClose
BTCUSD	SHORT	1.25	2026-02-02T19:54:52.000Z	2026-02-03T17:26:35.000Z	79015.5	77767	1574.25	LimniClose
ETHUSD	SHORT	42.24	2026-02-02T19:54:52.000Z	2026-02-03T17:26:35.000Z	2353.9	2299.05	2330.60	LimniClose
BTCUSD	SHORT	1.25	2026-02-02T19:54:52.000Z	2026-02-03T17:26:35.000Z	79015.5	77767	1574.25	LimniClose
ETHUSD	SHORT	42.24	2026-02-02T19:54:52.000Z	2026-02-03T17:26:35.000Z	2353.9	2299.05	2330.60	LimniClose
BTCUSD	SHORT	1.25	2026-02-02T19:54:52.000Z	2026-02-03T17:26:35.000Z	79015.5	77767	1574.25	LimniClose
XAUUSD	SHORT	0.21	2026-02-02T19:54:53.000Z	2026-02-03T17:26:35.000Z	4676.04	4913.98	4977.07	LimniClose
XAGUSD	SHORT	0.25	2026-02-02T19:54:53.000Z	2026-02-03T17:26:35.000Z	78.856	87.325	10546.29	LimniClose
AUDCAD.i	SHORT	1.43	2026-02-02T19:54:50.000Z	2026-02-03T17:26:36.000Z	0.95147	0.95606	482.57	LimniClose
AUDNZD.i	SHORT	1.43	2026-02-02T19:54:50.000Z	2026-02-03T17:26:36.000Z	1.15813	1.15996	158.42	LimniClose
NZDJPY.i	SHORT	1.65	2026-02-02T19:54:50.000Z	2026-02-03T17:26:36.000Z	93.381	94.047	707.13	LimniClose
NZDCHF.i	SHORT	1.65	2026-02-02T19:54:50.000Z	2026-02-03T17:26:36.000Z	0.46826	0.46863	-90.72	LimniClose
NZDCAD.i	SHORT	1.65	2026-02-02T19:54:50.000Z	2026-02-03T17:26:36.000Z	0.82161	0.82415	303.50	LimniClose
CADJPY.i	SHORT	1.36	2026-02-02T19:54:51.000Z	2026-02-03T17:26:36.000Z	113.663	114.108	390.31	LimniClose
CADCHF.i	SHORT	1.36	2026-02-02T19:54:51.000Z	2026-02-03T17:26:36.000Z	0.56997	0.56859	232.06	LimniClose
CHFJPY.i	SHORT	0.77	2026-02-02T19:54:51.000Z	2026-02-03T17:26:36.000Z	199.415	200.689	624.12	LimniClose
SPX500	SHORT	1.42	2026-02-02T19:54:51.000Z	2026-02-03T17:26:36.000Z	6990.39	6944.94	-660.85	LimniClose
NDX100	SHORT	0.38	2026-02-02T19:54:51.000Z	2026-02-03T17:26:36.000Z	25820.64	25443.22	-1450.18	LimniClose
JPN225	SHORT	28.67	2026-02-02T19:54:51.000Z	2026-02-03T17:26:36.000Z	53941.02	54093.81	-284.75	LimniClose
SPX500	SHORT	1.42	2026-02-02T19:54:51.000Z	2026-02-03T17:26:36.000Z	6990.39	6944.94	-660.85	LimniClose
NDX100	SHORT	0.38	2026-02-02T19:54:51.000Z	2026-02-03T17:26:36.000Z	25820.64	25443.72	-1448.28	LimniClose
JPN225	SHORT	28.67	2026-02-02T19:54:51.000Z	2026-02-03T17:26:36.000Z	53941.02	54093.81	-284.75	LimniClose
SPX500	SHORT	1.42	2026-02-02T19:54:51.000Z	2026-02-03T17:26:36.000Z	6989.91	6945.42	635.28	LimniClose
EURUSD.i	SHORT	0.84	2026-02-02T19:54:49.000Z	2026-02-03T17:26:37.000Z	1.17994	1.18033	25.82	LimniClose
