group_type,activation_rule_id,protection_mode,origin_class,pair,side,close_reason,start_date_et,close_event_count,win_count,loss_count,win_pct,fill_count,adr_normalized_return_pct,account_return_pct,gross_profit_usd,gross_loss_abs_usd,profit_factor,avg_realized_pnl_adr,avg_mfe_adr,avg_mae_adr_abs,avg_giveback_adr,aggregate_capture_ratio,avg_capture_ratio,mfe_1q_hit_pct,mae_1q_hit_pct,trail_addressable_loss_count,trail_no_activation_loss_count,trail_addressable_loss_pct_of_losses,trail_1q_1q_theoretical_improvement_adr,trail_1q_0_5q_theoretical_improvement_adr,content_hash
start_date_origin,triangle_v1_david_contra_extension,baseline,target_captured,,,,2019-09-27,34,22,12,64.705882,37,1.757101,0.053478,5.68,0.33,17.011929,0.051679,0.051679,0.08275,0,1,1,0,5.882353,0,0,0,0,0,BD84D7526DCC18699556B8F6909240B01C630CFEDE6C92F0B50A6077117241E1
start_date_origin,triangle_v1_david_contra_extension,lock_1q_stop_adds,target_captured,,,,2019-09-27,34,22,12,64.705882,37,1.757101,0.053478,5.68,0.33,17.011929,0.051679,0.051679,0.08275,0,1,1,0,5.882353,0,0,0,0,0,B5896B71AE727897B80269CA4B124177003E0E501AC9848A15135E66A300AB15
start_date_origin,triangle_v1_david_contra_extension,trail_1q_0_5q,target_captured,,,,2019-09-27,34,22,12,64.705882,37,1.757101,0.053478,5.68,0.33,17.011929,0.051679,0.051679,0.08275,0,1,1,0,5.882353,0,0,0,0,0,C1307EF9FB7CAB9A7655E95DA61C9C167135D02815E1C7903777FE613996C5B4
start_date_origin,david_contra,protected_flatten_1q,target_captured,,,,2019-05-12,6,6,0,100,7,0.833485,0.053526,5.35,0,,0.138914,0.140448,0.1418,0.001534,0.989077,0.985646,16.666667,16.666667,0,0,,0,0,20E50CC299CC32AE6740E6FEE48D967B756A2257F22D4A777C038CF479547656
start_date_origin,triangle_v1_david_contra_extension,trail_1q_0_5q,target_captured,,,,2019-05-03,6,6,0,100,8,1.129722,0.053655,5.37,0,,0.188287,0.188287,0.137933,0,1,1,33.333333,33.333333,0,0,,0,0,860B7B273D33D0B6C09020496274B9AA7A8E11DDA9EC8123B62D84A8979671B2
start_date_origin,david_contra,lock_1q_stop_adds,target_captured,,,,2019-10-27,10,8,2,80,16,1.517196,0.053834,5.47,0.08,66.948475,0.15172,0.212171,0.378834,0.060452,0.71508,0.819663,50,40,0,0,0,0.204518,0.404518,D2A7E7F452623FA4C1639481C3A52838644497FC518AA3410EF7234992754686
start_date_origin,triangle_v1_david_contra_extension,baseline,eod_green_leftover,,,,2019-11-14,5,5,0,100,7,1.005296,0.053887,5.39,0,,0.201059,0.255816,0.202395,0.054757,0.785952,0.794911,40,40,0,0,,0,0,D69798554DC6DACE3AF169024376824CF4DF74F233B6686E69AFBD04BC3330D7
start_date_origin,triangle_v1_david_contra_extension,lock_1q_stop_adds,eod_green_leftover,,,,2019-11-14,5,5,0,100,7,1.005296,0.053887,5.39,0,,0.201059,0.255816,0.202395,0.054757,0.785952,0.794911,40,40,0,0,,0,0,C38AC54F8E8CD400EC1D0E5438D84DADE9F1DB2EDB3957FB763D321687006964
start_date_origin,triangle_v1_david_contra_extension,trail_1q_0_5q,eod_green_leftover,,,,2019-11-14,5,5,0,100,7,1.005296,0.053887,5.39,0,,0.201059,0.255816,0.202395,0.054757,0.785952,0.794911,40,40,0,0,,0,0,5A6A6FF5B100888C0506744B435CF721FBE7F06FAEAEF3E1B380059A7E2330EE
start_date_origin,triangle_v1_david_contra_extension,protected_flatten_1q,eod_green_leftover,,,,2019-11-14,5,5,0,100,7,1.005296,0.053887,5.39,0,,0.201059,0.255816,0.202395,0.054757,0.785952,0.794911,40,40,0,0,,0,0,4553342335877F68703BDC68D524851E927B96F9B4ACF1ABD76B713EE1A43FE0
