group_type,activation_rule_id,protection_mode,origin_class,live_state_class,pair,side,close_reason,start_date_et,close_event_count,win_count,loss_count,win_pct,fill_count,adr_normalized_return_pct,account_return_pct,gross_profit_usd,gross_loss_abs_usd,profit_factor,avg_realized_pnl_adr,avg_mfe_adr,avg_mae_adr_abs,avg_giveback_adr,aggregate_capture_ratio,avg_capture_ratio,mfe_1q_hit_pct,mae_1q_hit_pct,trail_addressable_loss_count,trail_no_activation_loss_count,trail_addressable_loss_pct_of_losses,trail_1q_1q_theoretical_improvement_adr,trail_1q_0_5q_theoretical_improvement_adr,content_hash
start_date_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,,,,2019-10-16,1,0,1,0,3,-1.177864,-0.054532,0,5.45,0,-1.177864,0.127234,1.786497,1.305098,-9.257463,-9.257463,0,100,0,1,0,0,0,E7A0ECB63BA87ADC779DB8EC3373E4B7FB75C422E5A0FFE9DFF846945292DF5E
start_date_origin,triangle_v0_no_candidate_b,baseline,green_to_red_giveback,,,,,2019-10-09,1,0,1,0,4,-1.146366,-0.051527,0,5.15,0,-1.146366,0.228594,2.058609,1.37496,-5.014856,-5.014856,100,100,1,0,100,1.152051,1.263506,C09B9B6FE9B0BB1B6CFB20756D81CA746E779D0C369DD5B95A967E159A9ED89F
start_date_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,,,,2019-06-07,1,0,1,0,1,-0.680168,-0.0508,0,5.08,0,-0.680168,0.213124,0.680168,0.893292,-3.191419,-3.191419,0,100,0,1,0,0,0,DC5C8E1D39C8DCEB97EF97A1A9A0B4A770CD967C81D3B24057799958BE001DAA
start_date_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,,,,2019-11-19,1,0,1,0,2,-0.687275,-0.045637,0,4.56,0,-0.687275,0,0.687275,0.687275,,,0,100,0,1,0,0,0,FDC1E15A4659CA1FB2425C41A05E890797F781119EF3F49823DD606880189939
start_date_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,,,,2019-12-27,1,0,1,0,2,-0.952036,-0.042713,0,4.27,0,-0.952036,0.14044,0.952036,1.092476,-6.778952,-6.778952,0,100,0,1,0,0,0,2A3D7FCBAA5019575C834CD71F5D653A25116ACC776663EFC1302162A330406F
start_date_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,,,,2019-05-14,1,0,1,0,2,-0.446238,-0.040608,0,4.06,0,-0.446238,0.104152,0.575742,0.55039,-4.284488,-4.284488,0,100,0,1,0,0,0,9D90BEB5E8B2AA9C5EC75EC3A08AEC5D17392A292463DF87221E4343096C2AE5
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-08-22,3,0,3,0,3,-0.324393,-0.03992,0,3.99,0,-0.108131,0.140482,0.186713,0.248613,-0.769712,-0.806943,0,0,0,3,0,0,0,5D511B5D503BF08381143C048CE17920B14A6A8C832EF249AD75325AA6CEE7E6
start_date_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,,,,2019-08-08,1,0,1,0,2,-0.556366,-0.035456,0,3.55,0,-0.556366,0.033295,0.561302,0.589661,-16.710197,-16.710197,0,100,0,1,0,0,0,6D239644AB02513492C854663503B3F17BA703CF76FF3193A7F4DC597E1095B6
start_date_origin,triangle_v0_no_candidate_b,baseline,adverse_no_profit,,,,,2019-05-17,1,0,1,0,2,-0.432529,-0.02922,0,2.92,0,-0.432529,0.135789,0.432529,0.568318,-3.185302,-3.185302,0,100,0,1,0,0,0,AC4136E486ACC5A694D6FA5F23CED11D999830AA8636182BE0E775CC7CCD445F
start_date_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,,,,2019-06-19,1,0,1,0,2,-0.732479,-0.025579,0,2.56,0,-0.732479,0.090671,0.732479,0.82315,-8.078426,-8.078426,0,100,0,1,0,0,0,7CC08A594E53FE392BB37D54243E615D2E72C62CD3C4C8BFDE917B613431CEC2
