group_type,activation_rule_id,protection_mode,origin_class,live_state_class,pair,side,close_reason,start_date_et,close_event_count,win_count,loss_count,win_pct,fill_count,adr_normalized_return_pct,account_return_pct,gross_profit_usd,gross_loss_abs_usd,profit_factor,avg_realized_pnl_adr,avg_mfe_adr,avg_mae_adr_abs,avg_giveback_adr,aggregate_capture_ratio,avg_capture_ratio,mfe_1q_hit_pct,mae_1q_hit_pct,trail_addressable_loss_count,trail_no_activation_loss_count,trail_addressable_loss_pct_of_losses,trail_1q_1q_theoretical_improvement_adr,trail_1q_0_5q_theoretical_improvement_adr,content_hash
pair_side_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,GBPJPY,SHORT,,,1,0,1,0,9,-9.727663,-0.839835,0,83.98,0,-9.727663,0.086786,11.102352,9.814449,-112.087929,-112.087929,0,100,0,1,0,0,0,A858C5197C3D11C4895BB7722D86EA1F171EF9CDC469DC8633CFB58CA69E7C18
pair_side_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,AUDJPY,LONG,,,2,0,2,0,14,-16.694905,-0.613814,0,61.38,0,-8.347453,0.174407,8.990286,8.521859,-47.862049,-31.981232,0,100,0,2,0,0,0,26404CD30A00B6EFF947BCA76A649A97B6A0CCD301A5BD6A08524BB7474F7053
pair_side_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,GBPNZD,SHORT,,,3,0,3,0,12,-5.798424,-0.581909,0,58.19,0,-1.932808,0.080217,2.502279,2.013025,-24.094743,-68.804825,0,100,0,3,0,0,0,9BB727A3E4154CE684D6FD9CA9C94B382A5BF8BD0205FEB85C3A83319C843E91
pair_side_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,GBPUSD,SHORT,,,1,0,1,0,8,-5.442426,-0.480589,0,48.06,0,-5.442426,0.067986,6.866177,5.510412,-80.052158,-80.052158,0,100,0,1,0,0,0,CF0AA9EE4B5CE5A1A5043517B501027B1903EDBCEED082CC6D6E73DA4D59EA8E
pair_side_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,EURGBP,LONG,,,1,0,1,0,9,-7.069248,-0.472923,0,47.29,0,-7.069248,0,8.499846,7.069248,,,0,100,0,1,0,0,0,C203881FA045FDEBFF631411528E483EE4991215D155D0D3506C452AB95993A5
pair_side_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,EURUSD,SHORT,,,3,0,3,0,10,-3.790032,-0.182782,0,18.28,0,-1.263344,0.114023,1.947548,1.377367,-11.079762,-12.783939,0,100,0,3,0,0,0,38FA777918562629679755AC343F04BB72CDFE1AD42A45950FD717787C0CD063
pair_side_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,EURJPY,LONG,,,1,0,1,0,5,-2.821283,-0.148378,0,14.84,0,-2.821283,0.007248,3.502799,2.828531,-389.249862,-389.249862,0,100,0,1,0,0,0,318DA1C2E32DD27FA8B5BB02FED0314961974297B496904CB57023C4A278EA47
pair_side_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,GBPCHF,SHORT,,,1,0,1,0,4,-2.025588,-0.147737,0,14.77,0,-2.025588,0.204035,2.025588,2.229623,-9.92765,-9.92765,0,100,0,1,0,0,0,A52DF5876D31BEC8C75D648A42466FCABFC4CF8AFD808A671F103294659FBB48
pair_side_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,USDCHF,SHORT,,,1,0,1,0,6,-4.010184,-0.131729,0,13.17,0,-4.010184,0.117099,4.434462,4.127283,-34.246099,-34.246099,0,100,0,1,0,0,0,6279E0653E39E87DAE90B5D4726B42418753FC5960D8BBC6D97E2F25B14418EB
pair_side_origin,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,GBPCAD,SHORT,,,2,0,2,0,5,-1.403622,-0.127982,0,12.8,0,-0.701811,0.060187,0.701811,0.761998,-11.660605,-5.95106,0,100,0,2,0,0,0,5280445728DEE0EAC4324315202298C7607D334ECD4A5784CFB6F81A15323310
