"receipt_type","count"
"currency_exposure","2"
"engine_step","1"
"grid_inventory","2"
"harvest_state","1"
"news_guard","1"
"position_attribution","2"
"revma_reentry_gate","15"
"run_end","1"
"run_start","2"
"symbol_init","28"
