variant_id,activation_rule_id,protection_mode,signal_settings_id,david_settings,stochastic_settings,symbol_universe,bar_path_mode,signal_clock,signal_adr_brick,session_mode,session_time_zone,session_trade_start_et,session_trade_end_et,session_flatten_et,session_sunday_start_et,session_flatten_overrides_et,target_mode,target_adr,spacing_adr,min_ma_expansion_adr,grid_add_mode,date_range,price_bundle_id,warehouse_manifest_id,warehouse_hash,weeks_replayed,pairs_replayed,initial_deposit_usd,final_balance_usd,final_equity_before_liquidation_usd,final_equity_after_liquidation_usd,net_profit_usd,closed_price_pnl_usd,end_liquidation_price_pnl_usd,total_price_pnl_usd,total_commission_usd,total_swap_usd,target_reset_count,session_flatten_count,session_flatten_positions,session_flatten_price_pnl_usd,session_flatten_swap_usd,protection_close_count,protection_close_positions,entries_opened,closed_positions,end_liquidation_positions,max_open_positions,max_long_positions,max_short_positions,max_add_depth,max_fill_age_days,position_days,max_equity_drawdown_usd,max_balance_drawdown_usd,weekly_equity_profit_factor,close_event_count,close_event_win_count,close_event_loss_count,close_event_flat_count,close_event_profit_factor,close_event_win_pct,close_event_total_realized_pnl_adr,adr_normalized_return_pct,close_event_total_realized_market_pct,close_event_gross_profit_usd,close_event_gross_loss_abs_usd,close_event_avg_realized_pnl_adr,close_event_avg_realized_market_pct,close_event_avg_mfe_adr,close_event_avg_mae_adr_abs,close_event_avg_mfe_market_pct,close_event_avg_mae_market_pct_abs,close_event_mfe_1q_hit_count,close_event_mfe_2q_hit_count,close_event_mfe_3q_hit_count,close_event_mfe_1q_hit_pct,close_event_mfe_2q_hit_pct,close_event_mfe_3q_hit_pct,close_event_mae_1q_hit_count,close_event_mae_2q_hit_count,close_event_mae_3q_hit_count,close_event_mae_1q_hit_pct,close_event_mae_2q_hit_pct,close_event_mae_3q_hit_pct,target_close_net_usd,session_flatten_close_net_usd,protection_close_net_usd,activation_checks,activation_blocked_long,activation_blocked_short,activation_blocked_expansion,activation_started_long,activation_started_short,activation_long_allow_pct,activation_short_allow_pct,mt5_reference_net_profit_usd,mt5_reference_commission_usd,mt5_reference_swap_usd,mt5_reference_end_liquidation_net_usd,mt5_reference_max_open_positions,mt5_reference_end_liquidation_positions,net_delta_vs_mt5_usd,summary_only,metric_semantics,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,triangle_formulaic_directionless_geometry_v2,baseline,DAVID_LWMA35_RSI21_80_20__STOCH_100_3_21_80_20_low_high_simple_main_only,LWMA35_RSI21_80_20,100_3_21_80_20_low_high_simple_main_only,"AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY",open,m1,0.1,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,session_center_band_reversion,1,0.2,0,adverse_only,2019-04-14T23:00:00.000Z..2019-12-30T00:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,38,28,10000,16038.58,16038.58,16038.58,6038.58,13457.43,0,13457.43,-5717.64,-1701.21,25587,5113,45126,-44110.05,-1475.53,0,0,95294,95294,0,392,347,330,71,3.04,39901.79,-4582.16,-3160.06,1.414973,30700,27206,3494,0,1.096497,88.62,1934.799847,1934.799847,1262.318526,68616.36,62577.78,0.063023,0.041118,0.488013,0.791824,0.302833,0.486011,19604,13820,11185,63.86,45.02,36.43,13796,10894,9321,44.94,35.49,30.36,54331.73,-48293.14,0,7780572,3791672,3958200,5356509,15536,15164,0.41,0.38,174.51,-400.8,-4144.01,-5590.01,170,149,5864.07,true,session_window_position_truth_replay,6AC6C3FE343E6C080245D1442468C68379A7DA0A498F3C0B3F7D2A67EBC9754C
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,triangle_formulaic_directionless_geometry_v2_floorpin,baseline,DAVID_LWMA35_RSI21_80_20__STOCH_100_3_21_80_20_low_high_simple_main_only,LWMA35_RSI21_80_20,100_3_21_80_20_low_high_simple_main_only,"AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY",open,m1,0.1,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,session_center_band_reversion,1,0.2,0,adverse_only,2019-04-14T23:00:00.000Z..2019-12-30T00:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,38,28,10000,12355.24,12355.24,12355.24,2355.24,5001.57,0,5001.57,-1966.32,-680.01,7742,2843,18334,-15246.33,-605.08,0,0,32772,32772,0,277,184,227,46,3.04,16135.03,-2476.5,-1697.27,1.393284,10585,8865,1720,0,1.09777,83.75,728.107258,728.107258,459.119667,26444.84,24089.6,0.068787,0.043375,0.569187,0.886629,0.351632,0.549382,7353,5308,4415,69.47,50.15,41.71,5330,4289,3634,50.35,40.52,34.33,19306.69,-16951.45,0,10153703,5035458,5107660,2388733,5447,5138,0.11,0.1,174.51,-400.8,-4144.01,-5590.01,170,149,2180.73,true,session_window_position_truth_replay,D67A364EE325CF4C4A8BB22DB78DCCC918759EB67D022F3DC90777D9D220384B
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_SURPLUS,triangle_formulaic_directionless_geometry_v2_surplus,baseline,DAVID_LWMA35_RSI21_80_20__STOCH_100_3_21_80_20_low_high_simple_main_only,LWMA35_RSI21_80_20,100_3_21_80_20_low_high_simple_main_only,"AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY",open,m1,0.1,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,session_center_band_reversion,1,0.2,0,adverse_only,2019-04-14T23:00:00.000Z..2019-12-30T00:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,38,28,10000,12355.24,12355.24,12355.24,2355.24,5001.57,0,5001.57,-1966.32,-680.01,7742,2843,18334,-15246.33,-605.08,0,0,32772,32772,0,277,184,227,46,3.04,16135.03,-2476.5,-1697.27,1.393284,10585,8865,1720,0,1.09777,83.75,728.107258,728.107258,459.119667,26444.84,24089.6,0.068787,0.043375,0.569187,0.886629,0.351632,0.549382,7353,5308,4415,69.47,50.15,41.71,5330,4289,3634,50.35,40.52,34.33,19306.69,-16951.45,0,10153703,5035458,5107660,2388733,5447,5138,0.11,0.1,174.51,-400.8,-4144.01,-5590.01,170,149,2180.73,true,session_window_position_truth_replay,008753883F306EFF82E36800621127AB41665B68D495F5960426EB8F301CDEF8
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_SURPLUS_CONVEX,triangle_formulaic_directionless_geometry_v2_surplus_convex,baseline,DAVID_LWMA35_RSI21_80_20__STOCH_100_3_21_80_20_low_high_simple_main_only,LWMA35_RSI21_80_20,100_3_21_80_20_low_high_simple_main_only,"AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY",open,m1,0.1,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,session_center_band_reversion,1,0.2,0,adverse_only,2019-04-14T23:00:00.000Z..2019-12-30T00:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,38,28,10000,10585.94,10585.94,10585.94,585.94,2156.73,0,2156.73,-1222.26,-348.52,7742,2843,8774,-10272.43,-297.67,0,0,20371,20371,0,109,69,78,7,3.04,8274.54,-1279.44,-934.74,1.210669,10585,8655,1930,0,1.042522,81.77,315.053819,315.053819,183.965385,14365.73,13779.79,0.029764,0.01738,0.296717,0.497088,0.183271,0.308336,7059,4874,3696,66.69,46.05,34.92,5330,4289,3623,50.35,40.52,34.23,11682.48,-11096.53,0,10153703,5035458,5107660,2388733,5447,5138,0.11,0.1,174.51,-400.8,-4144.01,-5590.01,170,149,411.43,true,session_window_position_truth_replay,E8E69DD595BA961EA16097DB3319AE8AEFCA1FAB2BD7A9EF8600E7A526075557
