variant_id,speed_profile,pair,side,week_open_utc,close_timestamp_utc,close_reason,realized_or_open_adr,fill_count,adverse_fill_count,expansion_fill_count,min_pnl_adr,max_pnl_adr,went_negative,reset_ordinal_at_start,completed_reset_ordinal,content_hash
RAW_HEDGED_GRID_T100_S020_NO_BOUNDARY,FAST_BASKET,AUDCAD,LONG,2019-04-14T23:00:00.000Z,2019-04-15T14:35:00.000Z,target,1.208465,4,1,2,-0.398609,1.208465,true,0,1,9ADF816799D890D9583992E219F5B25F7AA2F0330377F6B65E2CF9B54CFC4226
RAW_HEDGED_GRID_T100_S020_NO_BOUNDARY,FAST_BASKET,AUDCAD,SHORT,2019-04-14T23:00:00.000Z,2019-04-16T09:43:00.000Z,target,1.005533,5,3,1,-2.694723,1.005533,true,0,1,12B2889284BE9F6E11EB54FF5A18DC24C31F5641ABCD2C6FAC40EF44F6F09816
RAW_HEDGED_GRID_T100_S020_NO_BOUNDARY,FAST_BASKET,AUDCAD,SHORT,2019-04-14T23:00:00.000Z,2019-04-16T22:46:00.000Z,target,1.002384,4,3,0,-1.344521,1.002384,true,1,2,328A9F9CEBAD4D577EC8D750834DED4C4FE8A1E68054518C77562B03D610B6EF
RAW_HEDGED_GRID_T100_S020_NO_BOUNDARY,FAST_BASKET,AUDCAD,LONG,2019-04-14T23:00:00.000Z,2019-04-17T02:04:00.000Z,target,1.099304,4,2,1,-1.591611,1.099304,true,1,2,AC155F19BD7FE41822A3DC3AD91E14C9D0021E0CA6F40652BBC4D9F799F09DF6
RAW_HEDGED_GRID_T100_S020_NO_BOUNDARY,FAST_BASKET,AUDCAD,SHORT,2019-04-14T23:00:00.000Z,2019-04-17T12:31:00.000Z,target,1.067262,4,3,0,-1.990404,1.067262,true,2,3,D0A5366B97CF1365F5024C6B866F0FF7CF3B358FEA414760524B8885477F5323
RAW_HEDGED_GRID_T100_S020_NO_BOUNDARY,FAST_BASKET,AUDCAD,LONG,2019-04-14T23:00:00.000Z,2019-04-18T01:31:00.000Z,target,1.791074,5,4,0,-2.35638,1.791074,true,2,3,585A7024F769A5675A4A07B2857896695F89186C624A4A4EC043FA9FE44C1492
RAW_HEDGED_GRID_T100_S020_NO_BOUNDARY,FAST_BASKET,AUDCAD,SHORT,2019-04-14T23:00:00.000Z,2019-04-18T14:51:00.000Z,target,1.088807,4,3,0,-1.588472,1.088807,true,3,4,8EB02A7711FD6E4FF3AE96F7E12632F2992E1F33495290424B465836022C7A25
RAW_HEDGED_GRID_T100_S020_NO_BOUNDARY,FAST_BASKET,AUDCAD,LONG,2019-04-14T23:00:00.000Z,2019-04-19T15:00:00.000Z,sample_end,-0.637971,5,4,0,-2.203348,0.536462,true,3,,77CC96D8C6B3265BD9B6B0EF0B7F920B13C4F809F7C90FC6543E021870A1CE92
RAW_HEDGED_GRID_T100_S020_NO_BOUNDARY,FAST_BASKET,AUDCAD,SHORT,2019-04-14T23:00:00.000Z,2019-04-19T15:00:00.000Z,sample_end,-0.131671,2,1,0,-0.203724,0.147793,true,4,,B78D90DED9B085342D689CAE905DD67BCDF15DE52986D5E53B64744C7C0B0FFC
RAW_HEDGED_GRID_T100_S020_NO_BOUNDARY,FAST_BASKET,EURUSD,SHORT,2019-04-14T23:00:00.000Z,2019-04-16T09:15:00.000Z,target,1.026628,3,1,1,-0.716472,1.026628,true,0,1,1D65D4BA172053BE8C7B8571F42543636EA16FC3A81E4AF1BEF4383F54A8353C
RAW_HEDGED_GRID_T100_S020_NO_BOUNDARY,FAST_BASKET,EURUSD,LONG,2019-04-14T23:00:00.000Z,2019-04-16T12:02:00.000Z,target,1.085841,4,2,1,-1.221183,1.085841,true,0,1,5F5E54A23C1EC3712673AE3887CD471CC3E07ECBC4B1EE082DAC1091AC050C7A
RAW_HEDGED_GRID_T100_S020_NO_BOUNDARY,FAST_BASKET,EURUSD,SHORT,2019-04-14T23:00:00.000Z,2019-04-16T22:49:00.000Z,target,1.004915,3,2,0,-1.131771,1.004915,true,1,2,5B3EE0A30A7E319869D9A59035F9C9C5EE000AF2835DDB7AF28516AD3B0C9C87
RAW_HEDGED_GRID_T100_S020_NO_BOUNDARY,FAST_BASKET,EURUSD,LONG,2019-04-14T23:00:00.000Z,2019-04-17T05:30:00.000Z,target,1.039948,4,3,0,-1.484051,1.039948,true,1,2,02E18E29ACE1571B1DC35E4907FCAD624465CD5930D31B658C59ABA0AC73F264
RAW_HEDGED_GRID_T100_S020_NO_BOUNDARY,FAST_BASKET,EURUSD,SHORT,2019-04-14T23:00:00.000Z,2019-04-18T07:31:00.000Z,target,2.378312,5,4,0,-2.781068,2.378312,true,2,3,54B234B1A8C7BA104E797535D7D8695D6AB8C5577865A15C4C37347FBF119F76
