"label","path","bytes","sha256","compiled_sha256","canonical_propagation"
"repo","C:\Users\User\Documents\GitHub\limni-website\automation\mt5\Experts\Limni\LimniPortfolioEA.ex5","998400","42D239F0C0F90586E15A3ABE2B37E45B2F393316C65312FD340128491AF3AF83","42D239F0C0F90586E15A3ABE2B37E45B2F393316C65312FD340128491AF3AF83","False"
"terminal-94497","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\94497F60A2BFEA1AFAB110FCF3E331BB\MQL5\Experts\Limni\LimniPortfolioEA.ex5","998400","42D239F0C0F90586E15A3ABE2B37E45B2F393316C65312FD340128491AF3AF83","42D239F0C0F90586E15A3ABE2B37E45B2F393316C65312FD340128491AF3AF83","True"
