bucket,trigger_candidates,distinct_pair_weeks,long_triggers,short_triggers,bb_true,family_positive,candidate_b_aligned,candidate_b_contra_aligned,content_hash
all,597,122,289,308,149,101,291,306,A1C6295F83116461504D9F0E81BAAA377E52187AC023D85F4C30DA2FF5DE705A
candidate_b_aligned,291,91,228,63,82,28,291,0,2D68FBA74D102B0455C0B529DE92A2DECF6E7698FB7C8F10ECDEEFDA9E016550
candidate_b_contra_aligned,306,92,61,245,67,73,0,306,57196A3C592F40D81087B3DD965334B6316A6096DD89F4303EAF39183220CFD3
bb_true,149,69,74,75,149,25,82,67,6549FF605531B46645FF21127630C5C6B74AF1B8A9CEAC7DA7D292584220E676
family_positive,101,39,27,74,25,101,28,73,0344DD67EDA82FD5F54AA110760F77637FC6DCFAE703C75A9C7CED3DC39C21B7
