variant_id,activation_rule_id,protection_mode,signal_settings_id,david_settings,stochastic_settings,symbol_universe,bar_path_mode,signal_clock,signal_adr_brick,session_mode,session_time_zone,session_trade_start_et,session_trade_end_et,session_flatten_et,session_sunday_start_et,session_flatten_overrides_et,target_mode,target_adr,spacing_adr,min_ma_expansion_adr,grid_add_mode,date_range,price_bundle_id,warehouse_manifest_id,warehouse_hash,weeks_replayed,pairs_replayed,initial_deposit_usd,final_balance_usd,final_equity_before_liquidation_usd,final_equity_after_liquidation_usd,net_profit_usd,closed_price_pnl_usd,end_liquidation_price_pnl_usd,total_price_pnl_usd,total_commission_usd,total_swap_usd,target_reset_count,session_flatten_count,session_flatten_positions,session_flatten_price_pnl_usd,session_flatten_swap_usd,protection_close_count,protection_close_positions,entries_opened,closed_positions,end_liquidation_positions,max_open_positions,max_long_positions,max_short_positions,max_add_depth,max_fill_age_days,position_days,max_equity_drawdown_usd,max_balance_drawdown_usd,weekly_equity_profit_factor,close_event_count,close_event_win_count,close_event_loss_count,close_event_flat_count,close_event_profit_factor,close_event_win_pct,close_event_total_realized_pnl_adr,adr_normalized_return_pct,close_event_total_realized_market_pct,close_event_gross_profit_usd,close_event_gross_loss_abs_usd,close_event_avg_realized_pnl_adr,close_event_avg_realized_market_pct,close_event_avg_mfe_adr,close_event_avg_mae_adr_abs,close_event_avg_mfe_market_pct,close_event_avg_mae_market_pct_abs,close_event_mfe_1q_hit_count,close_event_mfe_2q_hit_count,close_event_mfe_3q_hit_count,close_event_mfe_1q_hit_pct,close_event_mfe_2q_hit_pct,close_event_mfe_3q_hit_pct,close_event_mae_1q_hit_count,close_event_mae_2q_hit_count,close_event_mae_3q_hit_count,close_event_mae_1q_hit_pct,close_event_mae_2q_hit_pct,close_event_mae_3q_hit_pct,target_close_net_usd,session_flatten_close_net_usd,protection_close_net_usd,activation_checks,activation_blocked_long,activation_blocked_short,activation_blocked_expansion,activation_started_long,activation_started_short,activation_long_allow_pct,activation_short_allow_pct,mt5_reference_net_profit_usd,mt5_reference_commission_usd,mt5_reference_swap_usd,mt5_reference_end_liquidation_net_usd,mt5_reference_max_open_positions,mt5_reference_end_liquidation_positions,net_delta_vs_mt5_usd,summary_only,metric_semantics,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2,triangle_formulaic_directionless_geometry_v2,baseline,DAVID_LWMA35_RSI21_80_20__STOCH_100_3_21_80_20_low_high_simple_main_only,LWMA35_RSI21_80_20,100_3_21_80_20_low_high_simple_main_only,AUDCHF,open,m1,0.1,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,session_center_band_reversion,1,0.2,0,adverse_only,2019-04-14T23:00:00.000Z..2019-04-14T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,1,1,10000,10028.22,10028.22,10028.22,28.22,33.03,0,33.03,-4.38,-0.43,21,6,31,-8.61,0.09,0,0,73,73,0,14,11,11,10,0.75,18.15,0,0,,27,23,4,0,3.468662,85.19,6.443656,6.443656,4.578658,39.66,11.43,0.238654,0.16958,0.43418,0.444975,0.308514,0.316185,17,10,9,62.96,37.04,33.33,12,10,8,44.44,37.04,29.63,38.6,-10.38,0,6430,3769,2634,4223,11,16,0.29,0.6,174.51,-400.8,-4144.01,-5590.01,170,149,-146.29,false,session_window_position_truth_replay,76A5A631B886C9037F61D0BE73A7258E4565095CDC945C708466B474E075BAEC
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_FLOORPIN,triangle_formulaic_directionless_geometry_v2_floorpin,baseline,DAVID_LWMA35_RSI21_80_20__STOCH_100_3_21_80_20_low_high_simple_main_only,LWMA35_RSI21_80_20,100_3_21_80_20_low_high_simple_main_only,AUDCHF,open,m1,0.1,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,session_center_band_reversion,1,0.2,0,adverse_only,2019-04-14T23:00:00.000Z..2019-04-14T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,1,1,10000,10007.74,10007.74,10007.74,7.74,9.48,0,9.48,-1.68,-0.06,13,3,8,-5.52,0.01,0,0,28,28,0,5,3,5,4,0.29,2.73,0,0,,16,14,2,0,2.271787,87.5,1.83611,1.83611,1.304682,13.83,6.09,0.114757,0.081543,0.185654,0.143618,0.13192,0.10205,9,6,6,56.25,37.5,37.5,7,4,3,43.75,25,18.75,13.73,-5.99,0,8997,4729,4252,2119,6,10,0.13,0.23,174.51,-400.8,-4144.01,-5590.01,170,149,-166.77,false,session_window_position_truth_replay,0C025BA0A0A60C7C435EB390505654DB2F0421A9F8BCD162E3AA16C2C5499BEF
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_SURPLUS,triangle_formulaic_directionless_geometry_v2_surplus,baseline,DAVID_LWMA35_RSI21_80_20__STOCH_100_3_21_80_20_low_high_simple_main_only,LWMA35_RSI21_80_20,100_3_21_80_20_low_high_simple_main_only,AUDCHF,open,m1,0.1,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,session_center_band_reversion,1,0.2,0,adverse_only,2019-04-14T23:00:00.000Z..2019-04-14T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,1,1,10000,10007.74,10007.74,10007.74,7.74,9.48,0,9.48,-1.68,-0.06,13,3,8,-5.52,0.01,0,0,28,28,0,5,3,5,4,0.29,2.73,0,0,,16,14,2,0,2.271787,87.5,1.83611,1.83611,1.304682,13.83,6.09,0.114757,0.081543,0.185654,0.143618,0.13192,0.10205,9,6,6,56.25,37.5,37.5,7,4,3,43.75,25,18.75,13.73,-5.99,0,8997,4729,4252,2119,6,10,0.13,0.23,174.51,-400.8,-4144.01,-5590.01,170,149,-166.77,false,session_window_position_truth_replay,C8F89E381710C750895DFEC195A0E9DE8CE88039D8151C1EECCCD885468C6100
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY_V2_SURPLUS_CONVEX,triangle_formulaic_directionless_geometry_v2_surplus_convex,baseline,DAVID_LWMA35_RSI21_80_20__STOCH_100_3_21_80_20_low_high_simple_main_only,LWMA35_RSI21_80_20,100_3_21_80_20_low_high_simple_main_only,AUDCHF,open,m1,0.1,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,session_center_band_reversion,1,0.2,0,adverse_only,2019-04-14T23:00:00.000Z..2019-04-14T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,1,1,10000,10006.47,10006.47,10006.47,6.47,7.96,0,7.96,-1.44,-0.05,13,3,6,-4.41,0,0,0,24,24,0,3,2,3,2,0.29,2.12,0,0,,16,14,2,0,2.331252,87.5,1.541461,1.541461,1.095313,11.33,4.86,0.096341,0.068457,0.153714,0.12571,0.109224,0.089325,9,6,5,56.25,37.5,31.25,7,4,3,43.75,25,18.75,11.24,-4.77,0,8997,4729,4252,2119,6,10,0.13,0.23,174.51,-400.8,-4144.01,-5590.01,170,149,-168.04,false,session_window_position_truth_replay,E25D5420AE03D1C3C09E578513888B4446951F1989AEDF07276763EE1303E209
