time,symbol,event,side,price,modeled_price,actual_price,accounting_price,execution_price_mode,actual_minus_modeled_price,adr,lrmg_line,stoch,david_mode,david_direction,david_down,david_up,fills,avg_entry,open_adr,net_adr,reason
2026.01.05 15:42:00,NZDJPY.i,BUY_SIGNAL,LONG,90.152,,,,MT5_ORDER_FILL,,0.602,90.427,9.8793,OFF,UNKNOWN,,,0,,0.000000,0.000000,signal
2026.01.05 15:42:00,NZDJPY.i,ENTRY,LONG,90.155,90.152,90.155,90.155,MT5_ORDER_FILL,0.003,0.602,90.427,,OFF,UNKNOWN,,,1,90.155,0.000000,0.000000,entry
2026.01.05 15:55:00,NZDJPY.i,EXIT,LONG,90.215,90.215,90.230,90.215,MT5_ORDER_FILL,0.015,0.602,90.427,,OFF,UNKNOWN,,,1,90.155,0.100000,0.100000,tp
2026.01.06 03:08:00,NZDJPY.i,SELL_SIGNAL,SHORT,90.549,,,,MT5_ORDER_FILL,,0.613,90.427,92.8689,OFF,UNKNOWN,,,0,,0.000000,0.100000,signal
2026.01.06 03:08:00,NZDJPY.i,ENTRY,SHORT,90.549,90.549,90.549,90.549,MT5_ORDER_FILL,0.000,0.613,90.427,,OFF,UNKNOWN,,,1,90.549,0.000000,0.100000,entry
2026.01.06 03:34:00,NZDJPY.i,GRID_ADD,SHORT,90.604,90.610,90.604,90.604,MT5_ORDER_FILL,-0.006,0.613,90.427,,OFF,UNKNOWN,,,2,90.577,-0.089781,0.100000,grid_add
2026.01.06 03:47:00,NZDJPY.i,GRID_ADD,SHORT,90.678,90.672,90.678,90.678,MT5_ORDER_FILL,0.006,0.613,90.427,,OFF,UNKNOWN,,,3,90.610,-0.331374,0.100000,grid_add
2026.01.06 03:52:00,NZDJPY.i,GRID_ADD,SHORT,90.713,90.733,90.713,90.713,MT5_ORDER_FILL,-0.020,0.613,90.427,,OFF,UNKNOWN,,,4,90.636,-0.502775,0.100000,grid_add
2026.01.06 08:12:00,NZDJPY.i,GRID_ADD,SHORT,90.788,90.794,90.788,90.788,MT5_ORDER_FILL,-0.006,0.613,90.427,,OFF,UNKNOWN,,,5,90.666,-0.992491,0.100000,grid_add
2026.01.06 10:49:00,NZDJPY.i,EXIT,SHORT,90.605,90.605,90.624,90.605,MT5_ORDER_FILL,0.019,0.613,90.427,,OFF,UNKNOWN,,,5,90.666,0.500000,0.600000,tp
2026.01.13 00:31:00,NZDJPY.i,SELL_SIGNAL,SHORT,91.179,,,,MT5_ORDER_FILL,,0.552,90.529,92.4596,OFF,UNKNOWN,,,0,,0.000000,0.600000,signal
2026.01.13 00:31:00,NZDJPY.i,ENTRY,SHORT,91.179,91.179,91.179,91.179,MT5_ORDER_FILL,0.000,0.552,90.529,,OFF,UNKNOWN,,,1,91.179,0.000000,0.600000,entry
2026.01.13 00:58:00,NZDJPY.i,GRID_ADD,SHORT,91.200,91.234,91.200,91.200,MT5_ORDER_FILL,-0.034,0.552,90.529,,OFF,UNKNOWN,,,2,91.190,-0.038078,0.600000,grid_add
2026.01.13 01:16:00,NZDJPY.i,GRID_ADD,SHORT,91.290,91.289,91.290,91.290,MT5_ORDER_FILL,0.001,0.552,90.529,,OFF,UNKNOWN,,,3,91.223,-0.364461,0.600000,grid_add
2026.01.13 01:21:00,NZDJPY.i,EXIT,SHORT,91.168,91.168,91.233,91.168,MT5_ORDER_FILL,0.065,0.552,90.529,,OFF,UNKNOWN,,,3,91.223,0.300000,0.900000,tp
2026.01.19 09:09:00,NZDJPY.i,SELL_SIGNAL,SHORT,91.184,,,,MT5_ORDER_FILL,,0.542,91.040,92.5507,OFF,UNKNOWN,,,0,,0.000000,0.900000,signal
2026.01.19 09:09:00,NZDJPY.i,ENTRY,SHORT,91.184,91.184,91.184,91.184,MT5_ORDER_FILL,0.000,0.542,91.040,,OFF,UNKNOWN,,,1,91.184,0.000000,0.900000,entry
2026.01.19 09:11:00,NZDJPY.i,EXIT,SHORT,91.130,91.130,91.146,91.130,MT5_ORDER_FILL,0.016,0.542,91.040,,OFF,UNKNOWN,,,1,91.184,0.100000,1.000000,tp
2026.01.20 00:58:00,NZDJPY.i,SELL_SIGNAL,SHORT,91.615,,,,MT5_ORDER_FILL,,0.612,91.040,90.2693,OFF,UNKNOWN,,,0,,0.000000,1.000000,signal
2026.01.20 00:58:00,NZDJPY.i,ENTRY,SHORT,91.618,91.615,91.618,91.618,MT5_ORDER_FILL,0.003,0.612,91.040,,OFF,UNKNOWN,,,1,91.618,0.000000,1.000000,entry
2026.01.20 02:11:00,NZDJPY.i,GRID_ADD,SHORT,91.679,91.679,91.679,91.679,MT5_ORDER_FILL,-0.000,0.612,91.040,,OFF,UNKNOWN,,,2,91.648,-0.099641,1.000000,grid_add
2026.01.20 02:19:00,NZDJPY.i,EXIT,SHORT,91.587,91.587,91.599,91.587,MT5_ORDER_FILL,0.012,0.612,91.040,,OFF,UNKNOWN,,,2,91.648,0.200000,1.200000,tp
2026.01.29 02:02:00,NZDJPY.i,SELL_SIGNAL,SHORT,92.722,,,,MT5_ORDER_FILL,,0.988,92.062,93.4425,OFF,UNKNOWN,,,0,,0.000000,1.200000,signal
2026.01.29 02:02:00,NZDJPY.i,ENTRY,SHORT,92.722,92.722,92.722,92.722,MT5_ORDER_FILL,0.000,0.988,92.062,,OFF,UNKNOWN,,,1,92.722,0.000000,1.200000,entry
2026.01.29 02:11:00,NZDJPY.i,GRID_ADD,SHORT,92.819,92.821,92.819,92.819,MT5_ORDER_FILL,-0.002,0.988,92.062,,OFF,UNKNOWN,,,2,92.770,-0.098138,1.200000,grid_add
2026.01.29 02:35:00,NZDJPY.i,EXIT,SHORT,92.672,92.672,92.697,92.672,MT5_ORDER_FILL,0.025,0.988,92.062,,OFF,UNKNOWN,,,2,92.770,0.200000,1.400000,tp
2026.01.30 14:45:00,NZDJPY.i,SELL_SIGNAL,SHORT,93.316,,,,MT5_ORDER_FILL,,1.067,92.982,92.1832,OFF,UNKNOWN,,,0,,0.000000,1.400000,signal
2026.01.30 14:45:00,NZDJPY.i,ENTRY,SHORT,93.315,93.316,93.315,93.315,MT5_ORDER_FILL,-0.001,1.067,92.982,,OFF,UNKNOWN,,,1,93.315,0.000000,1.400000,entry
2026.01.30 15:12:00,NZDJPY.i,GRID_ADD,SHORT,93.443,93.422,93.443,93.443,MT5_ORDER_FILL,0.021,1.067,92.982,,OFF,UNKNOWN,,,2,93.379,-0.119951,1.400000,grid_add
2026.01.30 16:03:00,NZDJPY.i,GRID_ADD,SHORT,93.531,93.528,93.531,93.531,MT5_ORDER_FILL,0.003,1.067,92.982,,OFF,UNKNOWN,,,3,93.430,-0.284884,1.400000,grid_add
2026.01.30 16:30:00,NZDJPY.i,GRID_ADD,SHORT,93.688,93.635,93.688,93.688,MT5_ORDER_FILL,0.053,1.067,92.982,,OFF,UNKNOWN,,,4,93.494,-0.726267,1.400000,grid_add
2026.01.30 16:34:00,NZDJPY.i,GRID_ADD,SHORT,93.747,93.742,93.747,93.747,MT5_ORDER_FILL,0.005,1.067,92.982,,OFF,UNKNOWN,,,5,93.545,-0.947428,1.400000,grid_add
2026.01.30 16:50:00,NZDJPY.i,GRID_ADD,SHORT,93.843,93.849,93.843,93.843,MT5_ORDER_FILL,-0.006,1.067,92.982,,OFF,UNKNOWN,,,6,93.594,-1.397245,1.400000,grid_add
2026.01.30 17:54:00,NZDJPY.i,EXIT,SHORT,93.488,93.488,93.488,93.488,MT5_ORDER_FILL,0.000,1.067,93.084,,OFF,UNKNOWN,,,6,93.594,0.600000,2.000000,tp
2026.02.03 04:09:00,NZDJPY.i,SELL_SIGNAL,SHORT,93.521,,,,MT5_ORDER_FILL,,1.122,93.288,93.7594,OFF,UNKNOWN,,,0,,0.000000,2.000000,signal
2026.02.03 04:09:00,NZDJPY.i,ENTRY,SHORT,93.524,93.521,93.524,93.524,MT5_ORDER_FILL,0.003,1.122,93.288,,OFF,UNKNOWN,,,1,93.524,0.000000,2.000000,entry
2026.02.03 04:41:00,NZDJPY.i,EXIT,SHORT,93.412,93.412,93.425,93.412,MT5_ORDER_FILL,0.013,1.122,93.288,,OFF,UNKNOWN,,,1,93.524,0.100000,2.100000,tp
