variant_id,candle_stream_id,direction_mode,trade_rows,closed_trade_rows,terminal_liquidations,open_inventory_rows,corrected_closed_net_actual,corrected_terminal_marked_actual,corrected_closed_plus_marked_net_actual,corrected_profit_factor_closed_plus_marked,corrected_expectancy_closed_plus_marked,corrected_balance_dd_actual,corrected_max_equity_dd_actual,corrected_net_to_max_equity_dd,worst_marked_month_delta_actual,terminal_marked_loss_share_of_closed_net,top_pair_contribution_pct,top_3_pair_contribution_pct,remove_best_pair_net_actual,stress_double_commission_net,stress_slippage_0_1_net,stress_slippage_0_2_net,swap_unavailable_blocker,continue_candidate,continue_fail_reasons,content_hash
adr_event_0_10_candidate_b_fade_strict,adr_event_0_10,candidate_b_fade_strict,560,522,38,38,2761.71,-1084.02,1677.68,2.481543,2.995863,-1124.15,-1241.84,1.350966,-617.41,0.392519,95.068589,99.999793,82.73,1599.28,1667.5,1657.32,true,false,negative_month_worse_than_25pct_net;terminal_inventory_loss_share_gte_25pct_closed_net;top_pair_gt_25pct_net;top3_pairs_gt_55pct_net,9CD4757EB1C7DA2B9980DBC2BAFC16872A8F5605BBCA9108000C671936114EE3
adr_event_0_10_candidate_b_agreement_strict,adr_event_0_10,candidate_b_agreement_strict,292,281,11,11,1342.62,49.09,1391.71,110.884585,4.766116,-12.67,-288.78,4.819259,-288.77,0,60.241902,100.000307,553.32,1350.83,1386.02,1380.33,true,false,top_pair_gt_25pct_net;top3_pairs_gt_55pct_net,B5AEEF94C75B2052493ED6021D4D850E0445BE8CF88EAD6CA4058F092C573221
adr_event_0_10_type3_long_only,adr_event_0_10,type3_long_only,388,345,43,43,1939.16,-1018.04,921.12,1.82248,2.374015,-1119.93,-1446.44,0.636817,-743.59,0.524991,100.000252,100.000252,0,866.8,911.44,901.75,true,false,net_to_max_equity_dd_below_1;negative_month_worse_than_25pct_net;terminal_inventory_loss_share_gte_25pct_closed_net;top_pair_gt_25pct_net;top3_pairs_gt_55pct_net;remove_best_pair_flips_or_missing_net,2E6EC9559C00AEABB478DF79D769CB29E5E3AFEB89617AC822FB9C64AA46F521
time_h1_type3_both_no_direction,time_h1,type3_both_no_direction,544,491,53,53,2740.27,-2012.95,727.33,1.344827,1.336997,-2012.95,-893.41,0.814102,-643.25,0.734579,154.689809,174.720703,-397.77,651.17,713.69,700.04,true,false,net_to_max_equity_dd_below_1;negative_month_worse_than_25pct_net;terminal_inventory_loss_share_gte_25pct_closed_net;top_pair_gt_25pct_net;top3_pairs_gt_55pct_net;remove_best_pair_flips_or_missing_net,8891332167D7BEB7D5B6A1647E3A16B9FD428E1E05E0C5C00C1D40B1BE6FCAB9
time_h1_type3_long_only,time_h1,type3_long_only,544,491,53,53,2740.27,-2012.95,727.33,1.344827,1.336997,-2012.95,-893.41,0.814102,-643.25,0.734579,154.689809,174.720703,-397.77,651.17,713.69,700.04,true,false,net_to_max_equity_dd_below_1;negative_month_worse_than_25pct_net;terminal_inventory_loss_share_gte_25pct_closed_net;top_pair_gt_25pct_net;top3_pairs_gt_55pct_net;remove_best_pair_flips_or_missing_net,567CE9AC18ABF46FAA49E73D1D72CA9BFC4BEE471B484B2A9ED4BEDC7259D081
time_h1_candidate_b_fade_strict,time_h1,candidate_b_fade_strict,461,416,45,45,2352.47,-1981.62,370.85,1.184248,0.804451,-1981.62,-948.63,0.390934,-563.93,0.842356,281.282011,281.282011,-672.29,306.31,359.31,347.77,true,false,pf_below_1_25;net_to_max_equity_dd_below_1;negative_month_worse_than_25pct_net;terminal_inventory_loss_share_gte_25pct_closed_net;top_pair_gt_25pct_net;top3_pairs_gt_55pct_net;remove_best_pair_flips_or_missing_net,AF79A867327F75A578F7B07EF43E3098337F5FA86DA87F07C910D9D4C45AE99C
time_h1_candidate_b_agreement_strict,time_h1,candidate_b_agreement_strict,83,75,8,8,387.8,-31.33,356.47,4.695534,4.294874,-94.12,-84.97,4.195298,-84.96,0.080788,96.654879,119.646706,11.92,344.85,354.38,352.28,true,false,top_pair_gt_25pct_net;top3_pairs_gt_55pct_net,A58F39B2C3F529F1B06CCEC0E8431321F3A3EFABB7270CEB6880A316C0FEB490
time_h1_type3_short_only,time_h1,type3_short_only,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,0,0,0,true,false,corrected_closed_plus_marked_net_not_positive;pf_below_1_25;net_to_max_equity_dd_below_1;terminal_inventory_loss_share_gte_25pct_closed_net;top_pair_gt_25pct_net;top3_pairs_gt_55pct_net;remove_best_pair_flips_or_missing_net;double_commission_not_positive;slippage_0_1_not_positive,3B0CB250C39D5A4CA80C0D14F3EDFB5283793518E44A7A96F859B36317153354
adr_event_0_05_type3_short_only,adr_event_0_05,type3_short_only,11017,10397,620,620,45486.92,-58386.08,-12899.16,0.779074,-1.170841,-58386.08,-22608.12,-0.570554,-11349.87,1.283579,,,-20412.49,-14441.54,-13046.15,-13193.13,true,false,corrected_closed_plus_marked_net_not_positive;pf_below_1_25;net_to_max_equity_dd_below_1;negative_month_worse_than_25pct_net;terminal_inventory_loss_share_gte_25pct_closed_net;top_pair_gt_25pct_net;top3_pairs_gt_55pct_net;remove_best_pair_flips_or_missing_net;double_commission_not_positive;slippage_0_1_not_positive,ED9B8B28B8DC8A04D359CFA3DA21421EA0443529B2CA0B83A867119EDDBC1728
adr_event_0_05_candidate_b_agreement_strict,adr_event_0_05,candidate_b_agreement_strict,8867,8304,563,563,36896.24,-56350.19,-19453.95,0.654896,-2.193972,-56341.32,-27935.42,-0.69639,-11425.91,1.527261,,,-23042.19,-20695.33,-19580.66,-19707.37,true,false,corrected_closed_plus_marked_net_not_positive;pf_below_1_25;net_to_max_equity_dd_below_1;negative_month_worse_than_25pct_net;terminal_inventory_loss_share_gte_25pct_closed_net;top_pair_gt_25pct_net;top3_pairs_gt_55pct_net;remove_best_pair_flips_or_missing_net;double_commission_not_positive;slippage_0_1_not_positive,76D6FB81D6EFE0C5AABA458B02A85C18BD54409000126DA1C3F2078E5F824C36
adr_event_0_025_candidate_b_agreement_strict,adr_event_0_025,candidate_b_agreement_strict,82715,77494,5221,5221,344355.84,-421370.05,-77014.21,0.817432,-0.931079,-421333.8,-163497.06,-0.471043,-70570.19,1.223647,,,-118685.56,-88594.31,-78472.1,-79930,true,false,corrected_closed_plus_marked_net_not_positive;pf_below_1_25;net_to_max_equity_dd_below_1;negative_month_worse_than_25pct_net;terminal_inventory_loss_share_gte_25pct_closed_net;top_pair_gt_25pct_net;top3_pairs_gt_55pct_net;remove_best_pair_flips_or_missing_net;double_commission_not_positive;slippage_0_1_not_positive,32E9387D5536C9BDA38BEAA01145667857F2641831244349AC1D6EB4619B15EA
adr_event_0_025_type3_short_only,adr_event_0_025,type3_short_only,89290,83800,5490,5490,370201.72,-487890.05,-117688.33,0.75886,-1.318046,-487890.05,-166155.74,-0.708301,-85301.1,1.317903,,,-158595.48,-130188.93,-119234.72,-120781.11,true,false,corrected_closed_plus_marked_net_not_positive;pf_below_1_25;net_to_max_equity_dd_below_1;negative_month_worse_than_25pct_net;terminal_inventory_loss_share_gte_25pct_closed_net;top_pair_gt_25pct_net;top3_pairs_gt_55pct_net;remove_best_pair_flips_or_missing_net;double_commission_not_positive;slippage_0_1_not_positive,C87DD7E31E967B26D85D7097D58CB6ED448D8BBDC8CCE089209947E3D6D34EA0
