symbol,variant_id,trades,corrected_net_actual,corrected_profit_factor,terminal_liquidations,avg_hold_hours,content_hash
AUDCAD,adr_event_0_025_candidate_b_agreement_strict,1428,2669.04,2.772737,95,78.979885,C0C62094484F9B5BA5FA0227C3B5680306E26F605770C53A7E7781A43E7FA390
AUDCHF,adr_event_0_025_candidate_b_agreement_strict,6055,-67491.99,0.274666,1278,804.113206,AF7009B7B230307151372AC24D0E2E379BECBB95D903D0DF759796EF766A5F7A
AUDJPY,adr_event_0_025_candidate_b_agreement_strict,4593,-63169.66,0.204117,508,498.636257,8023380750E83FA3FEB6E8F4F07C8CCBD9E82796C320E6214B3465033D918E61
AUDNZD,adr_event_0_025_candidate_b_agreement_strict,1318,-46163.54,0.042933,458,2274.790975,1DA73E033CF5B01DB47108A82B4D043C7FDBBA59D5B420CB3B8AF2BAA4BA3552
AUDUSD,adr_event_0_025_candidate_b_agreement_strict,3520,18735.74,89.399473,21,97.944699,E4EA0D1635EAA1BB4C92029C59508B97A2F056147D9ED12D750F915E8064AFC0
CADCHF,adr_event_0_025_candidate_b_agreement_strict,7470,41671.35,52.186241,67,240.099809,5FFF7CDBEF401F7C077B5FEBF36D6FF5B9BD6618FF9365387D295F22705055F8
CADJPY,adr_event_0_025_candidate_b_agreement_strict,4360,-11845.39,0.564893,332,447.429143,FF9CE5B5B6914500AD5159A2FEA39E0EC7A1B912418D02F5857E66ACF2EC9797
CHFJPY,adr_event_0_025_candidate_b_agreement_strict,5340,-56099.16,0.241934,357,424.434781,5799A93FE78B9A3F359A9BEE160B6605FB1E144E516DF269F25849F9CDAC7809
EURAUD,adr_event_0_025_candidate_b_agreement_strict,2549,4164.09,1.91464,15,115.294812,EA1935DB39DC1AA7D9DD19DF05DBEE7B6ECA50066BC3758C37F602BAC5DA24E2
EURCAD,adr_event_0_025_candidate_b_agreement_strict,1180,3240.52,4.409948,98,86.975635,C3F30F8D605C3036445F82C99F668F3E33CE853CF96174F99141E5DC4BAC485C
EURCHF,adr_event_0_025_candidate_b_agreement_strict,1312,-659.82,0.877076,487,424.488942,0F4C45BB05137B616F94413786CBAD49C0190B7778415EF95D97E0812FA089E1
EURJPY,adr_event_0_025_candidate_b_agreement_strict,2738,-8266.52,0.497709,224,331.594705,0324BB76FF67BC206528C6C08B099BFF9092A2356F2B75183BA2584A380CA893
EURNZD,adr_event_0_025_candidate_b_agreement_strict,2145,4962.41,3.082507,71,57.613775,5D725F4DF683FBDD317CF9822EA61E7AC624C75BEE8932AF5B9D549249382486
EURUSD,adr_event_0_025_candidate_b_agreement_strict,2459,12041.09,16.736984,16,108.003406,513B2DE2B3F0613E8C2E4876572D380DEF838A1070073B30DAB1EE56FB0A15A5
GBPAUD,adr_event_0_025_candidate_b_agreement_strict,2465,9281.06,,0,107.733562,FF8B1DE768A11D5AD8812E02A23CF2CBC110DBAD1F6006BAA3C8F41F92FB8A1F
GBPCAD,adr_event_0_025_candidate_b_agreement_strict,3727,3704.85,1.378507,117,439.398518,113799D354F73255C69D5B3961DBD3608B1817CE277E3E251DDAE3686AD87B1E
GBPCHF,adr_event_0_025_candidate_b_agreement_strict,6637,38091.74,30.925402,56,175.308625,70A915380C6E7777972CB11FCC7C12E30BB01931737DBF75D34678763A8B6076
GBPJPY,adr_event_0_025_candidate_b_agreement_strict,2485,-8549.61,0.563796,144,300.480335,BDCC42C083C87ED8EA183C2B54BF57DA63834E1A41269C97D41071E46570D9F9
GBPNZD,adr_event_0_025_candidate_b_agreement_strict,1710,4070.54,5.059986,27,219.379629,40752C759ACFE58AF48328C7786B873E8F702458A8D323E03A488438A3510807
GBPUSD,adr_event_0_025_candidate_b_agreement_strict,195,283.21,1.599997,27,66.715248,DA15CE452D2D5D2031D39D4AE17067EB6AD2817AD58DFD9FCA02D33C030E0183
NZDCAD,adr_event_0_025_candidate_b_agreement_strict,4827,14344.72,13.921364,109,300.385836,0684D314A206C59F80ED4F7F3FF3525A503C434B2AE168649E6B950D71EEA874
NZDCHF,adr_event_0_025_candidate_b_agreement_strict,2837,15815.02,183.801166,53,307.301699,268A142ACBD964C4ABD4A5F354CE37E68AC1F3CBC1579405D91C275B7AB9E603
NZDJPY,adr_event_0_025_candidate_b_agreement_strict,3664,-11591.07,0.508041,329,424.460147,4FF1E5A17CC075DDB2229D69299A6892C7FE69875E0BBF6B9CBF22EDFD09E48B
NZDUSD,adr_event_0_025_candidate_b_agreement_strict,3107,13440.64,,0,264.014909,9457DE1BD4F7D858A6A9C0FE0EE04386D8A0232CD867A1A0B10777ADCDE70F4E
USDCAD,adr_event_0_025_candidate_b_agreement_strict,1437,3260.84,2.59078,251,108.934406,C031B4E80C0DD612071549CC2DA41C63CC61D14BEBABF7F092F0688EF6439A6B
USDCHF,adr_event_0_025_candidate_b_agreement_strict,907,5638.44,,0,54.65176,7003657461C18980F8087EB2A3C06C7800CDEF81AC89C7B75DBA551849F6CD9A
USDJPY,adr_event_0_025_candidate_b_agreement_strict,2250,1407.23,1.175796,81,303.978553,932DB37C291665B39D10427CD731D0FB055A9BC84230F1251BE3CEBE1684A9C0
AUDCAD,adr_event_0_025_candidate_b_fade_strict,6501,20040.24,41.021369,20,107.123414,CBD60F0D32B2B7DC9A7479676C88D583C95FAD9E866B2091C48614D0F7DC8F6E
AUDCHF,adr_event_0_025_candidate_b_fade_strict,3345,14873.91,8.037644,81,1009.321192,3E7D91ADB4A447B16A099A513799EDE1CDB5E8DB7B3CC6BC681457E149484B6E
AUDJPY,adr_event_0_025_candidate_b_fade_strict,3981,-8784.95,0.625634,96,231.546561,97FADFEF312FE599D5A28208EDC5857F9973D32796624CD4C58780DACC03BA09
AUDNZD,adr_event_0_025_candidate_b_fade_strict,5951,15254.72,12.433477,101,112.825673,F771FAD09B39D39A74A46FDFE4BAC4107FA56C5FB238961862E0D8678A6FA12B
AUDUSD,adr_event_0_025_candidate_b_fade_strict,5373,22529.7,20.685637,49,127.888422,8ECBA8137A9788C510AAB9A2373203B893018D28DC7DF5B61DEC8DB19A1DCD2D
CADCHF,adr_event_0_025_candidate_b_fade_strict,478,2832,13.16582,98,146.045688,8B6901481BB7BE9227AFF757EBC577214F838C0B7DBA1AEE42ADB28BD3CD953B
CADJPY,adr_event_0_025_candidate_b_fade_strict,2475,-2987.29,0.718318,107,271.943724,48E2108ED6C8121BF2B41616B9B4EA2E9F7C491B149CC646B8D418E6044397FB
CHFJPY,adr_event_0_025_candidate_b_fade_strict,458,1615.45,3.963765,8,111.15564,B8180C836798C0AEFA85A87EDBBD6A1E3B2FA68972C400A3DFC6B709EEC5ADAA
EURAUD,adr_event_0_025_candidate_b_fade_strict,5122,16416.48,7.845093,34,69.447232,847A953AA35AE5E81167B7423C5398CFD034EE1713A13EBADB0DD3BFB1FF2157
EURCAD,adr_event_0_025_candidate_b_fade_strict,626,2222.08,,0,85.876441,EA853ED7F853ADB9E751DEFDC898A1E307326BF04D72C11340815FF2350C3555
EURCHF,adr_event_0_025_candidate_b_fade_strict,259,1564.51,5.076594,37,144.874556,8754947345B89790C5823BED7A4415B149A79805AAEB9FDE9D720A6DC376C444
EURJPY,adr_event_0_025_candidate_b_fade_strict,1296,4197.46,35.379968,5,72.789943,1943F1E8EBFE20D1EBAAF9EAB08244DC4939D5D291DB476A7A21FE7E184F4346
EURNZD,adr_event_0_025_candidate_b_fade_strict,5043,5138.42,1.526319,113,165.04875,FC5EDB46347A44236A2F5AF456CD3B813902BA3178A08B585ADA105EC2856121
EURUSD,adr_event_0_025_candidate_b_fade_strict,4736,9537.53,1.78491,190,369.313536,C3A9820EE10DBA5604731B26679B46B77B94159918107C0F7762048559E3E4BC
GBPAUD,adr_event_0_025_candidate_b_fade_strict,6645,24920.37,66.348366,27,123.456061,20ADFF491620A170ECF92237EC733269603B700B1C49A0AF6BC0993812865686
GBPCAD,adr_event_0_025_candidate_b_fade_strict,4232,14239.63,11.850839,84,145.44135,E3697BE927C4CC6DD2C83B9FA3AA61BA112F1FA9E52A8FB64C2C8F58188F7B33
GBPCHF,adr_event_0_025_candidate_b_fade_strict,733,3593.13,5.406345,105,144.677173,867D00D92592966212AEBE2B3FF9BB5432DEF6F63C0B0D1BDCCAA3D0F0B2C5AF
GBPJPY,adr_event_0_025_candidate_b_fade_strict,2174,7422.38,27.460411,51,45.391024,C32FB8B69BAD89BCD6CE43C8EFAFCD6FD1EBD8272D96EF84B51FACC472A75C71
GBPNZD,adr_event_0_025_candidate_b_fade_strict,5809,7289.09,1.757055,158,196.568023,F5E3C6B4DEC5CCBA65CD6988BEEFF63C968E47C598D517244639092CC2F4CA88
GBPUSD,adr_event_0_025_candidate_b_fade_strict,1782,8486.68,7.157298,27,69.952605,32239DBA0768C591200A1C7DEC4DBEFB8AB80205AED7149BC129D2B7A38CF049
NZDCAD,adr_event_0_025_candidate_b_fade_strict,2051,2729.04,1.737043,112,133.135254,19CCB6F40DA312CE02F1D9E10EFE25D3110CDF2FDC2DDEFDAF8C2F991D1A192C
NZDCHF,adr_event_0_025_candidate_b_fade_strict,6450,-15955.54,0.636796,879,1293.881965,B3DC78D932650B5DD7DEF12511D8A33F229B21BD9D96C5029E11CB367F007B3E
NZDJPY,adr_event_0_025_candidate_b_fade_strict,4688,1859.63,1.143321,93,289.790703,0C2DB2F381E18B08A1217472BAB1C94AB463F3D488A02012F169811B9AA32E0E
NZDUSD,adr_event_0_025_candidate_b_fade_strict,4876,11862.75,2.214485,260,298.540908,8A5BCC5F4DD1CFB685ACB2A447A45181606DD150637A3A6922EB7114FBFD64E5
USDCAD,adr_event_0_025_candidate_b_fade_strict,3979,8814.76,3.430833,88,233.464611,0791DFEB7BCC9481D796E459B576810F3B6B9D57E9201E6477918EC0407AB2D4
USDCHF,adr_event_0_025_candidate_b_fade_strict,5776,14749.94,1.998339,334,265.590777,7BAA734CD1EA555A9EB49239A87B971EB584D256AF5E154147BF2FFB078DF324
USDJPY,adr_event_0_025_candidate_b_fade_strict,1900,6661.8,36.417117,45,47.629861,0EAEFE967B434065F2400E4AC1CB53294F8DEA79FE306F8F2F4A2FAB8DF3DB04
AUDCAD,adr_event_0_025_type3_both_no_direction,7929,22709.28,12.318741,115,102.05481,B7F10C102D543079E92E525CEE2FAB91863240AF3D6FE9D32C308993694CEE8D
AUDCHF,adr_event_0_025_type3_both_no_direction,9400,-52618.09,0.447074,1359,877.136686,C820FDE5234C6E28AD31E4EBD5223DEBDC2F1BF17E022C1DFB8842E81FB4D762
AUDJPY,adr_event_0_025_type3_both_no_direction,8574,-71954.61,0.300303,604,374.623652,C165EAD86B5997F914936BEA653E5A0BEF682CC12DD17C6A16B6CC3AF565FA5A
AUDNZD,adr_event_0_025_type3_both_no_direction,7269,-30908.82,0.376444,559,504.828737,82CC68073CC0D58C2AE6FD3BE0323E549C204FD2723C97539AB77417E4EBB126
AUDUSD,adr_event_0_025_type3_both_no_direction,8893,41265.44,31.422361,70,116.036189,5693F7EEEBD93717DEC1DD88BB011D80542975DE3FF212B0FCA316C4DAE66A85
CADCHF,adr_event_0_025_type3_both_no_direction,7948,44503.35,43.509826,165,234.443308,752C4DE74D871704850DEA4D460991C49BACBAD6CDB8426060568FA6253CCBDE
CADJPY,adr_event_0_025_type3_both_no_direction,6835,-14832.68,0.607904,439,383.884679,401FDDDCF2845F25A6F197A6E514084115EE3815522B462F00A235BF1C7C7457
