variant_id,stress_id,commission_usd_per_lot,adverse_round_trip_slippage_pips,trades,corrected_closed_plus_marked_net_actual,profit_factor,survives_positive_net,content_hash
adr_event_0_025_type3_short_only,double_commission,-14,0,89290,-130188.93,0.733661,false,4B2CED90706C527DF82562EB0D07C62045D41811F8B9F341DE84432DC8FB773F
adr_event_0_025_type3_short_only,base_commission_plus_0_1_pip_slippage,-7,0.1,89290,-119234.72,0.755739,false,54C4E000DD5B77E39788A6BB2062B840224AC08898F48C508C2E403F1F83A92F
adr_event_0_025_type3_short_only,base_commission_plus_0_2_pip_slippage,-7,0.2,89290,-120781.11,0.752619,false,36CF59C6207D2CCA43356103D5586AF8C01BEA05920362DF5C888CC3511B4D69
adr_event_0_025_candidate_b_agreement_strict,base_commission,-7,0,82715,-77014.21,0.817432,false,DB3E03E94EACD7201A98A31599AD9C905655B564EF5D1902C48DC3263FD7F5FE
adr_event_0_025_candidate_b_agreement_strict,double_commission,-14,0,82715,-88594.31,0.790331,false,EBA5C8E01695A3D868E64E7769D64BE2C34EFD9284123D9DC6F2485C61AF988D
adr_event_0_025_candidate_b_agreement_strict,base_commission_plus_0_1_pip_slippage,-7,0.1,82715,-78472.1,0.814015,false,EC3C0CF53415B346B087F904CDB661DBFD8368C937F38D9B6218ACE44FAFFA3A
adr_event_0_025_candidate_b_agreement_strict,base_commission_plus_0_2_pip_slippage,-7,0.2,82715,-79930,0.8106,false,A135F936CAAB0008C0208B002BEE14ECDC16D96375B7977FE07884B0793530D1
adr_event_0_025_candidate_b_fade_strict,base_commission,-7,0,96739,201123.94,2.200589,true,DBEA6C899CCB86431C43EA4E56E6082E3B032EDDD73139EE165EA3DDAEAC7CE4
adr_event_0_025_candidate_b_fade_strict,double_commission,-14,0,96739,187580.48,2.116875,true,4AA6A9D7C7E12ED5902DB6646469391DFFA2849BAB24589E6AB6F570535E814D
adr_event_0_025_candidate_b_fade_strict,base_commission_plus_0_1_pip_slippage,-7,0.1,96739,199537.42,2.190678,true,355122F4C79346434D2E6255393A082C36883F4DA003F60C012021982264E35F
adr_event_0_025_candidate_b_fade_strict,base_commission_plus_0_2_pip_slippage,-7,0.2,96739,197950.9,2.180774,true,8289A771A477326A2AF755F6B56E340E40BCA6D2D65F5E115B40AF77494AFBB7
adr_event_0_05_type3_both_no_direction,base_commission,-7,0,19929,8304.27,1.106569,true,A9FC606BD96CCBE7208B9CC85E4AA36E37AFA91E29CAB45BBDD8B59166D8C678
adr_event_0_05_type3_both_no_direction,double_commission,-14,0,19929,5514.21,1.070644,true,B285B2F01CC2DC40E2FF976C0EF2E3E2922303A7D966BA9B17CF7FF3D35D6207
adr_event_0_05_type3_both_no_direction,base_commission_plus_0_1_pip_slippage,-7,0.1,19929,7976.42,1.10234,true,076523A8ACB8538301D3C4DC5C7D570C157A74CDB968753E51E506BC2F556837
adr_event_0_05_type3_both_no_direction,base_commission_plus_0_2_pip_slippage,-7,0.2,19929,7648.57,1.098113,true,185A04AF9A8609567E547E8E9539ACBD193965AF21D164CF737FAA5CEAEEF75D
adr_event_0_05_type3_long_only,base_commission,-7,0,8912,21203.43,2.085265,true,8CB8E844323C8870F648A125A6CC58915F8DA783B03B1BA989A7929D173116D3
adr_event_0_05_type3_long_only,double_commission,-14,0,8912,19955.75,2.019009,true,AC98DF0FA2EF9AA5AE05F199D0FFE9D9016550469AF62E295B8123DBFC39F04E
adr_event_0_05_type3_long_only,base_commission_plus_0_1_pip_slippage,-7,0.1,8912,21022.57,2.075548,true,378E692BCDB090D7868AE69D4270D72A124D6A6302BF7BAE84622B796C60278C
adr_event_0_05_type3_long_only,base_commission_plus_0_2_pip_slippage,-7,0.2,8912,20841.71,2.065839,true,D4CBDBCE0827DC96D5F44D769A10B71A196E05BAEE39599DEF1B451F50AB493F
adr_event_0_05_type3_short_only,base_commission,-7,0,11017,-12899.16,0.779074,false,4DB0D6BAB02FDE8A98A0FEB7C7FF5B2FCFE9CCE6E77ABEB1A9FD4C735F87DDA9
adr_event_0_05_type3_short_only,double_commission,-14,0,11017,-14441.54,0.753024,false,B652C8DD3F0F87AEDFF9D0D3ACB456289CA5F4F180836310193F87490C19B33F
adr_event_0_05_type3_short_only,base_commission_plus_0_1_pip_slippage,-7,0.1,11017,-13046.15,0.776587,false,B9A6071E40155E3DEC26849344217459A61BCBA057C44613413836C90F523C96
adr_event_0_05_type3_short_only,base_commission_plus_0_2_pip_slippage,-7,0.2,11017,-13193.13,0.7741,false,5B784F5354067FC37F28E03BFAA48655C0767277B7B9F5AF89C55A7060A132B4
adr_event_0_05_candidate_b_agreement_strict,base_commission,-7,0,8867,-19453.95,0.654896,false,4964E100A2054C6D07761FFD4345709E332D0CD28F04752C7A0258E38A18E3BB
adr_event_0_05_candidate_b_agreement_strict,double_commission,-14,0,8867,-20695.33,0.633376,false,179DC95E422D74B4BCBD865444F6020C465244656C3C2F781DC982206DC630CB
adr_event_0_05_candidate_b_agreement_strict,base_commission_plus_0_1_pip_slippage,-7,0.1,8867,-19580.66,0.652691,false,EBE030E231C9D469F446F48430C57F52F797E6AE82335F3D118AB12894ADFB9A
adr_event_0_05_candidate_b_agreement_strict,base_commission_plus_0_2_pip_slippage,-7,0.2,8867,-19707.37,0.650487,false,3AA85BA8ADC178B65F433A2714A867ABE8F612B4FD4B15F3B29255D0DC66DBE7
adr_event_0_05_candidate_b_fade_strict,base_commission,-7,0,11062,27758.23,2.287908,true,768AD96AEF84869E7FF60AEFB608783C898FA55479608BF3DD815FA74182386D
adr_event_0_05_candidate_b_fade_strict,double_commission,-14,0,11062,26209.55,2.212934,true,46EB7669039AEDC31A8D3AC2F4046AA8D57E5F9B83122B09458990EAEB4802AC
adr_event_0_05_candidate_b_fade_strict,base_commission_plus_0_1_pip_slippage,-7,0.1,11062,27557.08,2.278021,true,73E63D2B14C7FD56BE98AE26F4E4BF9593E803F85A8AD87CA35B023F75D9661E
adr_event_0_05_candidate_b_fade_strict,base_commission_plus_0_2_pip_slippage,-7,0.2,11062,27355.94,2.268143,true,6E8ED6DF2C9BA4CAA9363FC23A8F85CF52A7E33F60C36E558F1714D7DA186187
adr_event_0_075_type3_both_no_direction,base_commission,-7,0,4226,18942.45,9.437209,true,0B43B04692D382F4B52A4B01BFE61436175DD086CAD47697FA01904AAD7BF2E5
adr_event_0_075_type3_both_no_direction,double_commission,-14,0,4226,18350.81,9.134121,true,40B8B01B834BD94063C4E7D9B72E48984E8FE476FA9982AB9561DC10BBB3F304
adr_event_0_075_type3_both_no_direction,base_commission_plus_0_1_pip_slippage,-7,0.1,4226,18862.46,9.394613,true,841F12115748B8C3D5534038EE378B9EBCE9000A1A521AA45D3B6733382AD2FD
adr_event_0_075_type3_both_no_direction,base_commission_plus_0_2_pip_slippage,-7,0.2,4226,18782.46,9.352087,true,548F388575329E612904215277A360E48E3455AFB88B06F7F794D1AE9940F718
adr_event_0_075_type3_long_only,base_commission,-7,0,2621,11589.14,6.301022,true,1A7F67985EB113918626BF2E0BB9DAEEC29615749D71E7F3D70F282044AF45B9
adr_event_0_075_type3_long_only,double_commission,-14,0,2621,11222.2,6.109946,true,C82CB8C84AF2050EC76CCF3F47A1CEECDA69E80D131C151068FCFDF7552D17E4
adr_event_0_075_type3_long_only,base_commission_plus_0_1_pip_slippage,-7,0.1,2621,11530.56,6.269976,true,E0D7FC1BE91EE57B4BFD7FEBDC790215D4029EF9EB96EBBCAADBA8FF3E0436F6
adr_event_0_075_type3_long_only,base_commission_plus_0_2_pip_slippage,-7,0.2,2621,11471.97,6.23898,true,533B29DD9ABED012836F717A9D69BBD025DBA416A340B2799A106A5FF75FD7A5
adr_event_0_075_type3_short_only,base_commission,-7,0,1605,7353.31,125.845076,true,166A42DBE625C00787D61E5971CBC1C025F0C4F8F6A3F996BDD60635640BC2D3
adr_event_0_075_type3_short_only,double_commission,-14,0,1605,7128.61,120.049296,true,DB55E63BE99D720884C7CC745CB747F6A64965725DDB4C38E19B8336C393D124
adr_event_0_075_type3_short_only,base_commission_plus_0_1_pip_slippage,-7,0.1,1605,7331.9,125.269428,true,369C0CD08D3B2CCAE578836C9173C0062760963CC4DA7F8D81E033825B216FF5
adr_event_0_075_type3_short_only,base_commission_plus_0_2_pip_slippage,-7,0.2,1605,7310.49,124.695738,true,5126F709F04A490BBB1E7A7F401DD1945A3896E245AA38D04F909F16F0C347B2
adr_event_0_075_candidate_b_agreement_strict,base_commission,-7,0,1210,5999.05,122.215992,true,9D20792DCB3C46FE635A5DE31CBA2A58148205CF720125990086F78D38588DEA
adr_event_0_075_candidate_b_agreement_strict,double_commission,-14,0,1210,5829.65,116.827194,true,D65742D73478A6CC644D070EAE45825DE001B48945699A6D09C6F03BBF243758
adr_event_0_075_candidate_b_agreement_strict,base_commission_plus_0_1_pip_slippage,-7,0.1,1210,5975.81,121.413712,true,C1AECA67DD63FB3112263E84FEA1E770A09AE098ACB4B540DF57BE98755A21BE
adr_event_0_075_candidate_b_agreement_strict,base_commission_plus_0_2_pip_slippage,-7,0.2,1210,5952.57,120.615841,true,8530E28C9034F94182A51AB9BD94BA6C05DF8C7A1866DD57CF8A81E3232DE39D
adr_event_0_075_candidate_b_fade_strict,base_commission,-7,0,3016,12943.4,6.895105,true,52482FE054C05EE94E760DC92CA333BCF8C103630378520249985B77237DD3FB
adr_event_0_075_candidate_b_fade_strict,double_commission,-14,0,3016,12521.16,6.676733,true,1FCE86B1B27B4ADF443D70D382433808E7A7A4F9C1E0EB75AD3A5E29C286841F
adr_event_0_075_candidate_b_fade_strict,base_commission_plus_0_1_pip_slippage,-7,0.1,3016,12886.64,6.864645,true,C32CD14DC539A9BE1E264BAF40C75FEE4F9ABBAE3DB3C2FA9402B22DF00B5181
adr_event_0_075_candidate_b_fade_strict,base_commission_plus_0_2_pip_slippage,-7,0.2,3016,12829.89,6.834233,true,0304702D35A2AD23EFFE53DAF3ADCA6D8A5CF598DDDDFE57B632D6310EFA9F41
adr_event_0_10_type3_both_no_direction,base_commission,-7,0,852,3069.39,3.680562,true,731126505B52F682150F9E40FC30D8A1DB871D493B3846BBEE11A1152D0860A8
adr_event_0_10_type3_both_no_direction,double_commission,-14,0,852,2950.11,3.566039,true,E00AB5B44553BC72C5BF6A9E44A54952F87D7EB6E931DDA67D508FDCAB512C50
adr_event_0_10_type3_both_no_direction,base_commission_plus_0_1_pip_slippage,-7,0.1,852,3053.52,3.664843,true,82FB1414FB60BDCF56270B5232F694B3D61D318B8E03A1C27902C122C822C494
adr_event_0_10_type3_both_no_direction,base_commission_plus_0_2_pip_slippage,-7,0.2,852,3037.65,3.649145,true,0BE841BF4FCECDFCDDB51BB32126F0B2D0505CD81C595232D369940757AB3F4C
adr_event_0_10_type3_long_only,base_commission,-7,0,388,921.12,1.82248,true,CD01C0A1C97FE6566767F8703EA03C5259EB3E2206CC8977BCC02EEC9AE2314A
adr_event_0_10_type3_long_only,double_commission,-14,0,388,866.8,1.771181,true,4C4A5AB7A56CC6FB7DA22B8F3D934DDB3CD07610A5C1226D97D2E2BB007FB059
adr_event_0_10_type3_long_only,base_commission_plus_0_1_pip_slippage,-7,0.1,388,911.44,1.813296,true,C04C6562B8502F1A47F4E530AD246432359CCF5078671B78A24F6905E21FF0BF
adr_event_0_10_type3_long_only,base_commission_plus_0_2_pip_slippage,-7,0.2,388,901.75,1.804123,true,F46F952B56535749CF451CB63CD8BFC296C12BC572DF7DB6EE06281809F8EB99
adr_event_0_10_type3_short_only,base_commission,-7,0,464,2148.27,86.49601,true,901130FE3796EFA72461D7F1E8B41953DD59412D77EBC3A7F77F705425D08E5C
adr_event_0_10_type3_short_only,double_commission,-14,0,464,2083.31,82.10324,true,D31DC018855EC14F5412A48D5FAAA03381BD4E89DFD68018082438F080D42033
adr_event_0_10_type3_short_only,base_commission_plus_0_1_pip_slippage,-7,0.1,464,2142.08,86.055365,true,8C1DD7CA4352B1011511B08BB28F46E0791619CEEDC7FFD98E11224772A926B4
adr_event_0_10_type3_short_only,base_commission_plus_0_2_pip_slippage,-7,0.2,464,2135.9,85.616726,true,918085ED755CB5191CD3F3A940349DD789ADE3C4514376603E611D84AB69C3EF
adr_event_0_10_candidate_b_agreement_strict,base_commission,-7,0,292,1391.71,110.884585,true,B1BA2BB1EAA3B267BE14CCA0E1189DBFCC67082364E2B0AF57D4CBD0DC8413AE
adr_event_0_10_candidate_b_agreement_strict,double_commission,-14,0,292,1350.83,104.233422,true,5E866AAD57C13277456A3CFA764A533C69B0BF481CA1D30156636A83E8CEB73C
adr_event_0_10_candidate_b_agreement_strict,base_commission_plus_0_1_pip_slippage,-7,0.1,292,1386.02,109.776567,true,C2D19FCC795CD2C2A2819202AAA52AB752008C8B14F83A10C6DC43E3AFB4AED5
adr_event_0_10_candidate_b_agreement_strict,base_commission_plus_0_2_pip_slippage,-7,0.2,292,1380.33,108.681816,true,BE83E37843BFC506A819897F1126500FD544D92F537E681873BBAC80600E440A
adr_event_0_10_candidate_b_fade_strict,base_commission,-7,0,560,1677.68,2.481543,true,D66530D71CA8C0F0C0576D3420FB452F33B8A1DDD3DF1075B629A770763FE5DC
adr_event_0_10_candidate_b_fade_strict,double_commission,-14,0,560,1599.28,2.40709,true,A1215982B9013EBB5BCC07110CFFEC6CC4D2593C9043B46A84F742C69E3533E3
adr_event_0_10_candidate_b_fade_strict,base_commission_plus_0_1_pip_slippage,-7,0.1,560,1667.5,2.471611,true,01884F63F61FBE81A8A2C2E649DB77573BB841E99F2F89B9420F60C4AF3A6FC8
adr_event_0_10_candidate_b_fade_strict,base_commission_plus_0_2_pip_slippage,-7,0.2,560,1657.32,2.461692,true,E8D1F33BD0310652D6FCEC45A73B4D5C878C477E7DC0062AD8EE342AED1A02AD
