variant_id,month,month_end_utc,closed_net_actual_to_month_end,open_marked_net_actual,marked_equity_actual,marked_month_delta_actual,open_trade_count,content_hash
time_h1_type3_both_no_direction,2025-01,2025-01-31T23:59:59.999Z,0,0,0,0,0,2C2DC70E00B4C49032C3D0923889D122C550A5193C653B6417B933B52C9B98A0
time_h1_type3_both_no_direction,2025-02,2025-02-28T23:59:59.999Z,0,0,0,0,0,F9838E2EBE0D06790633E8D713A94BBAD8B83FAFD1784C318310E4D1D2624FC8
time_h1_type3_both_no_direction,2025-03,2025-03-31T23:59:59.999Z,0,0,0,0,0,DB2CBDEA53E2F739366B2E9D71FDF55D4905FFA88AFD28C3A4ADF0CE074F508F
time_h1_type3_both_no_direction,2025-04,2025-04-30T23:59:59.999Z,166.8,-108.29,58.51,58.51,10,63829BE04A63632C83C809D333CD2EC7FF6F9C746A601005E9ECDB5DBE5768A0
time_h1_type3_both_no_direction,2025-05,2025-05-31T23:59:59.999Z,333.61,-233.68,99.93,41.41,6,4F264C1EAD597224686397D1882114597DE66B3497CE6A08D19802821FB72EBF
time_h1_type3_both_no_direction,2025-06,2025-06-30T23:59:59.999Z,439.88,-983.2,-543.32,-643.25,20,BE99DA5329E23BADFFF2CDB813175095BE706A8A1D441BD7E01C24EEB00E75AD
time_h1_type3_both_no_direction,2025-07,2025-07-31T23:59:59.999Z,661.99,-660.55,1.44,544.77,26,BAB32198CC674620B03D8FD74808100159254755B141ACBEFF875E75DBE68F2C
time_h1_type3_both_no_direction,2025-08,2025-08-31T23:59:59.999Z,808.06,-1281,-472.93,-474.37,32,DCA4ABEB3E642DFFF4C8DBFAA8F1687D8D0BF4099918571717952C70369EEEBF
time_h1_type3_both_no_direction,2025-09,2025-09-30T23:59:59.999Z,935.78,-1729.26,-793.48,-320.55,39,19EFD0A336F037EB75676A40F6A4E550C7BE09ADD60C63CCE1883F1E44874568
time_h1_type3_both_no_direction,2025-10,2025-10-31T23:59:59.999Z,1165.13,-1542.46,-377.32,416.15,40,FA3BC58D952C0EA80E22C33085116A3F641475DEF5A0B5FA9F40EC2688C0429C
time_h1_type3_both_no_direction,2025-11,2025-11-30T23:59:59.999Z,1326.39,-1611.1,-284.7,92.62,44,FDDE472393B9A0F5554ECB9A916A5D38C66A73BB7F9F884959E7986FCE00510C
time_h1_type3_both_no_direction,2025-12,2025-12-31T23:59:59.999Z,1522.15,-2106,-583.85,-299.14,44,A7E8D589A9C954CD21BAF48FCC39A9377733E8A4F2011366B17499FA6B700A94
time_h1_type3_both_no_direction,2026-01,2026-01-31T23:59:59.999Z,1788.09,-2387.14,-599.05,-15.2,35,7E7D3CEFD09A0BF2D5E4D99C4DB98F22200354292C7B272BC960DE770D1E89A5
time_h1_type3_both_no_direction,2026-02,2026-02-28T23:59:59.999Z,1982.57,-2743.63,-761.06,-162.01,42,630EF262B28B1E4168A74F212EC245B30F5A721DD490ED94C8CD3B120E4859D0
time_h1_type3_both_no_direction,2026-03,2026-03-31T23:59:59.999Z,2337.07,-1774.66,562.41,1323.46,44,6ABA47D4663B41C45852E49D32D8C0231EE641220EBDD6184FB55992DF7E04C7
time_h1_type3_both_no_direction,2026-04,2026-04-30T23:59:59.999Z,2627.48,-2304.82,322.66,-239.75,38,C6BA1BA010DF4CB381CCEF752CAF82337B0FBE949E6263E95467D09116F4D043
time_h1_type3_both_no_direction,2026-05,2026-05-31T23:59:59.999Z,727.33,0,727.33,404.67,0,EDF34D7A2FAD47E75D6B953EE15E5803420D188312A02C6D274DA5339D375485
time_h1_type3_long_only,2025-01,2025-01-31T23:59:59.999Z,0,0,0,0,0,D484B0832F2DB18E4F0BD6B949713D19B25DA3BDD2BCF8E5FBB04B43B2B41753
time_h1_type3_long_only,2025-02,2025-02-28T23:59:59.999Z,0,0,0,0,0,8BA5C551DBE68B480BC9E7B201B98F4FA0FF443B26003F549A3C66F0E390E631
time_h1_type3_long_only,2025-03,2025-03-31T23:59:59.999Z,0,0,0,0,0,13EFC9D3A5FC987438446B90345324DCF7CDCD3C2A1C1EAEBDC4CE52E4686490
time_h1_type3_long_only,2025-04,2025-04-30T23:59:59.999Z,166.8,-108.29,58.51,58.51,10,766976A8B5BDA04E28D5565AF6183B06912BB55260D2AA5CB4A733102EADC5EA
time_h1_type3_long_only,2025-05,2025-05-31T23:59:59.999Z,333.61,-233.68,99.93,41.41,6,DE871364A35CA9FA610F29AA25D5ADCA03DE084ED466588937BA2C8AA8BF66F3
time_h1_type3_long_only,2025-06,2025-06-30T23:59:59.999Z,439.88,-983.2,-543.32,-643.25,20,14D56E35D8A60F13E7D954120B5C3292666DDDC885744A69ECEFA1CC8E5991ED
time_h1_type3_long_only,2025-07,2025-07-31T23:59:59.999Z,661.99,-660.55,1.44,544.77,26,2095F13B2277A64B1045FED2FBD9E69F0B5DCEBF0C85EED9ADD814F22A3E3C0C
time_h1_type3_long_only,2025-08,2025-08-31T23:59:59.999Z,808.06,-1281,-472.93,-474.37,32,461572BC934789CE8F9A2380242809B4D509971FDC6A46FF38E59FCF9F17E045
time_h1_type3_long_only,2025-09,2025-09-30T23:59:59.999Z,935.78,-1729.26,-793.48,-320.55,39,430984050499D23C96E10A92CC3EE3530F103D97BCDC50D09DC72E43CB4889AC
time_h1_type3_long_only,2025-10,2025-10-31T23:59:59.999Z,1165.13,-1542.46,-377.32,416.15,40,86BC630C9ABED5C03E0E14D293E4DD924809DFF3E37B4C8CE0B88FEB7D510DAB
time_h1_type3_long_only,2025-11,2025-11-30T23:59:59.999Z,1326.39,-1611.1,-284.7,92.62,44,EA141D321219B5ADA04AE9D74A3D2C4F11CA207FBBC65440B76A5FF99C79F7FE
time_h1_type3_long_only,2025-12,2025-12-31T23:59:59.999Z,1522.15,-2106,-583.85,-299.14,44,F7BD8E0636F08F6D155D858F4FE0A1B8EAB0DCF805E6CFA891554103070E9F6F
time_h1_type3_long_only,2026-01,2026-01-31T23:59:59.999Z,1788.09,-2387.14,-599.05,-15.2,35,697AD762BB58A3A1DD46AD97A38AA65292AFB0CED91ADBFC9D916943A99FE571
time_h1_type3_long_only,2026-02,2026-02-28T23:59:59.999Z,1982.57,-2743.63,-761.06,-162.01,42,C868373FB4CDF71BB6714342205DF97D9F039E596F36DBADCD16178179D04DAD
time_h1_type3_long_only,2026-03,2026-03-31T23:59:59.999Z,2337.07,-1774.66,562.41,1323.46,44,1B523C4E7EE4460FCDBB751A2FB3D15614B2BEDBBDEC2C51FE8762BD6FD437D6
time_h1_type3_long_only,2026-04,2026-04-30T23:59:59.999Z,2627.48,-2304.82,322.66,-239.75,38,E74DD37C7265F50E46844AA25546C03132264C74BCA5A528A99058AC5A8F6B5B
time_h1_type3_long_only,2026-05,2026-05-31T23:59:59.999Z,727.33,0,727.33,404.67,0,C52C0954122EB0846130DEA2457FE48812BA405E4566D6DD4149BE933894833D
time_h1_type3_short_only,2025-01,2025-01-31T23:59:59.999Z,0,0,0,0,0,E6C045F0B107F80E75F77EF22E8A2C93BF57F33786557DCCF90CECEC9C4A456D
time_h1_type3_short_only,2025-02,2025-02-28T23:59:59.999Z,0,0,0,0,0,81718C96BED2128F050334583F197078C40CBF03BB5E91AFACF5941B4E326962
time_h1_type3_short_only,2025-03,2025-03-31T23:59:59.999Z,0,0,0,0,0,9803D0BADBC8CF0F119DE39C286A5C09B9208CBBE2DFE82C8B577C89E1924D74
time_h1_type3_short_only,2025-04,2025-04-30T23:59:59.999Z,0,0,0,0,0,CA2845DB63B8BE7988C451C4668243DC7C678FABAC665C8D26C390D84BADC0D7
time_h1_type3_short_only,2025-05,2025-05-31T23:59:59.999Z,0,0,0,0,0,D29DDE45AC0318FA0F87E2838028DDA52F555E3CC97630784066E4A6F2122F63
time_h1_type3_short_only,2025-06,2025-06-30T23:59:59.999Z,0,0,0,0,0,3CEDA8CD54DC98C2B275CBA4D147914742716E6B7B5E9D418C1371259510B418
time_h1_type3_short_only,2025-07,2025-07-31T23:59:59.999Z,0,0,0,0,0,F2F115A2F25F513F6772A71A474FD7075BF361621C0DFC0DA2C0E3A4127E5E4D
time_h1_type3_short_only,2025-08,2025-08-31T23:59:59.999Z,0,0,0,0,0,98E5A245204ADDB708F5B5CB23E6EB91FA60D339CC4567254B419273581A10E3
time_h1_type3_short_only,2025-09,2025-09-30T23:59:59.999Z,0,0,0,0,0,C64C4885E5A300F786DC8FB202652775E03813BDD83ACE536CD0B7BC656E54C3
time_h1_type3_short_only,2025-10,2025-10-31T23:59:59.999Z,0,0,0,0,0,A3A225D8E3A35427184A3076732D37E94FBFAA384CD6C0F074F452418A244985
time_h1_type3_short_only,2025-11,2025-11-30T23:59:59.999Z,0,0,0,0,0,CC2AFC9CCA46B3DC18D0A355262A1254B094B63FD08B48FCA8BDD69F814E7D23
time_h1_type3_short_only,2025-12,2025-12-31T23:59:59.999Z,0,0,0,0,0,25A1033C658103537C7DBB2BDE3CC4ED009121B4641A0FBC797EC286A485E1B8
time_h1_type3_short_only,2026-01,2026-01-31T23:59:59.999Z,0,0,0,0,0,49A1F59A017E3C66C5B25940663544D302A124507BDC2E6153D68B288C4B2D23
time_h1_type3_short_only,2026-02,2026-02-28T23:59:59.999Z,0,0,0,0,0,A740871739BD83E23193A5380525B57DF04C370EF5B2FE716DE8E1946B739432
time_h1_type3_short_only,2026-03,2026-03-31T23:59:59.999Z,0,0,0,0,0,1F6B8CD7B3BD3C0D7FA31D18B14780690EDAF53EAFF40662D090ED90450EC594
time_h1_type3_short_only,2026-04,2026-04-30T23:59:59.999Z,0,0,0,0,0,80F4CE02B6186A992097AB592AAD018F6B8C3EC5BEE55A888A8AD412414B9CE0
time_h1_type3_short_only,2026-05,2026-05-31T23:59:59.999Z,0,0,0,0,0,B05202B4E9DE7CE3EFDC85CFB702A4269A775BB95C892E05E7420C5D891D60B3
time_h1_candidate_b_agreement_strict,2025-01,2025-01-31T23:59:59.999Z,0,0,0,0,0,624BFA7A0B68F744561FA14E70019B3E2909B725D8F0A76FFDD0C32F963D5F46
time_h1_candidate_b_agreement_strict,2025-02,2025-02-28T23:59:59.999Z,0,0,0,0,0,D6141A527BEEF1B3982B8EC9B57DE25083E24022A1872A32DD9C178C8548963D
time_h1_candidate_b_agreement_strict,2025-03,2025-03-31T23:59:59.999Z,0,0,0,0,0,F3BD6DA2DCC490F19589BC9C63BB946811EC1C6AD5AF0005C2129817409AF6C0
time_h1_candidate_b_agreement_strict,2025-04,2025-04-30T23:59:59.999Z,0,0,0,0,0,A01109EC8DE6195ED37A9DD78CA83350A87D68897AF8B467C0F245548E543679
time_h1_candidate_b_agreement_strict,2025-05,2025-05-31T23:59:59.999Z,0,0,0,0,0,43690D8B5B41DE2F497092385201C2D1AF05858D5C6F60AFCEE5D780EE9DC429
time_h1_candidate_b_agreement_strict,2025-06,2025-06-30T23:59:59.999Z,8.95,-88.28,-79.32,-79.32,5,1EA53FB7B297B1C1B537061FD45DA0174D9D39C0DCD48F80E29DFD09CF4C4E88
time_h1_candidate_b_agreement_strict,2025-07,2025-07-31T23:59:59.999Z,83.9,-26.05,57.85,137.17,5,A8ED0FF5154103E740148FB2638AD3E09F0BB6F9DDEA432AD4B93D3B33D7BF32
time_h1_candidate_b_agreement_strict,2025-08,2025-08-31T23:59:59.999Z,106.04,-49,57.04,-0.8,1,70A69E36A3B14A676F9535F0221BF28266C1A7B275EF99211A53A644C879E26F
time_h1_candidate_b_agreement_strict,2025-09,2025-09-30T23:59:59.999Z,106.04,-55.79,50.25,-6.79,1,556D68EB7188332614F7007B202BBAC897D038C2B762313B143C678A60FD6665
time_h1_candidate_b_agreement_strict,2025-10,2025-10-31T23:59:59.999Z,106.04,-37.27,68.77,18.52,1,0367C4C60280BBBAAA35911AECB5E6EA4DC45BDADF7CB0FEB63586DF62FB3782
time_h1_candidate_b_agreement_strict,2025-11,2025-11-30T23:59:59.999Z,115.37,-39.48,75.9,7.12,1,E20EAC34AA0D4B9FD137A88A7804E085899ED8FAED3ADD039862A79B94B3DC12
time_h1_candidate_b_agreement_strict,2025-12,2025-12-31T23:59:59.999Z,142.17,-151.24,-9.07,-84.96,8,C9CD079228852DF775B58F7AA81E87AB75067627F2E204A93FAA8C8FF2652573
time_h1_candidate_b_agreement_strict,2026-01,2026-01-31T23:59:59.999Z,228.75,-125.91,102.83,111.9,4,968A50254043D0BF5370FD07CE69D713854569E80DEA44654FC6EF6F78404056
time_h1_candidate_b_agreement_strict,2026-02,2026-02-28T23:59:59.999Z,265.56,-177.91,87.65,-15.19,9,E97B3618CAF0B0DC11EB5DF3F4D8F6BDC575AC472C404AF586422D651737D1DF
time_h1_candidate_b_agreement_strict,2026-03,2026-03-31T23:59:59.999Z,331.03,-131.79,199.24,111.59,11,D05DB874E8D123F04787A5C1EE5A902C90A503C82AC02184ED2BD781FFEF6CB8
time_h1_candidate_b_agreement_strict,2026-04,2026-04-30T23:59:59.999Z,387.8,-141.29,246.51,47.28,7,BCAF3F458DE3ADC90BB915FFAE4B98E4AE16B9166853DB4114A9932035F92A4F
time_h1_candidate_b_agreement_strict,2026-05,2026-05-31T23:59:59.999Z,356.47,0,356.47,109.96,0,79872F2E8DA9A45C36AABE77BF8B8FE4E423F19726CB88FFB5F724D58B183BBE
time_h1_candidate_b_fade_strict,2025-01,2025-01-31T23:59:59.999Z,0,0,0,0,0,37B8458EE355C7EA8FD5BF24896773B42506185C0D1E79876A220BEFA18A11C8
time_h1_candidate_b_fade_strict,2025-02,2025-02-28T23:59:59.999Z,0,0,0,0,0,7BA9F32F0AD4E6B722A480336426524A2A1C60F3953ADBE6FB9FB8A29A84894D
time_h1_candidate_b_fade_strict,2025-03,2025-03-31T23:59:59.999Z,0,0,0,0,0,B8F7BD1EF2B7904A62C2F712AF689479244FC54FE3ACC32D34FE89825C49C5AA
time_h1_candidate_b_fade_strict,2025-04,2025-04-30T23:59:59.999Z,166.8,-108.29,58.51,58.51,10,AF50E921239652E9A1EE556D54BC6AB9DC5DBBE44B319F25D89C79AF5550AB33
time_h1_candidate_b_fade_strict,2025-05,2025-05-31T23:59:59.999Z,333.61,-233.68,99.93,41.41,6,68649EC1C0F9332694E11D273B3FD1A1399B068A1ECAD53F7D5B9D0CBA1762BC
time_h1_candidate_b_fade_strict,2025-06,2025-06-30T23:59:59.999Z,430.92,-894.92,-464,-563.93,15,88A078B2069EABF663225383AF85789A7D4FB81D10910DEA0B47F17D5D29D1C3
time_h1_candidate_b_fade_strict,2025-07,2025-07-31T23:59:59.999Z,578.09,-634.49,-56.4,407.6,21,48FF6A69D70E6755132D9E00E350C57BC8902460DACB0F1A23E968DBFFA4FFE5
time_h1_candidate_b_fade_strict,2025-08,2025-08-31T23:59:59.999Z,702.02,-1232,-529.98,-473.57,31,1FA323A127C6ECF60A4FF8E25CE13C9B0226896FFC63C246F99718773AEE0D2C
time_h1_candidate_b_fade_strict,2025-09,2025-09-30T23:59:59.999Z,829.74,-1673.47,-843.73,-313.75,38,87A83268A429209EB6B6667306B08A820EC4853115FB2966E1FDB90CF7AACC2E
time_h1_candidate_b_fade_strict,2025-10,2025-10-31T23:59:59.999Z,1059.09,-1505.19,-446.1,397.64,39,59C8C3A35DCAA6CB3DFF93EA2FF6FF27D09666870837842EC19DEAEF92067479
time_h1_candidate_b_fade_strict,2025-11,2025-11-30T23:59:59.999Z,1211.02,-1571.62,-360.6,85.5,43,7ECB4E453E15278089DE96E837C8DED1A652803C3AFB92DE56A16C8F605B06AB
time_h1_candidate_b_fade_strict,2025-12,2025-12-31T23:59:59.999Z,1379.97,-1954.76,-574.78,-214.18,36,D6B319FCD7BECA4B4C0EA07BE4CE7B311B635B2E2BA61185131B9F28CF280022
time_h1_candidate_b_fade_strict,2026-01,2026-01-31T23:59:59.999Z,1559.34,-2261.23,-701.88,-127.1,31,E2994A12891A0137184FE45DE3C37C10DA8EFD552AD600BEB4CBFEAB9FC7CDA2
time_h1_candidate_b_fade_strict,2026-02,2026-02-28T23:59:59.999Z,1717.01,-2565.72,-848.7,-146.82,33,D5B8082D07090632453BC83BBE7289211BCB700979923AC4479E2C3DA07006E1
time_h1_candidate_b_fade_strict,2026-03,2026-03-31T23:59:59.999Z,2006.04,-1642.87,363.17,1211.87,33,7B4FB4B9123E33268E2F3F1FE476E63E2BFB2ABDC396858226D1674FDC795AF2
time_h1_candidate_b_fade_strict,2026-04,2026-04-30T23:59:59.999Z,2239.68,-2163.53,76.15,-287.03,31,549E32BCA4EB96C5F4C60378A02A16067AAC7FA335240C6A96ADC398C534A478
time_h1_candidate_b_fade_strict,2026-05,2026-05-31T23:59:59.999Z,370.85,0,370.85,294.71,0,DE2117FA3E3787E75C648CEEEF1317FB55FA22D402D46C720D0E8C0D1EF3D8A0
adr_event_0_025_type3_both_no_direction,2025-01,2025-01-31T23:59:59.999Z,284.62,-37.55,247.07,247.07,9,971640068856330450A7FB59892C950B7352E8AB025078B291FC6CEABA204B82
adr_event_0_025_type3_both_no_direction,2025-02,2025-02-28T23:59:59.999Z,9538.56,-13726.73,-4188.17,-4435.24,647,6DD72F70BC43EE269784FF1BBCA651FC85B2C45DBB35054A52D6026D8B52F407
adr_event_0_025_type3_both_no_direction,2025-03,2025-03-31T23:59:59.999Z,20858.27,-33293.84,-12435.57,-8247.4,786,057B279E5F54633008840B657E7B885096702A089264D3AE935FDFFAEDCD7DD1
adr_event_0_025_type3_both_no_direction,2025-04,2025-04-30T23:59:59.999Z,74716.55,-67919.84,6796.71,19232.28,1739,535846D9665F7ABFD0A7C3D87766DE51F48640697D599F005AE9F29DC4978833
adr_event_0_025_type3_both_no_direction,2025-05,2025-05-31T23:59:59.999Z,105025.99,-87543.07,17482.92,10686.2,2542,DAC0A6BDD2B124A4FCCE18A6B3E5E5636EC054495483029DD044A3B215FC14B9
adr_event_0_025_type3_both_no_direction,2025-06,2025-06-30T23:59:59.999Z,145657.26,-116653.82,29003.43,11520.52,2640,DB7364CBFF64029F8518DC314EAD7E08F809E3FD386D7D1134F2417A918ADD49
adr_event_0_025_type3_both_no_direction,2025-07,2025-07-31T23:59:59.999Z,185403.34,-113647.15,71756.19,42752.76,3272,C5CA93108DCAB2E5CB81EC68795090B8519D8934B1E9B0AF3CA1B2297311B475
adr_event_0_025_type3_both_no_direction,2025-08,2025-08-31T23:59:59.999Z,217129.11,-140540.81,76588.31,4832.12,3938,356E127A9B14C8BAE6AA8066FC983D52BB4159108F817574962C8307A79BE5B4
adr_event_0_025_type3_both_no_direction,2025-09,2025-09-30T23:59:59.999Z,260294.94,-194831.14,65463.8,-11124.51,4946,694F1F2039F514BC098D7D0B861140400E1AA7F58373C20E350BC4391E0E313E
