variant_id,activation_rule_id,cycle_id,pair,side,terminal_timestamp_utc,anchor_week_open_utc,start_timestamp_utc,fill_count,adverse_fill_count,expansion_fill_count,max_add_depth,max_fill_age_days,avg_fill_age_days,terminal_mark_price,terminal_david_ma,side_exit_distance_to_ma_adr,directed_move_from_anchor_adr,price_pnl_adr,liquidation_price_pnl_usd,liquidation_swap_usd,entry_commission_usd,liquidation_net_usd,min_pnl_adr,max_pnl_adr,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|LONG|80,AUDCAD,LONG,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-05T12:31:00.000Z,5,4,0,4,0.103472,0.067222,0.9854,0.987576,0.336484,-0.528098,-0.601233,-2.802273,-0.030821,-0.3,-3.133095,-2.103069,0.132797,CE54F474858CB25EB790649DEADFA25435C22D888A681BDC9AC7FC2940003825
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|111,AUDCHF,LONG,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-05T13:35:00.000Z,1,0,0,0,0.059028,0.059028,0.56226,0.562334,0.022276,0.06649,0.06649,0.277036,-0.005413,-0.06,0.211624,-0.175293,0.114847,6BCC9AD05B4D4DC1417E1DFB62F3F4FEFA9C178952AEB8BC923EFBE17144E96E
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDJPY|LONG|68,AUDJPY,LONG,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-05T12:53:00.000Z,5,4,0,4,0.088194,0.067222,113.482,113.694615,0.269945,-0.534806,-0.352264,-1.740811,-0.030821,-0.3,-2.071633,-2.125868,0.595294,64FB733365359002261A57500CE1D2819C73A81C0CCD0C0038DB99889FBD0106
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDNZD|SHORT|85,AUDNZD,SHORT,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-01T00:55:00.000Z,11,10,0,10,4.586806,3.385417,1.21555,1.215048,0.067499,-1.855389,-9.318837,-40.065718,0.372396,-0.66,-40.353322,-11.116969,0.181945,94B1F1646172249687A2E99E6422E78BC266473BB7BE0521FE7E6B96D24EABD2
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDUSD|LONG|79,AUDUSD,LONG,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-05T12:37:00.000Z,5,4,0,4,0.099306,0.065972,0.70812,0.710419,0.400272,-0.701562,-1.392426,-8.010011,-0.030248,-0.3,-8.340259,-2.681885,0.093773,FAA9DF6B07FB68FE479D47936B511E800DE8663A43FDB98DF500F768DFDA5A60
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|CADCHF|SHORT|109,CADCHF,SHORT,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-05T12:31:00.000Z,3,2,0,2,0.103472,0.072222,0.57062,0.570205,0.139266,-0.228536,-0.054141,-0.201482,0.002167,-0.18,-0.379315,-0.638284,0.429794,D87602C36036633D4C08C2DC4F2AEA329CE5813B546E0BBFB0E2F2CA154ED2F1
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|CADJPY|LONG|129,CADJPY,LONG,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-05T13:44:00.000Z,2,1,0,1,0.052778,0.052083,115.162,115.212082,0.132456,-0.060844,0.177476,0.418041,-0.009552,-0.12,0.288489,-0.29893,0.43156,5912B4AF61E1CBB05E0B126D7239A8F554083449B17703DF16896C7979956867
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|CHFJPY|LONG|74,CHFJPY,LONG,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-05T12:28:00.000Z,6,5,0,5,0.105556,0.085648,201.826,202.235497,0.394335,-0.899003,-1.956464,-12.697233,-0.047124,-0.36,-13.104357,-3.366756,0.021131,7D8DD2837862E6217525499908598E24D8FE0F8C60E928A0888E569FF5C213C8
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|EURAUD|SHORT|102,EURAUD,SHORT,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-03T13:19:00.000Z,8,7,0,7,2.070139,1.257726,1.63249,1.632086,0.044357,-1.085958,-2.999221,-19.239623,0.100618,-0.48,-19.619005,-5.543303,0.135674,E860621FB5E1432851F6DC5D8962084803275147E04E7EFDAD1DBA9D390C1FFD
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|EURCAD|LONG|105,EURCAD,LONG,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-05T12:31:00.000Z,4,3,0,3,0.103472,0.063368,1.60866,1.609949,0.229883,-0.438568,-0.482855,-1.947223,-0.023243,-0.24,-2.210466,-1.453772,0.449501,418D006E32D84AB10C92ADB4A6EB4026D3C41836AE86B34853590D32A95CF552
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|EURCHF|SHORT|115,EURCHF,SHORT,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-01T00:02:00.000Z,12,11,0,11,4.623611,3.400868,0.91793,0.917725,0.062088,-1.976325,-10.288843,-42.499895,0.408104,-0.72,-42.811791,-15.07151,0.122185,C524BB8A52841E6CBDA7CAFFC1205533F19E34B015864DA0508DD29793B6FBB6
