"shard_id","terminal_id","from_date","to_date","status","exit_code","wall_seconds","receipt_rows","receipt_bytes","compact_receipt_rows_skipped","final_balance","final_open_position_count","final_managed_position_count","max_managed_position_count_observed","worst_stop_take_profit_net_open_pct_after_fees_observed","receipts","summary","benchmark","artifact_dir"
"S001","14275","2026.01.01","2026.01.05","PASS_BENCHMARK_RECEIPTS_PRESENT","0","36.354","55","23774","15","10000.00","0","0","0","","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LPEA_S001_14275_MEDIUM_50000_OpenPrices_20260708190013\LPEA_2026_01_01_00_00_00_R151322109_receipts.csv","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LPEA_S001_14275_MEDIUM_50000_OpenPrices_20260708190013\LPEA_2026_01_01_00_00_00_R151322109_summary.csv","C:\Users\User\Documents\GitHub\limni-website\docs\research\gates\gate104\artifacts\gate104-speed-fixes-shard-smoke-20260708\S001\fx28-speed-benchmark.txt","C:\Users\User\Documents\GitHub\limni-website\docs\research\gates\gate104\artifacts\gate104-speed-fixes-shard-smoke-20260708\S001"
"S002","14275","2026.01.05","2026.01.08","PASS_BENCHMARK_RECEIPTS_PRESENT","0","46.336","2288","3023274","92332","9597.20","0","0","283","-3.802800","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LPEA_S002_14275_MEDIUM_50000_OpenPrices_20260708190052\LPEA_2026_01_05_00_00_00_R151360437_receipts.csv","C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LPEA_S002_14275_MEDIUM_50000_OpenPrices_20260708190052\LPEA_2026_01_05_00_00_00_R151360437_summary.csv","C:\Users\User\Documents\GitHub\limni-website\docs\research\gates\gate104\artifacts\gate104-speed-fixes-shard-smoke-20260708\S002\fx28-speed-benchmark.txt","C:\Users\User\Documents\GitHub\limni-website\docs\research\gates\gate104\artifacts\gate104-speed-fixes-shard-smoke-20260708\S002"
