"receipt_type","count"
"currency_exposure","356"
"engine_step","360"
"grid_inventory","356"
"harvest_state","1"
"intent","400"
"news_guard","1"
"order_request","10"
"order_result","750"
"position_attribution","356"
"revma_grid_add","367"
"revma_grid_birth","23"
"revma_reentry_gate","74"
"revma_signal","390"
"run_end","1"
"run_start","2"
"stop_take_profit_guard","25"
"symbol_init","28"
