date,teams,season,HM_total,Book_total,season_avg_total,edge_points,home_spread,home_favorite,snapshot_age_days,final_total,result,profit_units
2022-11-16,Ball State @ Omaha,2023,150.55481192269312,143.5,141.49279138440158,7.054811922693119,4.5,False,7.1503125,132.0,L,-1.0
2022-11-19,Utah Tech @ Idaho,2023,153.83456060194732,146.5,141.49279138440158,7.334560601947317,3.75,False,9.999618055555555,152.0,W,0.9090909090909092
2022-11-21,Nevada @ Tulane,2023,152.22310985935758,146.5,141.49279138440158,5.723109859357578,3.5,False,11.999618055555555,141.0,L,-1.0
2022-11-23,The Citadel @ New Orleans,2023,153.14155229930032,145.0,141.49279138440158,8.141552299300315,1.5,False,13.916284722222223,137.0,L,-1.0
2022-12-28,Kentucky @ Missouri,2023,154.31510723753246,149.0,141.49279138440158,5.315107237532459,3.0,False,4.102488425925926,164.0,W,0.9090909090909092
2022-12-31,UConn @ Xavier,2023,154.6613131226111,149.0,141.49279138440158,5.661313122611091,3.0,False,6.81082175925926,156.0,W,0.9090909090909092
2023-01-04,UConn @ Providence,2023,147.52690327181824,142.5,141.49279138440158,5.026903271818242,5.5,False,11.164988425925927,134.0,L,-1.0
2023-01-09,Colgate @ Army,2023,156.4263825083894,151.0,141.49279138440158,5.426382508389395,7.5,False,1.9458449074074073,152.0,W,0.9174311926605505
2023-01-10,Buffalo @ Miami (OH),2023,157.7311588349945,152.5,141.49279138440158,5.231158834994488,3.5,False,2.9458449074074076,171.0,W,0.9090909090909092
2023-01-12,Youngstown State @ Detroit Mercy,2023,159.05380851115527,154.0,141.49279138440158,5.0538085111552675,2.5,False,4.945844907407407,163.0,W,0.9174311926605505
2023-01-14,Youngstown State @ Oakland,2023,157.52061519763663,152.0,141.49279138440158,5.52061519763663,2.0,False,6.779178240740741,154.0,W,0.9090909090909092
2023-01-21,Alabama @ Missouri,2023,167.51058358918726,162.5,141.49279138440158,5.010583589187263,5.5,False,13.904178240740741,149.0,L,-1.0
2023-01-21,Norfolk State @ Coppin State,2023,158.1345512130861,150.5,141.49279138440158,7.634551213086098,4.5,False,13.820844907407407,161.0,W,0.9090909090909092
2023-01-21,Tennessee State @ Little Rock,2023,156.05917318256053,149.0,141.49279138440158,7.059173182560528,3.5,False,13.841678240740741,166.0,W,0.9345794392523366
2023-03-11,Norfolk State @ Howard,2023,147.6985418837276,142.0,141.49279138440158,5.698541883727586,2.0,False,10.553912037037037,129.0,L,-1.0
2024-11-22,Bradley @ Wright State,2025,153.2750983022121,146.5,145.56715095676824,6.775098302212086,6.0,False,0.32212962962962965,151.0,W,0.9090909090909092
2024-11-27,Tulane @ Belmont,2025,159.94931667586832,153.5,145.56715095676824,6.449316675868317,2.0,False,5.363796296296297,155.0,W,0.8695652173913042
2024-11-29,Arizona @ West Virginia,2025,158.01863679823919,151.5,145.56715095676824,6.518636798239186,6.5,False,7.238796296296297,159.0,W,0.9090909090909092
2025-01-22,Florida State @ California,2025,153.92264260487678,148.5,145.56715095676824,5.422642604876785,3.5,False,0.3061111111111111,145.0,L,-1.0
2025-01-23,Samford @ Chattanooga,2025,160.4682843076357,154.5,145.56715095676824,5.968284307635713,2.0,False,1.2227777777777777,142.0,L,-1.0
2025-01-25,Northern Iowa @ Indiana State,2025,161.76853661701284,154.5,145.56715095676824,7.268536617012842,3.5,False,2.972777777777778,130.0,L,-1.0
2025-03-12,USC @ Rutgers,2025,157.76509116302987,152.5,145.56715095676824,5.265091163029865,1.0,False,6.084988425925926,186.0,W,0.9523809523809523
