bucket,trigger_candidates,distinct_pair_weeks,long_triggers,short_triggers,bb_true,family_positive,candidate_b_aligned,candidate_b_contra_aligned,content_hash
all,4,1,4,0,2,4,0,4,0165AAEB5CF01019246418D5CF6A9C68C3433B40FCC2D8215591F5E579F3DFD4
candidate_b_aligned,0,0,0,0,0,0,0,0,DE20C2643E828FC08A5971704B3F30458E6C2A997FC2F5ED7DA0B709129E2576
candidate_b_contra_aligned,4,1,4,0,2,4,0,4,21BEAAC2D5DE09475ADD4966A9DF6AF34D0E8D7EB57BB43EFB8BB088AB64D5CC
bb_true,2,1,2,0,2,2,0,2,20681A8B950CF865114F65C562A622B7C94141167EA20FDF69DBA75C61F0B809
family_positive,4,1,4,0,2,4,0,4,BD588B9FB29993A2BC60739287C55E7905D3F4A9C824987E542B40C9EEBE9208
